state,id,population,engineers,hurricanes
South Dakota,1,2416681,0.003085086,0
Wisconsin,2,15953955,0.004821147,0
District of Columbia,3,1472719,0.011759179,0
Oregon,4,925629,0.005457479,0
Alabama,5,5824472,0.003421545,22
Missouri,6,1642970,0.004413261,0
Indiana,7,3401645,0.002724236,0
California,8,1536675,0.007125857,0
Delaware,9,9512289,0.004989155,2
Colorado,10,2146007,0.008087652,0
Maryland,11,7915960,0.006291088,2
Massachusetts,12,3178062,0.010230808,10
Nevada,13,1477959,0.002037375,0
Puerto Rico,14,3726639,0.000773897,0
Utah,15,868663,0.006440053,0
Georgia,16,5979890,0.004939686,20
Vermont,17,1068420,0.004643016,0
Texas,18,4782808,0.004320129,59
Illinois,19,973372,0.004478368,0
Montana,20,2229869,0.002139048,0
Alaska,21,1331512,0.001590524,0
Idaho,22,6297763,0.002970638,0
Florida,23,1008265,0.003299949,110
Louisiana,24,1323187,0.001176931,49
Washington,25,656728,0.010710757,0
Arkansas,26,2538309,0.002439557,0
New Jersey,27,635788,0.007724327,2
Arizona,28,14980995,0.004774154,0
Tennessee,29,1658227,0.002375513,0
Nebraska,30,4498022,0.005621053,0
Mississippi,31,1772481,0.000933508,15
Hawaii,32,9424868,0.001624016,0
Kentucky,33,10807007,0.002089262,0
North Carolina,34,3758699,0.004226953,46
South Carolina,35,1592972,0.002084207,31
Virginia,36,9999427,0.008595061,12
Maine,37,2144189,0.002290686,6
Rhode Island,38,1251366,0.004581485,9
Iowa,39,5920544,0.003716472,0
New York,40,5411465,0.004941432,12
Minnesota,41,4374661,0.006193894,0
New Hampshire,42,9279420,0.00633056,2
Pennsylvania,43,13646688,0.004237253,1
Ohio,44,1388952,0.004095787,0
Oklahoma,45,2398491,0.002286188,0
Kansas,46,7417395,0.003811111,0
Connecticut,47,1639394,0.005896906,10
New Mexico,48,17833485,0.001883696,0
Wyoming,49,3175278,0.001007684,0
Michigan,50,21101346,0.003876797,0
West Virginia,51,7138193,0.00128338,0
North Dakota,52,6609146,0.003403909,0
