carat,cut,color,clarity,depth,table,price,x,y,z
0.72,Premium,G,VS2,63.1,56.0,1467,6.72,3.76,3.3
0.53,Very Good,G,VS1,61.0,67.0,6706,5.87,4.25,4.05
0.25,Good,E,VVS1,60.0,55.0,971,6.0,4.45,3.06
1.89,Premium,J,VVS1,61.7,62.0,4650,6.16,5.31,4.63
0.51,Very Good,G,I1,64.0,56.0,4073,5.6,5.47,3.64
0.57,Very Good,G,SI1,63.9,61.0,4622,3.11,4.6,3.37
0.2,Very Good,E,SI2,62.2,62.0,2093,6.36,7.26,3.59
0.35,Premium,G,SI1,62.2,59.0,2795,5.77,4.4,4.05
0.58,Very Good,G,VS1,61.0,60.0,653,6.02,5.39,2.96
1.64,Ideal,I,SI2,64.5,57.0,5297,5.51,6.31,4.34
0.36,Premium,E,I1,66.5,59.0,3235,5.15,5.38,4.66
0.29,Good,F,SI1,61.4,60.0,1546,5.14,5.3,3.09
1.57,Good,H,SI2,66.1,59.0,10995,5.75,6.4,4.48
1.43,Ideal,H,SI1,60.7,58.0,750,5.79,6.72,3.6
0.94,Good,H,SI1,63.4,56.0,10120,4.01,5.32,2.41
1.06,Premium,I,VVS2,62.8,57.0,11694,7.3,5.42,4.0
0.78,Very Good,E,VS2,58.5,59.0,3930,4.98,7.59,2.86
1.23,Very Good,I,SI1,59.4,56.0,8371,3.39,3.72,2.39
0.2,Ideal,G,VS2,59.7,60.0,2320,3.97,5.43,2.75
1.28,Ideal,I,SI1,62.5,56.0,10699,5.15,6.31,2.89
0.96,Very Good,I,SI2,61.0,60.0,1122,5.0,4.85,2.89
1.08,Ideal,F,VVS2,61.6,58.0,5991,5.98,6.33,2.91
1.05,Premium,I,SI1,60.1,58.0,2908,6.41,5.57,3.89
0.3,Premium,H,SI1,61.5,60.0,5121,5.02,7.03,4.34
0.65,Premium,F,SI1,62.7,55.0,1306,4.46,5.35,4.0
0.55,Ideal,I,VS1,62.8,58.0,13921,5.58,5.99,3.11
0.25,Good,H,VVS2,57.5,54.0,3403,3.37,6.46,3.56
1.04,Premium,I,VVS2,63.6,56.0,17157,4.22,6.94,4.25
2.53,Ideal,F,VVS1,61.9,61.0,3012,6.7,5.59,3.57
0.41,Ideal,G,VS2,58.8,56.0,3344,6.78,5.16,3.66
1.02,Good,H,VS1,59.1,57.0,826,4.64,5.76,3.82
0.34,Very Good,I,VS1,60.8,57.0,9796,3.57,3.89,3.29
0.51,Good,G,SI1,62.5,58.0,7237,6.67,5.78,3.37
0.78,Premium,I,SI2,61.7,57.0,2527,5.7,5.47,3.28
1.87,Very Good,J,VS2,63.2,56.0,7059,8.1,6.86,3.46
0.8,Premium,D,SI2,61.6,56.0,1467,6.24,6.23,3.94
1.61,Premium,H,SI2,62.9,57.0,10400,3.52,4.77,3.86
0.53,Premium,F,VS1,62.4,56.0,5346,6.44,4.84,4.82
0.3,Very Good,G,VVS2,62.7,53.0,2896,5.05,7.82,2.8
1.47,Ideal,H,SI2,64.5,57.0,17239,6.16,5.85,3.93
0.44,Very Good,I,SI1,58.4,53.0,326,4.57,6.58,3.31
1.13,Very Good,I,VS1,60.9,60.0,1692,6.4,6.74,3.73
0.4,Ideal,D,IF,60.6,55.0,759,5.21,5.31,4.04
0.81,Very Good,E,SI2,62.0,58.0,4627,5.2,5.37,2.26
0.81,Ideal,F,SI1,62.1,60.0,2878,4.41,5.11,3.63
0.49,Very Good,F,VS2,62.4,57.0,3049,6.69,4.44,3.3
0.7,Good,G,SI2,63.7,59.0,1308,4.17,7.24,4.63
