state,id,population,engineers,hurricanes
Ohio,1,646539,0.004095787,0
Maine,2,6627755,0.002290686,6
New Hampshire,3,3232039,0.00633056,2
Mississippi,4,12121494,0.000933508,15
South Carolina,5,7896061,0.002084207,31
Alaska,6,2761861,0.001590524,0
Louisiana,7,6589160,0.001176931,49
South Dakota,8,2136142,0.003085086,0
Vermont,9,1413957,0.004643016,0
Nebraska,10,4520783,0.005621053,0
Rhode Island,11,2492269,0.004581485,9
Colorado,12,1171655,0.008087652,0
Massachusetts,13,5227557,0.010230808,10
West Virginia,14,12467580,0.00128338,0
Arizona,15,4606352,0.004774154,0
Oklahoma,16,8018967,0.002286188,0
Minnesota,17,1061628,0.006193894,0
Puerto Rico,18,1592383,0.000773897,0
New Mexico,19,1551898,0.001883696,0
Tennessee,20,5889165,0.002375513,0
Oregon,21,5316787,0.005457479,0
Virginia,22,33836894,0.008595061,12
Florida,23,8162921,0.003299949,110
Illinois,24,5997738,0.004478368,0
Arkansas,25,1736984,0.002439557,0
New York,26,1799157,0.004941432,12
Maryland,27,726229,0.006291088,2
Montana,28,3060189,0.002139048,0
Georgia,29,1962350,0.004939686,20
North Dakota,30,1423208,0.003403909,0
District of Columbia,31,1008778,0.011759179,0
Wyoming,32,2256874,0.001007684,0
Indiana,33,9655693,0.002724236,0
Kentucky,34,4699194,0.002089262,0
Michigan,35,4702418,0.003876797,0
Connecticut,36,19252149,0.005896906,10
Idaho,37,654750,0.002970638,0
Wisconsin,38,6642981,0.004821147,0
California,39,7881313,0.007125857,0
Utah,40,585501,0.006440053,0
Pennsylvania,41,32161188,0.004237253,1
Texas,42,12521166,0.004320129,59
Iowa,43,1414491,0.003716472,0
Nevada,44,2813312,0.002037375,0
Washington,45,22473885,0.010710757,0
Missouri,46,3532006,0.004413261,0
Delaware,47,5082739,0.004989155,2
Hawaii,48,15270399,0.001624016,0
Alabama,49,2386391,0.003421545,22
New Jersey,50,1515862,0.007724327,2
Kansas,51,7878572,0.003811111,0
North Carolina,52,10970286,0.004226953,46
