Date,CO2,adjusted CO2
1958-03-01,313.08,314.37
1958-03-31,316.64,314.52
1958-04-30,318.94,314.96
1958-05-30,318.59,315.19
1958-06-29,315.73,315.06
1958-07-29,315.92,315.23
1958-08-28,315.3,315.41
1958-09-27,316.64,315.06
1958-10-27,315.6,315.28
1958-11-26,317.01,315.99
1958-12-26,318.36,315.86
1959-01-25,316.28,315.41
1959-02-24,318.39,316.1
1959-03-26,317.25,316.21
1959-04-25,316.41,316.62
1959-05-25,317.41,316.64
1959-06-24,320.95,315.93
1959-07-24,316.73,316.44
1959-08-23,319.29,317.0
1959-09-22,316.99,316.87
1959-10-22,317.96,316.8
1959-11-21,317.36,317.36
1959-12-21,317.12,318.06
1960-01-20,318.34,317.47
1960-02-19,320.28,317.29
1960-03-20,320.12,318.01
1960-04-19,318.16,317.4
1960-05-19,318.67,317.79
1960-06-18,319.95,318.61
1960-07-18,319.77,318.16
1960-08-17,320.32,319.1
1960-09-16,319.81,318.79
1960-10-16,318.6,318.83
1960-11-15,318.24,318.78
1960-12-15,321.04,319.3
1961-01-14,318.18,318.49
1961-02-13,321.43,319.22
1961-03-15,320.05,319.07
1961-04-14,320.91,319.66
1961-05-14,320.84,319.16
1961-06-13,321.37,320.33
1961-07-13,321.44,320.12
1961-08-12,322.5,320.51
1961-09-11,321.56,319.57
1961-10-11,322.85,320.33
1961-11-10,321.5,320.47
1961-12-10,324.2,320.43
1962-01-09,324.08,320.74
1962-02-08,320.87,320.37
1962-03-10,323.22,320.33
1962-04-09,320.32,320.77
1962-05-09,321.52,321.19
1962-06-08,325.16,321.3
1962-07-08,324.36,321.45
1962-08-07,322.76,321.43
1962-09-06,323.55,321.63
1962-10-06,323.86,322.0
1962-11-05,323.72,322.35
1962-12-05,324.67,322.8
1963-01-04,321.84,322.35
1963-02-03,325.23,322.49
1963-03-05,323.58,322.88
1963-04-04,324.44,322.64
1963-05-04,324.59,323.16
1963-06-03,323.51,323.22
1963-07-03,324.58,322.78
1963-08-02,324.44,323.48
1963-09-01,326.19,323.38
1963-10-01,323.27,323.15
1963-10-31,322.48,323.97
1963-11-30,325.33,324.01
1963-12-30,325.66,323.75
1964-01-29,327.95,323.68
1964-02-28,324.59,324.5
1964-03-29,324.08,323.5
1964-04-28,323.89,324.01
1964-05-28,325.3,324.79
1964-06-27,324.94,324.41
1964-07-27,325.54,324.72
1964-08-26,325.95,324.57
1964-09-25,326.67,324.65
1964-10-25,326.05,325.35
1964-11-24,328.42,324.46
1964-12-24,326.87,325.42
1965-01-23,327.53,325.79
1965-02-22,328.2,325.64
1965-03-24,328.05,325.89
1965-04-23,328.31,325.87
1965-05-23,326.44,326.11
1965-06-22,328.86,326.08
1965-07-22,329.22,326.31
