id,question,choices,answerKey
1,Which question can most likely be determined through a scientific investigation?,1,D
2,A bus traveled 280 kilometers between two cities. It left the first city at 3:00 p.m. and arrived at the second city at 7:00 p.m. What was the average speed of the bus during the trip?,2,B
3,Which of these substances conducts electricity the best?,3,A
4,Which of the following Earth layers has the greatest density?,4,C
5,Paul observes four different samples of water. He records the temperature and volume of each sample. Which of his samples contains the greatest amount of thermal energy?,5,C
6,People may remove fallen trees from forests to reduce fire risk. Removing the trees is now thought to have an impact on the health of the forest. Which impact would removing fallen trees from forests most likely have on forest health?,6,C
7,"Every year, green sea turtles migrate approximately 2000 km to reproduce. This migration is an example of",7,A
8,Some businesses offer customers the option to pay for merchandise using their fingerprints as identification. Which of the following would most benefit customers that use this new technology?,8,D
9,Students are performing an investigation to determine the types of bacteria that grow inside their school. Which activity should the students avoid while performing this investigation?,9,D
10,"Four identical candles are set on a safe surface and lit. One is covered with a small-sized jar, one is covered with a large-sized jar, and one candle is left in the open. A fourth lit candle is placed in a vacuum. Which candle will most likely stay lit the longest?",10,A
11,Which piece of lab equipment is necessary to determine the mass of 2 teaspoons of sand?,11,D
12,What tool would be most useful to calculate the volume of a glass prism?,12,C
13,Which body system's primary function is the continuation of the species?,13,C
14,Which is most likely needed when describing the change in position of an object?,14,A
15,"Nectar is a sweet liquid that some flowering plants produce. A hummingbird drinks nectar from a flower. When a hummingbird drinks nectar, pollen from the flower sticks to the hummingbird's beak. The picture shows a hummingbird drinking nectar from a flower. Which statement explains the role of a hummingbird in the life cycle of a flowering plant?",15,D
16,"Estuaries are called ""the nurseries of the sea"" because many species lay eggs and develop their young in estuaries. Which two features of estuaries support this role most?",16,C
17,Carbon dioxide emissions have increased due to large numbers of automobiles and increased industrialization. Which of the following has been most affected by the increase in carbon dioxide levels?,17,B
18,Which nongaseous compound can be made from two elements that are gases at room temperature?,18,C
19,"Students want to plant a lemon tree at their school, but the cold winter temperatures in Massachusetts would kill the tree. Which of the following is the best solution to this problem?",19,D
20,Which function makes a plant cell different from an animal cell?,20,B
21,Michael has a pencil case made of pine wood. The surface of the pencil case scratches and dents easily. He wants to make a new pencil case that will not scratch or dent easily. Which of the following should Michael do to make a new pencil case that will not scratch or dent easily?,21,D
22,The force of gravity on an object depends primarily on the object's,22,A
23,Many houses are built on the sides of hills. Which of these actions would best prevent houses from sliding down hills after heavy rainfalls?,23,C
24,Which of the following human traits is least likely to be inherited?,24,D
25,Which of the following factors would most likely cause a hurricane to decrease in strength?,25,C
26,A scientist conducts an experiment on the growth rate of a specific species of plant. Which of these is needed for the data to be relied upon by other scientists?,26,D
27,A handheld sewing machine uses a battery to make a needle move. The needle goes up and down quickly. Which energy change is taking place?,27,A
28,Which list gives the correct order of substances from the lowest melting point to the highest?,28,C
29,"Many common hand tools create a mechanical advantage by using the basic principles found in simple machines. For example, a screwdriver uses the principles of the wheel and axle. In order to increase gripping force, pliers use the principle demonstrated in the",29,D
30,"A ball is dropped from different heights. When the ball is dropped from the highest height, it makes the greatest noise or vibration when it lands on the ground. What is the best explanation for the ball making the greatest noise?",30,B
31,Which is an example of organic weathering of rocks?,31,B
32,Which best describes a parallel circuit?,32,B
33,Ice will form on small ponds when the temperature drops below 0°C. Which property of ice is most beneficial to fish living in these ponds?,33,B
34,"As part of a study, a scientist observed a number of different molecular changes in matter. Which of the following observations provides evidence of a physical change?",34,D
35,A certain animal has specialized cells that can cause it to change color rapidly. This color change will most likely help the animal,35,C
36,Which is a characteristic of a sperm cell but not of an egg cell?,36,A
37,"Many common hand tools create a mechanical advantage by using the basic principles found in simple machines. For example, a screwdriver uses the principles of the wheel and axle. In order to increase gripping force, pliers use the principle demonstrated in the",37,B
38,Visible light passes through glass. Other types of electromagnetic radiation are able to pass through other materials in a similar way. Which of the following are used in medical technology because they can pass through some parts of the human body?,38,B
39,Which has the greatest effect on the color of a young eagle's eyes?,39,B
40,Use the information below to answer the question. Each organism on Earth is a part of a complex relationship with other organisms. This relationship is called a food web. The following organisms are part of a food web typically located in and around a reservoir. algae fish rabbit eagle pine tree grass field mouse Which member of the food web is a carnivore?,40,D
41,Which of these is found in all organisms?,41,A
42,Students are learning about different types of waves. Which is the least likely way for the students to generate a wave?,42,D
43,Doctors have determined that each of these factors could cause heart disease in humans except,43,D
44,"When prehistoric animals died and their soft parts decayed, which product was formed?",44,C
45,Doctors have determined that each of these factors could cause heart disease in humans except,45,B
46,Which action most often causes sinkholes to form on the surface of Earth?,46,A
47,"A student is using descriptions to classify organisms. One organism is described as having sense organs to detect heat, laying eggs to reproduce, using venom for protection, and having the ability to change body temperature with its surroundings. How would the student classify this organism?",47,D
48,Which of the following best describes a mineral?,48,D
49,The gametes of human males and females have the same number of chromosomes. Which best describes what happens to the chromosomes when typical male and female gametes combine to produce offspring?,49,A
50,Approximately 59% of the Moon is visible from Earth because the Moon rotates and revolves in the same period. Which most likely causes this phenomenon?,50,B
51,"As a glacier melts and retreats, a layer of bedrock is exposed. Which term best describes the process that establishes a community on the bedrock?",51,D
52,Which is true of the seasonal weather patterns of places that are at the same latitude?,52,A
53,A student boils 100 grams of water to form water vapor (gas). What method should the student use to determine that the mass of the water vapor is equal to 100 grams?,53,B
54,A student uses the following characteristics to describe a group of objects in space. * 200 billion stars * 30 million light years from Earth * 500 light years in diameter Which of the following is the student most likely describing?,54,D
55,"In the geologic past, abiotic factors such as volcanic eruptions have had an impact on the availability of resources. How can volcanic eruptions impact the availability of resources?",55,D
56,Two pure substances combine to make a new substance. The new substance cannot be physically separated and has a different boiling point than each of the original substances. This new substance can best be classified as,56,C
57,A class is modeling the differences between a unicellular organism and a multicellular organism. Which example is a model of a unicellular organism?,57,A
58,The feathers of male goldfinches become brightly colored each spring. Which best describes why the color of the feathers changes each year?,58,A
59,How can you make liquid water become solid?,59,C
60,"As part of an experiment, an astronaut takes a scale to the Moon and weighs himself. The scale reads 31 pounds. If the astronaut has a mass of about 84 kilograms, which are the approximate weight and mass of the astronaut when standing on the Earth?",60,D
61,What MAJOR advantage does nekton have over plankton in locating food?,61,D
62,Animals use resources in the environment to survive. Which of the following resources does an animal use for energy?,62,A
63,The building of a dam will most likely,63,D
64,"A tuna is an ocean fish that is well adapted to catching small, fast-moving prey. Which of the following adaptations most helps a tuna swim fast to catch its prey?",64,C
65,A road cut shows a layer of shale on top of a layer of limestone. This indicates,65,A
66,Which action best models the motion of an arm at the elbow joint?,66,B
67,James put some water in a pan. He put the pan on a stove and turned the stove on low. What will happen to the water?,67,A
68,Which of the following changes occurs as a solid is heated?,68,C
69,"Limestone is a sedimentary rock and marble is a metamorphic rock. Even though limestone and marble have the same chemical makeup, they are classified as different rocks because they",69,C
70,Volcanic eruptions early in Earth's history are believed to be responsible for a large proportion of the matter now found in which Earth structure?,70,C
71,Robots can perform tasks that are dangerous for humans. What is the MAJOR limitation to the use of robots?,71,A
72,Human bodies have complex structures that support growth and survival. What is the most basic structure of the human body that supports growth and survival?,72,C
73,Which is the best explanation why the remains of a small reptile living millions of years ago have been found only in Brazil and South Africa?,73,A
74,Which item below is NOT made from a material grown in nature?,74,C
75,One property of liquids is that they have a definite,75,A
76,Which is the best explanation for how air masses move across the United States?,76,A
77,The Big Bang theory states that the universe,77,B
78,"While on a field trip to NASA, Felicia saw a short film on materials that make up nebulae. Which topic was most likely presented in the film?",78,C
79,Which statement best explains why the Sun and the Moon appear to be about the same size in the sky?,79,C
80,Cells are the basic unit of structure and function in all living organisms. Which describes the greatest difference between the cells of a baby gorilla and the cells of an adult gorilla?,80,D
81,Which measurement describes the motion of a rubber ball?,81,B
