year,temp
1880,-0.21
1881,-0.34
1882,-0.1
1883,-0.1
1884,-0.08
1885,-0.32
1886,-0.05
1887,-0.09
1888,-0.09
1889,-0.26
1890,-0.1
1891,-0.19
1892,-0.19
1893,-0.14
1894,0.16
1895,0.02
1896,0.03
1897,-0.15
1898,-0.14
1899,0.0
1900,-0.23
1901,-0.02
1902,-0.17
1903,0.17
1904,-0.03
1905,0.05
1906,-0.03
1907,0.09
1908,0.02
1909,0.14
1910,0.16
1911,0.12
1912,0.0
1913,-0.1
1914,0.14
1915,0.12
1916,0.11
1917,0.06
1918,0.29
1919,0.07
1920,0.17
1921,0.22
1922,0.09
1923,0.13
1924,0.09
1925,0.21
1926,0.13
1927,0.11
1928,0.22
1929,0.06
1930,0.3
1931,0.13
1932,0.32
1933,-0.02
1934,0.22
1935,0.18
1936,0.25
1937,0.41
1938,0.11
1939,0.41
1940,0.33
1941,0.26
1942,0.35
1943,0.32
1944,0.41
1945,0.35
1946,0.18
1947,0.28
1948,0.45
1949,0.35
1950,0.4
1951,0.42
1952,0.33
1953,0.41
1954,0.56
1955,0.5
1956,0.49
1957,0.38
1958,0.44
1959,0.37
1960,0.54
1961,0.37
1962,0.48
1963,0.58
1964,0.39
1965,0.51
1966,0.33
1967,0.36
1968,0.61
1969,0.7
1970,0.64
1971,0.52
1972,0.53
1973,0.6
1974,0.6
1975,0.51
1976,0.59
1977,0.32
1978,0.69
1979,0.59
1980,0.66
1981,0.67
1982,0.6
1983,0.74
1984,0.64
1985,0.79
1986,0.82
1987,0.73
1988,0.6
1989,0.49
1990,0.77
1991,0.6
1992,0.66
1993,0.74
1994,0.59
1995,0.8
1996,0.86
1997,0.64
1998,0.68
1999,0.62
2000,0.74
2001,0.61
2002,0.63
2003,0.82
2004,0.8
2005,1.06
2006,0.57
2007,0.77
2008,0.86
2009,0.88
2010,0.91
2011,0.96
2012,0.92
2013,0.83
2014,0.83
2015,1.06
2016,1.02
2017,0.87
2018,0.83
2019,1.01
2020,0.9
2021,0.75
2022,0.8
2023,0.98
