mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name
13.1,6,376.0,117,3485,11.4,70,usa,dodge challenger se
25.4,4,109.0,48,2625,17.8,70,europe,volkswagen jetta
14.7,5,172.0,93,2965,16.4,70,usa,oldsmobile cutlass supreme
23.5,7,187.0,131,4404,15.0,70,usa,pontiac grand prix
22.4,7,426.0,136,3624,21.1,70,usa,chevy c10
13.2,6,259.0,75,3581,13.4,70,usa,dodge colt
14.3,5,176.0,116,3927,12.9,70,usa,ford mustang cobra
18.2,5,356.0,151,2333,13.9,70,usa,plymouth custom suburb
27.5,4,134.0,66,2706,13.4,70,japan,honda accord lx
41.7,7,401.0,62,4838,13.9,70,usa,ford granada l
17.2,4,264.0,96,3191,15.4,70,usa,dodge challenger se
34.5,5,335.0,83,3921,15.0,70,usa,dodge colt hatchback custom
9.0,4,121.0,138,3441,16.7,70,usa,amc concord
18.8,4,451.0,111,2206,14.0,70,usa,chevy c10
18.5,7,300.0,126,3428,15.1,70,usa,mercury monarch ghia
35.5,5,289.0,128,3627,13.3,70,usa,ford country
29.9,4,114.0,83,1971,15.2,70,japan,honda civic
31.3,4,89.0,90,2001,16.1,70,europe,fiat 128
16.8,5,100.0,101,3497,17.1,70,europe,volkswagen model 111
27.0,5,322.0,102,4289,12.3,70,usa,dodge aries se
26.5,4,113.0,,1995,16.9,70,europe,renault 5 gtl
25.8,8,331.0,97,2938,16.2,70,usa,pontiac catalina
21.2,4,87.0,113,2174,16.8,70,europe,bmw 320i
24.2,3,88.0,50,2572,15.6,70,japan,mazda rx2 coupe
19.5,6,338.0,91,4004,17.5,70,usa,dodge omni
21.2,8,106.0,90,3965,17.9,70,usa,dodge magnum xe
24.4,4,73.0,78,2019,16.9,70,japan,honda accord cvcc
20.1,5,182.0,228,2051,15.0,70,usa,dodge magnum xe
13.6,8,348.0,144,3755,11.8,70,usa,pontiac grand prix
16.6,8,173.0,72,2654,18.0,70,usa,dodge colt m/m
20.4,7,336.0,88,2366,12.4,70,usa,plymouth valiant custom
12.5,8,411.0,135,3916,20.3,70,usa,dodge monaco (sw)
11.9,7,375.0,119,2793,12.8,70,usa,oldsmobile cutlass salon brougham
20.7,5,163.0,188,4016,8.6,70,usa,pontiac sunbird coupe
29.1,4,122.0,61,2119,15.0,70,japan,datsun 810 maxima
25.5,4,88.0,99,2952,13.9,71,japan,datsun 510 hatchback
36.9,4,102.0,101,2513,13.9,71,europe,volkswagen jetta
22.5,7,304.0,95,2949,13.3,71,usa,plymouth champ
21.9,4,133.0,82,1939,16.3,71,europe,audi fox
36.4,4,121.0,68,2068,17.3,71,japan,honda accord lx
27.6,7,337.0,138,1902,13.0,71,usa,chrysler cordoba
31.3,4,122.0,70,2038,21.1,71,europe,audi fox
29.8,4,108.0,96,4463,15.3,71,europe,vw dasher (diesel)
25.5,6,214.0,192,3041,19.5,71,usa,chevrolet vega (sw)
20.7,6,433.0,95,3662,13.8,71,usa,plymouth fury iii
25.1,4,122.0,83,2236,14.7,71,europe,fiat 124b
38.1,4,129.0,137,2185,11.7,71,europe,volkswagen rabbit
20.9,7,180.0,79,3353,18.9,71,usa,chevrolet bel air
29.3,6,276.0,156,2871,16.7,71,usa,buick skylark limited
29.4,4,89.0,76,1836,17.5,71,europe,fiat 124 sport coupe
16.4,4,194.0,168,3237,21.6,71,usa,plymouth fury gran sedan
26.1,6,153.0,108,4280,17.2,71,usa,plymouth sapporo
27.3,7,175.0,95,3981,12.9,71,usa,plymouth volare
29.0,6,345.0,165,3019,16.8,71,usa,capri ii
25.8,3,117.0,63,2451,15.9,71,japan,toyota mark ii
26.2,4,116.0,73,2049,14.5,71,europe,vw rabbit custom
30.6,4,98.0,80,2681,13.6,71,europe,renault 12tl
27.6,5,226.0,150,2767,14.9,71,usa,plymouth cricket
26.1,4,137.0,73,2192,14.9,71,europe,audi 4000
30.9,6,179.0,129,4086,15.6,71,usa,dodge aspen 6
22.9,4,96.0,78,3295,17.3,71,europe,volvo 245
10.8,6,219.0,142,3549,17.3,71,usa,ford escort 2h
22.6,5,241.0,138,2746,12.2,71,usa,plymouth valiant
28.8,4,111.0,46,2025,12.1,71,europe,peugeot 604sl
16.0,4,311.0,149,3889,20.7,72,usa,chevrolet chevelle concours (sw)
22.6,7,278.0,108,3067,15.4,72,usa,ford maverick
21.5,7,364.0,186,3199,8.9,72,usa,plymouth cricket
19.6,7,293.0,131,2319,16.4,72,usa,amc pacer
18.8,7,306.0,60,2713,14.3,72,usa,ford granada gl
15.2,6,392.0,62,2797,15.0,72,usa,pontiac grand prix lj
32.0,4,121.0,118,1797,17.7,72,japan,datsun 1200
33.8,8,398.0,60,3819,12.6,72,usa,chevrolet monte carlo landau
24.0,4,100.0,65,2199,14.5,72,japan,subaru dl
21.7,6,217.0,82,4676,11.1,72,usa,dodge rampage
42.5,5,137.0,81,3012,12.7,72,usa,mercury cougar brougham
37.4,4,93.0,77,2674,21.0,72,japan,datsun f-10 hatchback
16.8,7,246.0,136,4383,15.5,73,usa,dodge coronet custom (sw)
33.3,4,100.0,101,2125,13.2,73,europe,peugeot 304
18.1,4,106.0,76,1836,16.5,73,japan,toyota corona mark ii
27.6,4,84.0,94,2144,15.0,73,europe,mercedes-benz 240d
14.2,7,87.0,118,3317,18.5,73,usa,dodge colt
46.6,4,103.0,80,2152,13.2,73,europe,volkswagen rabbit
37.1,4,116.0,91,2343,15.7,73,japan,toyota corolla liftback
29.9,4,111.0,76,2985,16.5,73,japan,datsun 710
14.3,7,257.0,84,2857,14.9,73,usa,dodge magnum xe
36.8,4,177.0,144,2618,16.5,73,japan,mazda glc deluxe
22.7,4,109.0,67,2041,14.5,73,japan,toyouta corona mark ii (sw)
15.2,5,149.0,170,2939,14.0,73,usa,mercury monarch ghia
11.0,5,295.0,91,2886,15.7,73,usa,oldsmobile cutlass supreme
28.7,4,99.0,82,2253,18.0,73,japan,datsun 200-sx
16.7,7,360.0,124,4753,19.7,73,usa,ford pinto (sw)
14.3,7,162.0,108,2816,21.1,73,usa,mercury zephyr
30.0,3,106.0,77,2513,16.8,73,japan,honda civic (auto)
20.8,7,298.0,174,2695,14.7,73,usa,ford f108
23.5,5,448.0,160,4085,15.3,73,usa,plymouth satellite
15.7,5,436.0,176,4308,16.5,73,usa,plymouth sapporo
32.8,5,73.0,73,2080,14.5,73,japan,toyota corolla 1600 (sw)
29.1,7,95.0,74,5140,13.7,73,usa,pontiac j2000 se hatchback
17.8,6,149.0,74,2044,14.6,73,usa,buick skylark 320
12.8,7,335.0,152,4519,16.3,73,usa,amc spirit dl
13.2,6,272.0,205,2933,16.8,73,usa,ford fiesta
23.2,5,170.0,107,4110,12.9,73,usa,chevrolet chevelle malibu classic
19.8,6,207.0,152,3200,17.2,73,usa,ford f250
30.0,4,131.0,138,2331,16.9,73,japan,datsun 510 hatchback
28.6,4,129.0,96,3932,14.9,73,europe,fiat 128
14.2,4,392.0,109,2143,13.3,73,usa,amc pacer
17.8,8,253.0,115,3282,15.0,73,usa,plymouth custom suburb
13.3,6,293.0,167,2784,13.1,73,usa,pontiac ventura sj
18.6,6,110.0,132,4537,14.6,73,usa,pontiac phoenix
14.3,5,359.0,115,4134,9.8,73,usa,dodge monaco (sw)
17.3,8,304.0,94,3566,13.4,73,usa,plymouth fury
16.4,6,375.0,175,3635,11.7,73,usa,ford escort 2h
15.9,6,167.0,66,2218,8.0,73,usa,plymouth cricket
24.0,6,159.0,88,2594,16.4,73,usa,oldsmobile cutlass ciera (diesel)
23.6,6,293.0,102,4269,16.9,73,usa,ford granada ghia
28.0,5,388.0,142,3066,12.9,73,usa,pontiac j2000 se hatchback
31.1,4,151.0,52,2547,12.9,73,europe,renault lecar deluxe
27.3,4,74.0,82,2504,23.3,73,japan,honda accord cvcc
24.0,7,122.0,165,3025,16.8,73,usa,ford pinto runabout
30.9,5,362.0,111,3176,16.7,73,usa,ford granada ghia
11.8,7,133.0,162,2921,16.4,73,usa,chevy c20
17.7,7,409.0,143,4241,15.4,73,usa,oldsmobile cutlass ls
33.6,4,96.0,64,2220,15.8,74,japan,mazda glc custom
18.3,6,373.0,67,2256,16.1,74,usa,amc matador (sw)
26.0,4,68.0,82,2563,17.0,74,japan,datsun 200sx
29.7,7,200.0,85,4381,13.7,74,usa,chevrolet monte carlo landau
18.3,8,353.0,115,1613,15.1,74,usa,pontiac phoenix
36.2,4,92.0,85,2047,11.7,74,japan,datsun 810
17.4,8,289.0,88,5009,13.3,74,usa,amc matador
17.2,5,136.0,75,2218,9.1,74,usa,pontiac phoenix
12.4,6,296.0,108,3284,20.3,74,usa,chevrolet monte carlo
31.8,4,129.0,97,2358,13.4,74,japan,toyota corolla 1600 (sw)
12.3,5,320.0,101,3334,16.1,74,usa,amc matador (sw)
27.3,4,122.0,74,1873,15.6,74,japan,toyota corona
23.7,7,158.0,52,3275,18.7,74,usa,pontiac grand prix lj
31.7,8,423.0,127,3616,16.0,74,usa,amc concord dl 6
26.9,4,116.0,84,3253,15.3,74,europe,mercedes-benz 280s
14.7,3,97.0,105,2417,11.3,74,japan,mazda glc custom
36.0,6,132.0,174,2499,14.2,74,usa,oldsmobile cutlass ciera (diesel)
29.4,4,148.0,,2377,14.8,74,europe,volvo 245
31.5,4,104.0,124,1861,17.3,74,europe,volkswagen rabbit
35.9,4,119.0,68,1878,13.3,74,europe,mercedes-benz 280s
29.5,5,127.0,151,2157,18.4,74,usa,chevrolet woody
25.0,5,108.0,59,2428,14.3,74,japan,datsun 280-zx
21.5,7,359.0,125,2207,18.2,74,usa,chrysler lebaron salon
28.2,4,109.0,95,2759,13.0,74,japan,toyota corona
23.1,4,87.0,123,1885,16.4,74,europe,saab 99gle
19.7,7,273.0,199,3801,13.7,74,usa,amc matador (sw)
18.9,4,68.0,77,2294,18.5,74,europe,peugeot 304
15.4,5,271.0,80,3804,16.3,74,usa,ford pinto
29.6,4,115.0,96,2125,16.1,74,japan,datsun b-210
20.8,5,130.0,80,3035,15.9,75,usa,chevrolet monte carlo landau
23.4,8,301.0,176,2975,17.6,75,usa,amc matador
24.9,6,199.0,104,2119,13.3,75,usa,cadillac eldorado
29.3,6,291.0,62,2995,14.9,75,usa,ford futura
27.3,8,311.0,103,3376,20.1,75,usa,chevrolet bel air
32.2,4,88.0,99,2247,12.7,75,japan,datsun 510 (sw)
23.5,5,133.0,150,3038,13.7,75,usa,amc hornet sportabout (sw)
21.0,5,426.0,98,2920,12.6,75,usa,chevrolet chevelle malibu
16.4,5,306.0,109,3607,17.5,75,usa,chevrolet chevelle malibu classic
12.7,7,166.0,85,4054,16.8,75,usa,pontiac phoenix lj
19.1,4,381.0,95,3623,15.8,75,usa,plymouth duster
20.1,8,189.0,113,3405,15.0,75,usa,buick lesabre custom
27.9,5,288.0,60,3309,12.2,75,usa,buick skylark 320
18.7,4,104.0,74,1996,21.4,75,japan,datsun 200-sx
25.2,8,243.0,137,3664,13.4,75,usa,dodge charger 2.2
28.3,4,96.0,92,2476,18.1,75,japan,toyota mark ii
27.7,5,332.0,141,4573,11.5,75,usa,ford torino 500
33.8,4,122.0,73,2484,18.6,75,japan,mazda rx2 coupe
22.1,5,443.0,89,3842,9.8,75,usa,ford mustang gl
11.4,5,423.0,98,2354,10.2,75,usa,ford mustang ii
17.9,6,324.0,137,2571,11.4,75,usa,plymouth horizon
9.9,5,385.0,71,3220,18.3,75,usa,oldsmobile cutlass supreme
16.8,8,215.0,127,3270,14.7,75,usa,ford fairmont (auto)
32.6,4,74.0,83,2039,16.2,75,europe,fiat 131
17.9,4,217.0,67,4757,17.0,75,usa,dodge coronet custom (sw)
22.9,6,276.0,136,2775,12.3,75,usa,oldsmobile cutlass supreme
31.7,4,127.0,70,2408,15.1,75,europe,audi 100ls
12.8,5,267.0,133,3749,17.4,75,usa,amc hornet sportabout (sw)
30.7,4,128.0,70,2707,13.4,76,europe,audi 5000s (diesel)
14.7,7,313.0,134,2734,21.1,76,usa,plymouth grand fury
23.7,5,279.0,50,3274,15.2,76,usa,ford escort 4w
19.8,5,246.0,106,3304,14.2,76,usa,dodge coronet custom (sw)
30.4,4,95.0,60,3936,11.7,76,europe,audi 100 ls
19.6,7,119.0,83,2318,12.0,76,usa,ford pinto runabout
30.2,4,134.0,104,2342,18.4,76,japan,toyota starlet
17.3,8,171.0,101,3859,21.3,76,usa,chevy c20
