method,number,orbital_period,mass,distance,year
Transit,2,16.23855,,470.0,2012
Radial Velocity,1,653.22,,33.46,2002
Radial Velocity,1,187.83,,,2012
Transit,3,12.8159,,,2014
Radial Velocity,2,22.656,0.0322,32.31,2011
Transit,2,5.487,,,2013
Transit,1,4.086052,,380.0,2012
Radial Velocity,3,8.631,0.035,14.97,2013
Transit,2,8.92507,,,2014
Radial Velocity,1,990.0,4.4,59.84,2009
Radial Velocity,1,493.7,,20.43,2001
Transit,1,4.9816872,,160.0,2012
Transit,2,4.72674,,,2014
Radial Velocity,6,602.0,,,2010
Radial Velocity,1,157.54,,117.37,2009
Radial Velocity,2,13.186,0.0263,42.52,2011
Radial Velocity,2,1270.2,,53.82,2007
Transit,1,2.77596,,235.0,2010
Transit,3,6.2385,,,2011
Radial Velocity,1,594.9,,47.53,2006
Radial Velocity,1,3630.0,9.61,36.36,2012
Radial Velocity,1,1845.0,,,2010
Radial Velocity,1,675.0,1.94,100.0,2007
Radial Velocity,1,989.2,0.94,17.35,2006
Radial Velocity,1,3999.0,1.9,50.45,2011
Transit,1,15.7259,,1107.0,2013
Radial Velocity,1,829.0,0.8,,2001
Transit,2,2.58664,,,2014
Transit,1,4.457243,,501.0,2012
Transit,1,3.474474,,387.0,2011
Radial Velocity,2,1046.0,,28.04,2011
Radial Velocity,2,6005.0,,25.64,2012
Transit,1,15.7259,,1107.0,2013
Radial Velocity,3,33.941,0.0162,25.59,2011
Radial Velocity,3,90.309,0.0151,6.06,2011
Transit,1,1.2198669,,116.14,2010
Imaging,1,,,145.0,2013
Radial Velocity,2,360.2,,56.5,2012
Microlensing,2,,,4080.0,2012
Transit,2,35.736,,,2013
Transit,2,22.804,,,2013
Transit,6,118.3807,,613.0,2010
Transit,1,3.7520656,,,2009
Radial Velocity,2,408.6,2.24,,2004
Radial Velocity,1,3.416,,74.46,2004
Radial Velocity,6,197.8,0.0223,,2012
Radial Velocity,1,58.43,,11.15,2011
Transit,1,2.875317,,70.0,2010
Radial Velocity,1,655.6,,37.54,2008
Radial Velocity,1,330.0,,,2011
Transit,1,7.340718,,1330.0,2013
Radial Velocity,2,3.698,,,2009
Radial Velocity,2,937.7,,28.04,2003
Transit,1,2.810595,,193.0,2011
Radial Velocity,2,1749.5,,37.88,2000
Transit,1,3.6936411,,200.0,2012
Radial Velocity,1,123.0,,43.99,2004
Radial Velocity,1,3416.0,,4.94,2008
Transit,1,1.7497798,,,2012
Radial Velocity,6,51.76,0.0164,12.83,2012
Eclipse Timing Variations,1,2900.0,,,2011
Radial Velocity,5,0.73654,,12.53,2011
Radial Velocity,3,5.6363,0.0117,25.59,2011
Transit Timing Variations,2,160.0,,2119.0,2011
Radial Velocity,1,952.7,,,2008
Transit,1,4.9816872,,160.0,2012
Radial Velocity,2,53.881,,32.31,2011
Eclipse Timing Variations,2,5767.0,,,2008
Imaging,1,,,,2010
Radial Velocity,1,439.3,0.502,60.46,2005
Transit,1,4.2,,8500.0,2006
Radial Velocity,3,27.582,0.0358,14.56,2011
Radial Velocity,2,10.866,0.0097,21.52,2011
Transit,3,12.8159,,,2014
Transit,1,4.457243,,,2012
Transit,2,31.884,,,2013
Transit,1,17.815815,,1107.0,2013
Transit,1,0.78884,,250.0,2009
Radial Velocity,1,1928.0,,35.87,2005
Radial Velocity,2,349.7,1.25,,2001
Radial Velocity,1,331.5,,59.28,2009
Radial Velocity,2,1383.4,,,2004
Radial Velocity,1,157.57,,140.85,2011
Radial Velocity,1,511.098,,,2002
Transit,3,85.312,,,2012
Radial Velocity,1,420.77,1.7,,2007
Transit,1,1.7635892,,,2011
Radial Velocity,1,670.0,2.1,110.62,2011
Transit,2,13.722341,,,2013
Transit,1,3.1915239,,174.0,2007
Radial Velocity,3,2831.6,,47.3,2012
Radial Velocity,1,1289.0,3.0,46.93,2002
Radial Velocity,5,0.73654,,12.53,2011
Radial Velocity,1,279.8,1.37,,2008
Transit,2,24.806,,,2013
Radial Velocity,1,1001.7,6.86,32.56,2005
Radial Velocity,1,5.118,,,2014
Radial Velocity,2,37.91,0.0788,33.98,2008
Transit,2,5.4122,,,2013
Orbital Brightness Modulation,1,1.54492875,,,2013
Transit,1,4.124481,,254.0,2010
Radial Velocity,1,439.3,0.502,60.46,2005
Radial Velocity,2,2720.0,,,2012
Radial Velocity,2,3.93,,43.53,2009
Radial Velocity,2,53.881,,32.31,2011
Radial Velocity,1,672.1,11.1,,2012
Transit,1,2.484193,,260.0,2013
Radial Velocity,2,345.72,,44.8,2009
Transit,1,1.2198669,,116.14,2010
Radial Velocity,2,360.2,2.37,,2012
Transit,2,17.324,,,2013
Transit,2,10.5016,,,2012
Transit,1,,,60.0,2012
Eclipse Timing Variations,2,2883.5,,500.0,2010
Transit,1,2.788491,,342.0,2007
