Name,Miles_per_Gallon,Cylinders,Displacement,Horsepower,Weight_in_lbs,Acceleration,Year,Origin
chevrolet nova custom,17.9,5,434.0,172,1613,14.7,1970-01-01,USA
dodge d100,25.9,5,311.0,119,3297,20.0,1970-01-01,USA
dodge aspen 6,17.9,7,424.0,208,2421,12.6,1970-01-01,USA
mazda glc,20.4,4,413.0,50,2104,12.8,1970-01-01,Japan
subaru,12.9,4,242.0,125,2226,22.5,1970-01-01,Japan
pontiac sunbird coupe,19.1,4,123.0,202,2517,15.0,1970-01-01,USA
chevrolet impala,24.9,4,132.0,212,2645,16.6,1970-01-01,USA
amc ambassador sst,9.9,7,351.0,188,3213,13.3,1970-01-01,USA
subaru dl,22.2,3,216.0,221,2231,12.8,1970-01-01,Japan
ford mustang,26.5,5,273.0,100,2936,12.4,1970-01-01,USA
chevrolet nova,20.6,5,184.0,58,2941,16.4,1970-01-01,USA
peugeot 504,26.3,4,397.0,61,2216,13.2,1970-01-01,Europe
chevrolet nova,13.6,4,220.0,155,3801,11.3,1970-01-01,USA
chevrolet nova,11.3,5,298.0,82,4802,13.9,1970-01-01,USA
pontiac phoenix lj,10.8,7,445.0,127,3262,13.3,1970-01-01,USA
opel manta,24.7,4,421.0,180,2846,12.5,1970-01-01,Europe
subaru,25.5,5,158.0,213,1766,14.9,1970-01-01,Japan
oldsmobile starfire sx,13.2,5,421.0,150,4014,18.5,1970-01-01,USA
mercury grand marquis,14.4,4,440.0,91,3512,11.8,1970-01-01,USA
plymouth duster,13.3,8,302.0,118,3815,18.1,1970-01-01,USA
ford fairmont (man),24.6,5,436.0,149,4514,16.1,1970-01-01,USA
ford granada l,25.9,6,279.0,141,3511,15.8,1970-01-01,USA
volkswagen jetta,21.6,4,395.0,185,2480,12.7,1970-01-01,Europe
toyota corolla,17.5,5,152.0,105,2162,12.0,1970-01-01,Japan
chevrolet monte carlo s,26.0,6,275.0,94,3662,13.3,1970-01-01,USA
dodge st. regis,9.3,6,103.0,92,3946,19.9,1970-01-01,USA
ford gran torino,17.0,6,237.0,139,2983,17.3,1970-01-01,USA
honda Accelerationord lx,12.9,4,359.0,104,1661,15.3,1970-01-01,Japan
mercedes-benz 280s,10.4,4,217.0,173,2298,22.0,1970-01-01,Europe
buick skyhawk,25.9,7,139.0,102,3881,21.0,1970-01-01,USA
plymouth fury iii,11.5,7,185.0,126,2671,11.8,1970-01-01,USA
ford fairmont futura,11.7,5,271.0,76,3149,15.4,1970-01-01,USA
ford pinto,12.2,8,426.0,74,3584,15.1,1970-01-01,USA
audi 100ls,20.8,4,270.0,72,2549,14.3,1970-01-01,Europe
volkswagen scirocco,11.4,4,404.0,99,5140,14.1,1970-01-01,Europe
toyota tercel,20.7,4,266.0,125,2132,14.4,1970-01-01,Japan
ford ranger,15.4,4,121.0,84,3477,15.0,1970-01-01,USA
mercedes benz 300d,19.5,4,421.0,47,2700,16.3,1970-01-01,Europe
dodge colt,22.0,7,227.0,80,3351,12.4,1970-01-01,USA
mercury monarch,22.2,5,371.0,56,4866,15.3,1971-01-01,USA
amc matador (sw),29.0,6,352.0,112,3172,19.8,1971-01-01,USA
subaru dl,,4,212.0,142,2285,14.8,1971-01-01,Japan
ford maverick,,8,142.0,139,3458,12.1,1971-01-01,USA
mercury grand marquis,34.2,4,159.0,67,3322,18.5,1971-01-01,USA
capri ii,34.4,4,326.0,89,3740,16.0,1971-01-01,USA
plymouth cricket,33.1,6,251.0,129,2962,10.3,1971-01-01,USA
mazda 626,18.3,5,134.0,146,2045,17.6,1971-01-01,Japan
buick estate wagon (sw),30.1,4,388.0,119,3520,15.4,1971-01-01,USA
ford futura,23.9,6,210.0,114,5066,18.0,1971-01-01,USA
volkswagen 411 (sw),29.1,4,289.0,107,2569,15.3,1971-01-01,Europe
ford gran torino,30.6,5,398.0,128,1862,16.0,1971-01-01,USA
chevrolet cavalier 2-door,13.3,5,258.0,178,4041,16.0,1971-01-01,USA
amc hornet,31.3,7,166.0,97,1613,11.1,1971-01-01,USA
chevrolet vega 2300,31.0,8,172.0,49,3920,11.8,1971-01-01,USA
chrysler new yorker brougham,12.8,5,281.0,68,2849,16.1,1971-01-01,USA
subaru dl,15.3,5,80.0,91,2005,15.6,1971-01-01,Japan
ford gran torino,16.2,5,165.0,107,2605,8.5,1971-01-01,USA
chevrolet caprice classic,18.1,6,291.0,108,4564,11.7,1971-01-01,USA
plymouth volare,26.5,8,77.0,110,2725,12.6,1971-01-01,USA
toyota starlet,16.7,5,401.0,156,2103,19.8,1972-01-01,Japan
amc matador (sw),12.4,7,243.0,71,4199,20.4,1972-01-01,USA
plymouth reliant,,5,193.0,54,2044,13.5,1972-01-01,USA
vw dasher (diesel),16.7,4,334.0,206,1873,15.0,1972-01-01,Europe
ford gran torino,13.3,4,270.0,181,4424,14.6,1972-01-01,USA
chevrolet monte carlo s,13.1,6,286.0,166,4531,8.9,1972-01-01,USA
datsun 710,24.0,3,143.0,200,1902,12.0,1972-01-01,Japan
oldsmobile cutlass salon brougham,20.9,7,342.0,80,4458,12.5,1972-01-01,USA
oldsmobile cutlass salon brougham,25.7,8,249.0,139,3254,15.5,1972-01-01,USA
dodge dart custom,27.7,6,159.0,156,4342,19.6,1972-01-01,USA
dodge coronet custom,22.6,8,250.0,75,3075,16.3,1972-01-01,USA
dodge magnum xe,15.4,7,98.0,120,1759,9.0,1972-01-01,USA
plymouth valiant custom,20.6,8,212.0,160,3955,17.9,1972-01-01,USA
toyota corolla,12.5,4,151.0,100,2095,12.7,1972-01-01,Japan
ford fairmont,18.4,4,346.0,145,3506,21.1,1972-01-01,USA
ford country squire (sw),22.3,6,152.0,109,5037,16.4,1972-01-01,USA
amc rebel sst,13.9,4,358.0,78,4217,15.3,1972-01-01,USA
renault lecar deluxe,18.9,4,409.0,169,2607,10.1,1972-01-01,Europe
chrysler lebaron medallion,24.4,7,80.0,104,4587,14.4,1972-01-01,USA
amc matador (sw),19.8,5,91.0,162,4407,17.9,1972-01-01,USA
toyota corolla 1600 (sw),11.6,5,275.0,142,2085,19.6,1972-01-01,Japan
toyota corona liftback,20.6,4,119.0,152,1948,17.3,1972-01-01,Japan
buick opel isuzu deluxe,21.4,5,399.0,105,3193,11.4,1972-01-01,USA
ford gran torino (sw),17.8,5,296.0,83,3534,14.8,1972-01-01,USA
ford gran torino (sw),14.7,6,166.0,205,3711,18.5,1972-01-01,USA
ford gran torino,23.2,7,132.0,129,2142,13.7,1972-01-01,USA
chevrolet cavalier,,5,85.0,199,2920,19.3,1972-01-01,USA
oldsmobile omega brougham,17.9,6,276.0,170,4515,12.2,1972-01-01,USA
ford granada gl,25.8,5,302.0,145,3192,20.0,1972-01-01,USA
pontiac catalina,28.0,6,127.0,153,2474,15.4,1972-01-01,USA
toyota carina,13.9,4,183.0,86,1930,14.8,1972-01-01,Japan
volkswagen rabbit,15.7,4,162.0,57,1884,13.3,1972-01-01,Europe
subaru,11.7,5,298.0,201,3113,21.8,1973-01-01,Japan
peugeot 505s turbo diesel,9.3,5,316.0,117,2023,15.0,1973-01-01,Europe
ford gran torino,,8,320.0,128,3470,10.7,1973-01-01,USA
ford country squire (sw),16.9,5,123.0,48,1661,13.1,1973-01-01,USA
honda Accelerationord cvcc,18.9,4,285.0,47,2591,14.4,1973-01-01,Japan
buick century,15.9,5,347.0,87,3393,12.2,1973-01-01,USA
datsun 1200,18.2,4,405.0,108,1996,13.7,1973-01-01,Japan
opel 1900,15.8,4,77.0,105,1879,15.4,1973-01-01,Europe
cadillac seville,22.4,4,442.0,48,3466,18.6,1973-01-01,USA
buick century luxus (sw),12.7,5,274.0,133,4026,18.1,1973-01-01,USA
plymouth horizon 4,21.2,4,76.0,48,4329,15.8,1973-01-01,USA
chevrolet vega (sw),15.2,7,96.0,89,2959,15.6,1973-01-01,USA
ford ltd landau,9.4,4,72.0,183,3910,15.8,1973-01-01,USA
ford f250,,5,369.0,142,3097,10.3,1973-01-01,USA
opel manta,11.6,4,230.0,102,1894,15.0,1973-01-01,Europe
mercury monarch,14.7,7,359.0,120,4973,15.4,1973-01-01,USA
pontiac phoenix,32.7,6,406.0,84,4259,14.5,1973-01-01,USA
chevrolet malibu,19.1,6,264.0,154,4893,14.6,1973-01-01,USA
toyota carina,15.3,4,123.0,62,2786,12.9,1973-01-01,Japan
buick estate wagon (sw),9.9,5,396.0,165,2624,16.7,1973-01-01,USA
buick skyhawk,10.7,7,258.0,203,4847,15.6,1973-01-01,USA
pontiac phoenix lj,12.4,7,157.0,139,5056,14.5,1973-01-01,USA
ford mustang cobra,12.8,6,80.0,222,2708,16.8,1973-01-01,USA
amc matador (sw),9.9,7,254.0,137,4007,17.6,1973-01-01,USA
dodge colt hardtop,27.0,5,94.0,98,2780,18.1,1973-01-01,USA
ford mustang ii 2+2,17.7,5,346.0,139,3999,12.5,1973-01-01,USA
chevrolet impala,15.3,7,215.0,131,3694,24.8,1973-01-01,USA
mercury marquis brougham,11.0,7,200.0,212,5140,17.2,1973-01-01,USA
pontiac phoenix lj,12.9,8,221.0,221,1777,15.1,1973-01-01,USA
ford gran torino (sw),15.3,7,424.0,188,2239,15.6,1973-01-01,USA
oldsmobile delta 88 royale,16.2,8,305.0,47,3739,14.5,1973-01-01,USA
opel 1900,14.0,4,181.0,134,5140,18.0,1973-01-01,Europe
plymouth reliant,15.3,5,342.0,120,3550,21.3,1973-01-01,USA
amc rebel sst,,5,276.0,59,4165,17.9,1973-01-01,USA
chevrolet citation,16.3,7,436.0,219,1978,12.5,1973-01-01,USA
fiat 124b,18.6,4,195.0,161,2606,15.0,1973-01-01,Europe
