pickup,dropoff,passengers,distance,fare,tip,tolls,total,color,payment,pickup_zone,dropoff_zone,pickup_borough,dropoff_borough
2019-03-29 11:45:20,2019-03-29 11:58:44,1,0.57,10.89,0.37,0.13,19.6,yellow,credit card,Upper East Side North,Flatbush/Ditmas Park,Manhattan,Brooklyn
2019-03-10 23:22:19,2019-03-10 23:36:13,6,0.83,9.5,1.59,0.01,31.66,yellow,credit card,Midtown North,Long Island City/Queens Plaza,Manhattan,Queens
2019-03-19 11:58:12,2019-03-19 12:11:42,0,0.75,4.3,2.66,0.03,21.92,yellow,cash,West Chelsea/Hudson Yards,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-14 09:24:41,2019-03-14 09:40:37,5,8.22,20.0,9.06,6.13,37.95,yellow,credit card,Flushing,Sheepshead Bay,Queens,Brooklyn
2019-03-02 06:01:57,2019-03-02 06:16:03,1,0.79,9.9,6.12,0.21,15.98,yellow,cash,Midtown South,Queens Village,Manhattan,Queens
2019-03-13 13:14:19,2019-03-13 13:27:14,1,3.93,4.9,0.38,0.0,14.89,yellow,credit card,Hudson Sq,Woodside,Manhattan,Queens
2019-03-28 05:40:56,2019-03-28 05:54:03,1,0.71,8.6,3.18,0.12,13.48,yellow,cash,TriBeCa/Civic Center,Brownsville,Manhattan,Brooklyn
2019-03-24 09:58:16,2019-03-24 10:11:47,1,1.55,8.4,0.63,0.06,13.8,yellow,credit card,East Village,East Village,Manhattan,Manhattan
2019-03-14 11:26:11,2019-03-14 11:39:14,2,3.28,6.7,1.66,0.62,20.86,yellow,cash,Upper West Side North,Allerton/Pelham Gardens,Manhattan,Bronx
2019-03-18 07:39:17,2019-03-18 07:51:37,1,0.88,3.7,0.67,0.08,22.46,yellow,credit card,SoHo,Upper East Side South,Manhattan,Manhattan
2019-03-20 04:46:46,2019-03-20 05:01:22,1,10.21,8.53,4.7,0.03,8.82,yellow,cash,Gramercy,Richmond Hill,Manhattan,Queens
2019-03-12 22:04:34,2019-03-12 22:18:23,1,3.85,4.6,0.05,0.09,7.19,yellow,credit card,Lenox Hill East,Glendale,Manhattan,Queens
2019-03-07 15:44:11,2019-03-07 16:00:11,1,1.41,21.9,3.58,0.01,24.51,yellow,cash,West Chelsea/Hudson Yards,Dyker Heights,Manhattan,Brooklyn
2019-03-23 20:21:06,2019-03-23 20:35:27,2,3.72,7.8,4.76,0.37,27.92,yellow,credit card,Clinton East,Queens Village,Manhattan,Queens
2019-03-04 21:49:52,2019-03-04 22:02:49,2,6.06,18.99,0.48,0.35,43.8,yellow,cash,Erasmus,Brighton Beach,Brooklyn,Brooklyn
2019-03-24 15:30:19,2019-03-24 15:44:10,2,0.11,7.12,2.0,0.09,24.3,yellow,credit card,Lower East Side,Kips Bay,Manhattan,Manhattan
2019-03-30 07:03:11,2019-03-30 07:19:15,1,5.73,6.2,0.33,0.13,11.8,yellow,cash,Clinton East,Hudson Sq,Manhattan,Manhattan
2019-03-09 16:30:26,2019-03-09 16:47:31,3,13.54,18.1,1.17,5.5,78.16,yellow,credit card,Bayside,Bensonhurst East,Queens,Brooklyn
2019-03-09 13:00:40,2019-03-09 13:15:36,1,0.08,11.4,0.27,0.18,13.33,yellow,cash,East Chelsea,Upper East Side North,Manhattan,Manhattan
2019-03-24 00:46:38,2019-03-24 01:02:35,1,2.27,6.87,6.6,0.02,9.4,yellow,credit card,Penn Station/Madison Sq West,Maspeth,Manhattan,Queens
2019-03-07 02:19:43,2019-03-07 02:33:26,1,0.4,7.77,0.9,0.02,12.6,yellow,cash,Lenox Hill East,Saint Albans,Manhattan,Queens
2019-03-19 17:47:11,2019-03-19 17:59:49,5,1.41,9.5,0.21,0.08,22.1,yellow,credit card,Greenwich Village North,Downtown Brooklyn/MetroTech,Manhattan,Brooklyn
2019-03-01 07:53:10,2019-03-01 08:05:01,1,2.58,11.5,0.03,0.12,17.05,yellow,cash,Upper East Side South,Bath Beach,Manhattan,Brooklyn
2019-03-15 22:33:24,2019-03-15 22:45:40,1,19.66,15.3,1.06,0.45,51.38,yellow,credit card,Murray Hill-Queens,Stuy Town/Peter Cooper Village,Queens,Manhattan
2019-03-08 19:55:30,2019-03-08 20:10:02,1,1.77,3.6,0.11,2.25,31.37,yellow,cash,Norwood,Sutton Place/Turtle Bay North,Bronx,Manhattan
2019-03-18 02:09:34,2019-03-18 02:22:44,1,1.35,4.4,0.65,0.16,9.16,yellow,credit card,Greenwich Village North,Clinton Hill,Manhattan,Brooklyn
