sentence1,sentence2,label,idx
"The results appear in the January issue of Cancer , an American Cancer Society journal , being published online today .",Citigroup ( C ) on Wednesday named Marjorie Magner chairman and chief executive of its colossal global consumer business .,1,1320
Danbury prosecutor Warren Murray could not be reached for comment Monday .,"He also said Shockey is "" living the dream life of a New York athlete .",1,1455
"Bob Richter , a spokesman for House Speaker Tom Craddick , had no comment about the ruling .",""" Biotech products , if anything , may be safer than conventional products because of all the testing , "" said Robert Fraley , Monsanto 's executive vice president .",1,3483
"A pro-independence radical , Miodrag Zivkovic , of the Liberal Alliance , came in second with 31 percent of the vote .",Estonia was forcibly incorporated in the Soviet Union in 1940 and regained its independence only in 1991 .,1,961
"Saddam loyalists have been blamed for sabotaging the nation 's infrastructure , as well as frequent attacks on U.S. soldiers .",It has a margin of error of plus or minus three to four percentage points .,1,1393
"Dr Mark McClean , Jonathan 's family doctor , said if the drug had been administered earlier Jonathan would have retained more of his brain functions .",""" Shattered Glass "" _ starring Hayden Christensen as Stephen Glass , The New Republic journalist fired for fabricating stories _ debuted well with $ 80,000 in eight theaters .",1,1165
Estonia 's place in the European mainstream and safeguard its independence regained in 1991 .,"In hardest-hit Taipei , traffic has disappeared from once-bustling streets and department stores and restaurants are virtually empty .",0,925
"Wal-Mart Stores Inc . , Kohl 's Corp. , Family Dollar Stores Inc. and Big Lots Inc. were among the merchants posting May sales that fell below Wall Street 's modest expectations .","If the MTA 's appeal is successful , the $ 2 bus and subway base fare won 't change .",1,1554
Environmental campaigners are using this weekend ’ s lunar eclipse to highlight the huge increase in light pollution across the UK .,"The Standard & Poor 's 500 Index < .SPX > slipped 0.26 point , or 0.02 percent , to 1,121.96 .",1,3151
"We firmly believe we have an absolute right to use the common word ' spike ' as the name of our network . """,""" Instead of pursuing the most imminent and real threats - international terrorists , "" Graham said , "" this Bush administration chose to settle old scores . """,0,3619
Blair 's Foreign Secretary Jack Straw was to take his place on Monday to give a statement to parliament on the European Union .,"Prosecutors allege that Nichols and coconspirator Timothy McVeigh worked together to prepare a 4,000-pound fuel-and-fertilizer bomb that destroyed the Murrah building .",0,3185
"The airline also said it has the option to buy 380 more airplanes , orders that would be split evenly between the two manufacturers .","Some of the companys software developers will join Microsoft , but details havent been finalized , said Mike Nash , corporate vice president of Microsofts security business unit .",0,2616
"The Centers for Medicare and Medicaid Services , the federal agency that runs Medicare , last year began a similar effort for nursing homes .",The fight over online music sales was disclosed in documents made available Monday by the court .,1,96
"Bush also hoped to polish his anti-AIDS credentials in Uganda , which has been hailed as an African pioneer in fighting the killer disease .","The Standard & Poor 's 500 Index < .SPX > slipped 0.26 point , or 0.02 percent , to 1,121.96 .",1,2477
"The New York Democrat and former first lady has said she will not run for the White House in 2004 , but has not ruled out a race in later years .","He 's not related to Malvo , but the two have referred to each other as father and son .",0,355
""" There is no conscious policy of the United States , I can assure you of this , to move the dollar at all , "" he said .","Ross Garber , Rowland 's legal counsel , said the governor would have no comment on the condo deal .",1,2324
"GE stock closed at $ 30.65 a share , down about 42 cents , on the New York Stock Exchange .","Her 20-year-old sister , Allyson , was severely burned and remained hospitalized in critical condition .",1,3365
"Later this year , the command will send trainers with soldiers from four North African nations on patrolling and intelligence gathering missions .","After Alabama voters rejected his $ 1.2 billion tax plan Sept . 9 , Riley forecast significant cuts in state programs .",1,766
""" This decision is clearly incorrect , "" FTC Chairman Timothy Muris said in a written statement .",A former Utah Power meter reader pleaded guilty Wednesday to bombing a power substation during the 2002 Winter Olympics .,0,1958
"Zulifquar Ali , a worshipper slightly wounded by shrapnel , said the assailants first targeted the mosque 's security guards .","For residents with incomes above $ 500,000 , the income-tax rate will increase to 4.45 percent .",1,1524
Corixa shares rose 54 cents to $ 7.74 yesterday on the Nasdaq Stock Market .,"The S3C2440 has a built-in NAND flash boot loader , for example , so that high-density NAND flash memory can be installed without an additional support chip .",1,661
"Cindy Yeast , a 50-year-old Washington-area publicist , says she began taking supplements two years ago in part to avoid mild dementia that affects her elderly parents .","Stephen King , master of the horror story and e-book pioneer , is receiving this year 's medal for Distinguished Contributions to American Letters from the National Book Foundation .",0,1218
He made a point of saying during Tuesdays debate that the Confederate flag was a racist symbol .,The airline expects to save another $ 100-million a year through management layoffs and pay cuts .,0,2442
"Spansion products are to be available from both AMD and Fujitsu , AMD said .","In Baghdad , police Lieut . Mothana Ali said about 1,000 demonstrators arrived at the station demanding jobs .",0,2527
Sun Microsystems Inc. on Thursday said it had added 100 new third-party systems and 100 new components to its Hardware Compatibility List for the Solaris x86 operating system Platform Edition .,"A county firefighter , was struck by lightning and was in stable condition at Frankfort Regional Medical Center .",1,3729
