Name,Miles_per_Gallon,Cylinders,Displacement,Horsepower,Weight_in_lbs,Acceleration,Year,Origin
pontiac j2000 se hatchback,20.2,7,143.0,185,3510,13.4,1970-01-01,USA
amc pacer d/l,10.7,6,236.0,141,4192,12.7,1970-01-01,USA
mercury monarch,26.0,5,315.0,86,2966,17.7,1970-01-01,USA
dodge coronet custom,22.2,7,298.0,150,4044,20.1,1970-01-01,USA
volvo 145e (sw),15.0,4,397.0,120,3095,16.2,1970-01-01,Europe
datsun 810 maxima,20.4,4,371.0,151,2575,15.2,1970-01-01,Japan
ford mustang,14.6,6,304.0,214,2824,14.5,1970-01-01,USA
dodge rampage,19.7,8,255.0,187,3023,15.5,1970-01-01,USA
chevrolet monte carlo landau,10.6,6,386.0,168,5038,12.7,1970-01-01,USA
plymouth fury gran sedan,20.6,5,426.0,217,4223,13.2,1970-01-01,USA
buick opel isuzu deluxe,9.0,6,331.0,169,3154,14.0,1970-01-01,USA
ford fairmont 4,20.3,4,116.0,80,3214,15.5,1970-01-01,USA
hi 1200d,13.0,5,310.0,153,2938,14.0,1970-01-01,USA
plymouth sapporo,22.7,8,103.0,130,3991,19.8,1970-01-01,USA
dodge rampage,14.0,8,307.0,190,4343,18.9,1970-01-01,USA
honda civic 1300,15.5,3,186.0,217,1976,19.8,1970-01-01,Japan
toyota corolla,10.3,3,419.0,106,1613,11.4,1970-01-01,Japan
chevrolet chevelle concours (sw),23.0,7,367.0,221,3312,16.5,1970-01-01,USA
datsun 210,17.9,3,316.0,56,2736,13.3,1970-01-01,Japan
chevy c20,13.1,6,406.0,223,3736,13.4,1970-01-01,USA
toyota mark ii,18.8,4,379.0,148,2466,13.9,1970-01-01,Japan
plymouth reliant,24.5,8,245.0,194,3471,12.1,1970-01-01,USA
dodge colt hardtop,18.5,7,109.0,177,3185,18.4,1970-01-01,USA
datsun 310,18.9,4,254.0,50,2238,10.7,1970-01-01,Japan
mazda glc,26.9,5,418.0,,2278,17.0,1970-01-01,Japan
dodge d100,25.2,7,441.0,125,4370,16.7,1970-01-01,USA
chevrolet impala,10.4,4,191.0,195,4479,12.9,1970-01-01,USA
cadillac seville,9.3,7,329.0,46,2637,11.5,1970-01-01,USA
chevrolet impala,13.0,7,348.0,162,3001,12.1,1970-01-01,USA
volkswagen scirocco,24.3,4,298.0,168,2024,17.2,1970-01-01,Europe
ford pinto,,6,327.0,187,2797,16.7,1970-01-01,USA
chevrolet caprice classic,18.6,8,288.0,68,2999,17.9,1971-01-01,USA
audi 5000s (diesel),,4,339.0,177,2612,15.2,1971-01-01,Europe
cadillac seville,29.9,5,364.0,168,2580,16.0,1971-01-01,USA
ford escort 4w,27.5,5,182.0,130,2602,14.0,1971-01-01,USA
toyota corolla,18.9,4,249.0,175,2777,18.2,1971-01-01,Japan
ford torino,,4,352.0,148,2819,17.0,1971-01-01,USA
buick century limited,28.3,4,362.0,73,3463,16.9,1971-01-01,USA
oldsmobile cutlass salon brougham,22.1,7,213.0,90,2020,16.0,1971-01-01,USA
ford fairmont (man),30.7,5,71.0,142,4294,14.1,1971-01-01,USA
buick skylark,20.7,7,245.0,147,4042,16.7,1971-01-01,USA
ford pinto,20.9,6,299.0,144,4633,12.6,1971-01-01,USA
volvo 144ea,14.4,4,100.0,68,2925,16.2,1971-01-01,Europe
plymouth reliant,23.4,4,250.0,121,4160,11.1,1971-01-01,USA
buick regal sport coupe (turbo),20.6,8,194.0,166,3381,11.2,1971-01-01,USA
capri ii,28.1,6,105.0,117,4757,19.4,1971-01-01,USA
audi 4000,,4,179.0,63,3018,16.0,1971-01-01,Europe
honda Accelerationord lx,19.3,4,93.0,94,2105,14.1,1971-01-01,Japan
amc matador (sw),19.8,5,195.0,144,2700,13.8,1971-01-01,USA
dodge aspen 6,13.0,5,377.0,171,3150,11.6,1971-01-01,USA
chevrolet malibu classic (sw),14.9,7,353.0,85,4142,12.3,1971-01-01,USA
volvo 264gl,30.5,4,275.0,168,3325,17.5,1971-01-01,Europe
mazda rx2 coupe,26.1,3,261.0,73,1959,17.5,1971-01-01,Japan
volkswagen type 3,29.4,4,376.0,48,2016,14.0,1971-01-01,Europe
buick lesabre custom,15.8,6,341.0,60,4055,17.2,1971-01-01,USA
buick century luxus (sw),31.3,7,88.0,130,3648,20.7,1971-01-01,USA
oldsmobile vista cruiser,19.5,4,268.0,159,5140,17.0,1971-01-01,USA
amc pacer,19.7,6,80.0,156,2765,11.3,1971-01-01,USA
chevrolet nova,23.3,4,102.0,129,2824,13.0,1971-01-01,USA
toyota corolla,25.5,5,225.0,132,1823,16.2,1971-01-01,Japan
toyota corona hardtop,25.5,3,396.0,132,1846,13.3,1972-01-01,Japan
ford maverick,19.4,7,253.0,194,3565,15.3,1972-01-01,USA
hi 1200d,14.9,7,89.0,93,3986,18.5,1972-01-01,USA
ford fairmont (man),26.5,7,396.0,120,3641,21.1,1972-01-01,USA
toyota cressida,27.8,5,361.0,185,2472,18.9,1972-01-01,Japan
toyota corolla,21.6,5,418.0,207,2321,11.7,1972-01-01,Japan
subaru,,5,235.0,120,2081,16.9,1972-01-01,Japan
chrysler lebaron medallion,15.2,7,308.0,137,4962,13.6,1972-01-01,USA
datsun 1200,18.1,3,85.0,128,2396,14.0,1972-01-01,Japan
toyota mark ii,11.7,4,367.0,91,1613,14.2,1972-01-01,Japan
mercury monarch ghia,25.0,6,384.0,61,2064,17.0,1972-01-01,USA
toyota corolla 1200,16.0,5,316.0,123,1944,22.7,1972-01-01,Japan
volvo 244dl,11.5,4,142.0,128,2172,9.9,1972-01-01,Europe
chrysler lebaron salon,17.8,6,296.0,85,3314,12.8,1972-01-01,USA
pontiac phoenix,23.1,7,90.0,87,4018,16.2,1972-01-01,USA
ford pinto,23.4,4,92.0,156,3176,14.6,1972-01-01,USA
mazda glc custom,25.2,4,212.0,182,2251,21.3,1972-01-01,Japan
chevrolet camaro,14.9,8,266.0,99,3001,15.4,1972-01-01,USA
mazda glc custom l,15.6,4,187.0,198,1973,20.6,1972-01-01,Japan
toyota corolla liftback,16.8,4,304.0,169,2500,20.0,1972-01-01,Japan
amc ambassador dpl,18.6,4,301.0,94,2968,12.3,1972-01-01,USA
datsun 710,27.1,4,401.0,101,2127,12.4,1972-01-01,Japan
amc matador,15.7,7,121.0,182,2917,15.2,1972-01-01,USA
amc pacer,13.0,5,144.0,113,3594,17.6,1972-01-01,USA
chevrolet citation,19.3,4,357.0,141,4326,11.7,1972-01-01,USA
ford pinto,20.5,6,316.0,64,4571,17.1,1972-01-01,USA
plymouth reliant,18.7,7,340.0,142,3388,12.9,1972-01-01,USA
amc concord d/l,18.1,5,80.0,160,3629,16.9,1972-01-01,USA
dodge st. regis,27.1,6,113.0,82,4305,15.4,1972-01-01,USA
ford ltd,25.0,8,160.0,104,4800,19.6,1972-01-01,USA
amc ambassador brougham,14.7,6,404.0,188,3216,19.3,1972-01-01,USA
volkswagen jetta,21.3,4,183.0,122,1936,16.0,1972-01-01,Europe
audi fox,24.4,4,253.0,205,2121,13.6,1972-01-01,Europe
volvo 264gl,27.5,4,139.0,152,1975,12.2,1973-01-01,Europe
subaru,14.0,4,139.0,192,2474,10.6,1973-01-01,Japan
fiat strada custom,17.1,4,126.0,157,5140,12.6,1973-01-01,Europe
