Date,CO2,adjusted CO2
1958-03-01,314.85,314.17
1958-03-31,315.52,314.49
1958-04-30,313.26,314.67
1958-05-30,315.53,314.41
1958-06-29,316.05,315.1
1958-07-29,316.1,315.24
1958-08-28,318.56,315.29
1958-09-27,315.24,315.49
1958-10-27,316.94,315.59
1958-11-26,315.89,315.09
1958-12-26,319.27,316.21
1959-01-25,316.96,315.73
1959-02-24,317.33,315.91
1959-03-26,316.29,315.92
1959-04-25,317.85,316.33
1959-05-25,318.06,316.04
1959-06-24,316.62,316.43
1959-07-24,317.91,316.88
1959-08-23,318.62,316.83
1959-09-22,317.45,316.52
1959-10-22,319.36,316.89
1959-11-21,316.69,317.16
1959-12-21,319.99,317.54
1960-01-20,317.84,317.19
1960-02-19,319.42,317.13
1960-03-20,320.69,317.98
1960-04-19,318.67,318.15
1960-05-19,321.09,317.85
1960-06-18,319.11,319.09
1960-07-18,319.98,318.33
1960-08-17,319.45,318.56
1960-09-16,317.9,318.63
1960-10-16,319.87,318.67
1960-11-15,321.09,318.63
1960-12-15,322.88,318.48
1961-01-14,318.94,318.65
1961-02-13,322.95,319.06
1961-03-15,318.94,319.17
1961-04-14,321.62,319.8
1961-05-14,323.25,319.54
1961-06-13,319.84,319.59
1961-07-13,321.36,320.0
1961-08-12,319.72,320.26
1961-09-11,321.28,319.76
1961-10-11,323.49,320.76
1961-11-10,322.08,320.49
1961-12-10,322.22,320.64
1962-01-09,322.14,320.82
1962-02-08,322.49,321.57
1962-03-10,322.58,320.69
1962-04-09,322.97,321.33
1962-05-09,323.61,321.11
1962-06-08,321.44,321.99
1962-07-08,324.51,321.33
1962-08-07,324.13,321.61
1962-09-06,324.42,321.4
1962-10-06,323.14,321.46
1962-11-05,321.82,322.27
1962-12-05,321.34,321.68
1963-01-04,325.36,321.95
1963-02-03,324.88,321.83
1963-03-05,323.5,322.4
1963-04-04,325.63,322.57
1963-05-04,324.1,322.74
1963-06-03,324.03,323.77
1963-07-03,326.26,322.53
