id,question,choices,answerKey
1,Yumiko gave some reasons why kettles and kitchen pans are often made of copper. Which reason is correct?,1,3
2,"In your body, what two organs work together to make sure that oxygen gets to all the other organs of your body?",2,C
3,Ninety-nine percent of the mass of an atom is located in,3,D
4,Scientists working for a company are testing a new medicine that they think will help heal damaged tissue. In which part of the company are the scientists working?,4,D
5,What happens during photosynthesis?,5,3
6,Chinese and European societies can use different but effective technologies when addressing medical questions. What does this demonstrate?,6,A
7,Which process allows green plants to control the amount of water stored in their leaves?,7,C
8,Drew was measuring the growth of a vine that can grow almost 31 cm a day. Which would be the best way to record his data of the growth over a period of a day?,8,C
9,Which part of a DNA molecule represents encoded information?,9,C
10,Paula determines a property of a marble using a balance and a graduated cylinder. What property is Paula most likely determining by using both tools?,10,C
11,Which of the following is an example of a behavioral adaptation?,11,B
12,"When buried sediments are subjected to pressure, the mineral grains are squeezed together. What is the result of this action?",12,D
13,A ball is tossed up in the air and it comes back down. The ball comes back down because of,13,C
14,"Students are learning about the natural resources in Maryland. One group of students researches information about renewable natural resources in the state. The other group researches information about nonrenewable natural resources in the state. The resources the students investigate include plants, animals, soil, minerals, water, coal, and oil. Which nonrenewable natural resource heats homes?",14,A
15,Which is an example of a decomposer?,15,C
16,Which instrument should a student use to best examine bacteria?,16,D
17,"Iron oxides, such as rust, form when iron metal reacts with oxygen in the air. What are the chemical symbols for the two elements found in iron oxide?",17,2
18,Which most accurately describes a circle (pie) graph?,18,A
19,Most sedimentary rock is made from sediments of other rock. Which of these processes would the sediments most likely go through to form sedimentary rock?,19,A
20,Some events on Earth happen instantly while others take thousands of years to occur. Which process takes the longest time to complete?,20,B
21,Which example describes an organism taking in nutrients?,21,B
22,"Mrs. Henderson's class has five small, covered boxes. One contains perfume; another contains dried onions. There is also a box of pine needles, a box of lemon pieces, and a box with a paper towel wet with vanilla flavoring. Which should they do to get the best information about what is in each box?",22,B
23,"When large areas of the rainforests are cleared and burned, climate can be affected. Which best explains how rainforest destruction can contribute to the greenhouse effect?",23,B
24,Which part of a plant is used to absorb sunlight during photosynthesis?,24,D
25,"After nitrogen becomes part of the lithosphere, what is the next change that nitrogen will undergo?",25,A
26,Which process allows green plants to control the amount of water stored in their leaves?,26,D
27,"In a gasoline-powered car, chemical energy from gasoline is transformed to make the car move. The motion of the car is what form of energy?",27,C
28,Which group of organisms can make food by a process called chemosynthesis?,28,B
29,A city has an outbreak of a disease that affects an unusually large portion of its population at the same time. Which term best describes the outbreak?,29,B
30,"Students conducted an investigation with green bananas. They hypothesized that an onion placed near a banana could increase the rate at which the banana ripened. They placed one onion and one banana in each of three containers. In a fourth container they placed a banana, but no onion. Which statement best explains why the onion was left out of the fourth container?",30,D
31,Beans and coal both have stored energy. Where did the energy come from that is stored in beans and coal?,31,A
32,Hydrogen gas and oxygen gas combine to form water. Which would be a more concise way of expressing what happens in this chemical reaction?,32,A
33,"Colored alcohol is used in some glass thermometers. When placed in air of different temperatures, the column of alcohol rises or falls in the glass thermometer. Which of the following best explains why the height of the alcohol column changes?",33,A
34,A ball on a cart is moving at a rate of 2 m/s. The cart suddenly stops and the ball continues to travel in the same direction at the same speed. This is an example of the,34,E
35,What happens to the physical state of water when it freezes?,35,D
36,Which statement describes all matter?,36,B
37,Some of Earth's water is stored underground in porous rock formations known as aquifers. Which of these could use up groundwater in aquifers?,37,A
