year,temp
1880,-0.14
1881,-0.06
1882,-0.18
1883,-0.34
1884,-0.01
1885,0.04
1886,-0.16
1887,-0.17
1888,-0.17
1889,-0.11
1890,-0.17
1891,-0.31
1892,-0.08
1893,-0.19
1894,0.02
1895,0.05
1896,-0.07
1897,0.02
1898,-0.08
1899,0.14
1900,-0.08
1901,0.28
1902,-0.03
1903,-0.02
1904,-0.01
1905,0.09
1906,-0.06
1907,0.05
1908,-0.1
1909,-0.13
1910,0.1
1911,0.12
1912,0.2
1913,0.17
1914,0.31
1915,0.0
1916,0.21
1917,0.06
1918,0.16
1919,0.12
1920,0.08
1921,0.13
1922,0.04
1923,0.14
1924,-0.02
1925,0.27
1926,0.34
1927,0.11
1928,0.09
1929,0.33
1930,0.25
1931,0.37
1932,0.34
1933,0.33
1934,0.37
1935,0.26
1936,0.23
1937,0.52
1938,0.42
1939,0.32
1940,0.35
1941,0.39
1942,0.38
1943,0.32
1944,0.29
1945,0.2
1946,0.31
1947,0.32
1948,0.15
1949,0.36
1950,0.33
1951,0.39
1952,0.33
1953,0.42
1954,0.54
1955,0.5
1956,0.3
1957,0.57
1958,0.72
1959,0.34
1960,0.26
1961,0.35
1962,0.39
1963,0.6
1964,0.5
1965,0.51
1966,0.73
1967,0.51
1968,0.47
1969,0.47
1970,0.4
1971,0.46
1972,0.65
1973,0.44
1974,0.65
1975,0.68
1976,0.58
1977,0.57
1978,0.68
1979,0.62
1980,0.45
1981,0.71
1982,0.62
1983,0.74
1984,0.59
1985,0.71
1986,0.57
1987,0.8
1988,0.65
1989,0.72
1990,0.74
1991,0.63
1992,0.69
1993,0.8
1994,0.68
1995,0.82
1996,0.59
1997,0.76
1998,0.88
1999,0.87
2000,0.83
2001,0.81
2002,0.85
2003,1.01
2004,0.91
2005,0.96
2006,0.62
2007,0.69
2008,0.86
2009,0.9
2010,0.83
2011,0.86
2012,0.71
2013,0.92
2014,0.93
2015,0.92
2016,0.93
2017,0.79
2018,0.86
2019,0.89
2020,0.97
2021,0.93
2022,0.99
2023,0.94
