name,cx,cy
Lambeth,-0.11827879184555544,51.45307915598091
Islington,-0.10744657464865907,51.54550386068218
Camden,-0.15741523389534484,51.54639253962996
Bromley,0.05153658618046189,51.37198402033694
Richmond upon Thames,-0.312989912939369,51.44217087768007
Redbridge,0.07586498666349965,51.58566980239283
Hackney,-0.06564515736890775,51.54976532427057
Hammersmith and Fulham,-0.22312501860130696,51.49760349773975
Newham,0.036385305135703754,51.52834280272405
Barnet,-0.2100178905687616,51.61601840050092
Enfield,-0.08726531756552813,51.650991897325454
Havering,0.22111695897456907,51.564368109593914
Waltham Forest,-0.012645389036967393,51.59402179942259
Greenwich,0.05623854022441538,51.47280349330009
Southwark,-0.07460248417459615,51.47313736252929
Hillingdon,-0.4456619192134244,51.54147118065276
Barking and Dagenham,0.13352186486629006,51.54527226704611
Tower Hamlets,-0.03246795051939853,51.515056063777294
Hounslow,-0.3671516396902454,51.46838045919461
Merton,-0.19724686451592524,51.40994982121643
Ealing,-0.331019323573572,51.52247610268018
Kingston upon Thames,-0.28691465719243003,51.387893353778395
City of London,-0.09232371387227845,51.51529009582889
Brent,-0.2678117446868589,51.558554439571225
Croydon,-0.08716546101532906,51.355317416374
Kensington and Chelsea,-0.1926146417708775,51.50326858912867
Lewisham,-0.020251210147097444,51.44808622366465
Wandsworth,-0.18644255213923716,51.45135372974042
Harrow,-0.34127462993183943,51.59771852185307
Bexley,0.14034521936844538,51.45881060129503
Haringey,-0.10747319126297968,51.59037386425316
Westminster,-0.16129707300361068,51.513897745031734
Sutton,-0.1775706458949663,51.36208881322784
