state,id,population,engineers,hurricanes
Virginia,1,585501,0.008595061,12
Oklahoma,2,1661424,0.002286188,0
Pennsylvania,3,13346236,0.004237253,1
Florida,4,1724778,0.003299949,110
South Dakota,5,2171968,0.003085086,0
Massachusetts,6,2676765,0.010230808,10
North Dakota,7,10903792,0.003403909,0
Arizona,8,2853878,0.004774154,0
Connecticut,9,15316244,0.005896906,10
Oregon,10,585501,0.005457479,0
Alaska,11,663095,0.001590524,0
Georgia,12,2141961,0.004939686,20
New Hampshire,13,2309123,0.00633056,2
Utah,14,3762213,0.006440053,0
Colorado,15,39250017,0.008087652,0
Maine,16,2203061,0.002290686,6
Maryland,17,5986263,0.006291088,2
Louisiana,18,5637197,0.001176931,49
Idaho,19,7357787,0.002970638,0
Ohio,20,3735784,0.004095787,0
West Virginia,21,2226063,0.00128338,0
Vermont,22,7725345,0.004643016,0
Wyoming,23,4227346,0.001007684,0
Wisconsin,24,4444519,0.004821147,0
Puerto Rico,25,1306220,0.000773897,0
New Mexico,26,6439405,0.001883696,0
District of Columbia,27,12752981,0.011759179,0
Delaware,28,5467883,0.004989155,2
Rhode Island,29,11851083,0.004581485,9
Nevada,30,4091407,0.002037375,0
Nebraska,31,4557570,0.005621053,0
North Carolina,32,10952734,0.004226953,46
Tennessee,33,3628301,0.002375513,0
South Carolina,34,585501,0.002084207,31
Kansas,35,5454159,0.003811111,0
Indiana,36,7062528,0.002724236,0
Iowa,37,5879971,0.003716472,0
Hawaii,38,6762359,0.001624016,0
Missouri,39,6583929,0.004413261,0
Minnesota,40,24505247,0.006193894,0
Mississippi,41,2846123,0.000933508,15
Washington,42,3444502,0.010710757,0
Michigan,43,19755912,0.003876797,0
Texas,44,7914707,0.004320129,59
Montana,45,9209667,0.002139048,0
California,46,4936484,0.007125857,0
New Jersey,47,4496878,0.007724327,2
Alabama,48,6934515,0.003421545,22
Arkansas,49,1016590,0.002439557,0
Illinois,50,10008375,0.004478368,0
New York,51,5705223,0.004941432,12
Kentucky,52,9908895,0.002089262,0
