Species,Island,Beak Length (mm),Beak Depth (mm),Flipper Length (mm),Body Mass (g),Sex
Adelie,Dream,40.8,17.6,191,4258,FEMALE
Adelie,Torgersen,36.5,19.3,219,4493,FEMALE
Adelie,Dream,36.0,18.7,193,3482,MALE
Adelie,Torgersen,35.1,18.8,183,3335,FEMALE
Adelie,Biscoe,39.7,17.1,200,3861,FEMALE
Adelie,Torgersen,37.2,18.4,215,3598,FEMALE
Adelie,Dream,37.5,17.5,184,3451,FEMALE
Adelie,Biscoe,40.5,18.5,208,3276,MALE
Adelie,Torgersen,35.2,18.1,199,4466,FEMALE
Adelie,Torgersen,37.6,19.0,231,4037,FEMALE
Adelie,Dream,37.6,19.5,206,5031,MALE
Adelie,Torgersen,41.0,17.6,198,3777,FEMALE
Adelie,Torgersen,38.6,18.1,204,4359,MALE
Adelie,Dream,37.7,20.3,224,3413,MALE
Adelie,Biscoe,36.8,15.9,222,3217,MALE
Adelie,Torgersen,42.3,17.2,193,3676,FEMALE
Adelie,Biscoe,39.6,21.1,179,3091,MALE
Adelie,Dream,40.1,18.0,200,3166,MALE
Adelie,Dream,35.6,17.8,221,3613,FEMALE
Adelie,Biscoe,39.0,18.9,183,3579,FEMALE
Adelie,Torgersen,37.9,19.1,218,3127,FEMALE
Adelie,Biscoe,37.0,20.6,188,3402,FEMALE
Adelie,Torgersen,37.3,18.6,183,4192,MALE
Adelie,Biscoe,40.2,16.1,217,3241,MALE
Adelie,Biscoe,35.9,18.1,204,3624,FEMALE
Adelie,Dream,42.9,17.0,214,3805,FEMALE
Adelie,Dream,33.1,18.3,184,4285,MALE
Adelie,Biscoe,32.1,17.1,231,4514,MALE
Adelie,Dream,35.0,17.8,206,3230,
Adelie,Biscoe,36.2,17.2,192,3374,FEMALE
Adelie,Biscoe,37.8,21.2,196,4091,MALE
Adelie,Torgersen,41.3,18.5,219,3681,MALE
Adelie,Torgersen,42.7,17.5,210,3347,MALE
Adelie,Torgersen,44.1,18.2,209,3786,MALE
Adelie,Biscoe,38.1,18.5,218,4096,MALE
Adelie,Dream,38.7,19.4,204,3481,MALE
Adelie,Dream,36.0,20.1,204,4227,MALE
Adelie,Dream,41.1,16.0,181,3243,FEMALE
Adelie,Dream,39.8,19.3,192,3562,MALE
Adelie,Dream,38.2,17.0,222,3272,FEMALE
Adelie,Dream,38.1,21.2,215,4554,FEMALE
Adelie,Biscoe,36.2,20.5,231,3927,MALE
Adelie,Dream,41.4,17.0,207,3314,MALE
Adelie,Torgersen,40.8,17.9,199,3161,FEMALE
Adelie,Biscoe,37.2,18.7,200,4343,FEMALE
Adelie,Biscoe,41.6,18.9,198,3319,FEMALE
Adelie,Dream,40.3,19.4,207,3440,MALE
Adelie,Biscoe,38.8,18.5,199,3278,MALE
Adelie,Torgersen,39.3,18.4,205,4177,FEMALE
Adelie,Torgersen,36.0,16.9,196,3768,MALE
Adelie,Dream,45.6,20.3,190,3366,FEMALE
Adelie,Biscoe,41.1,17.7,196,3355,FEMALE
Adelie,Torgersen,38.6,18.6,219,4074,MALE
Adelie,Torgersen,45.8,19.2,199,4153,FEMALE
Adelie,Biscoe,39.7,19.5,199,3968,FEMALE
Adelie,Torgersen,33.5,21.1,190,4124,MALE
Adelie,Dream,37.8,19.5,198,3265,MALE
Adelie,Dream,40.6,17.0,218,3635,MALE
Adelie,Dream,39.2,20.0,195,3316,MALE
Adelie,Biscoe,40.7,18.5,210,4007,MALE
Adelie,Dream,43.1,19.1,191,3511,MALE
Adelie,Dream,35.7,19.4,203,4040,FEMALE
Adelie,Torgersen,41.5,16.7,197,3452,MALE
Adelie,Torgersen,42.1,16.5,184,4041,FEMALE
Adelie,Biscoe,35.5,17.1,206,3853,FEMALE
Adelie,Dream,36.9,18.5,197,4582,MALE
Adelie,Dream,39.2,18.6,224,3986,MALE
Adelie,Biscoe,40.6,17.7,195,3269,FEMALE
Adelie,Dream,36.6,17.8,226,4283,FEMALE
Adelie,Dream,38.2,20.0,208,3550,FEMALE
Adelie,Biscoe,36.3,20.0,201,3138,FEMALE
Adelie,Dream,39.7,17.2,216,3953,MALE
Adelie,Torgersen,36.7,16.1,212,3410,FEMALE
Adelie,Dream,41.5,17.2,197,4071,FEMALE
Adelie,Torgersen,36.5,16.2,207,3466,MALE
