answer,question
"[""Constantine""]",when were glass windows first used in england
"[""Edwin Hubble""]",how many episodes of peaky blinders season 3
"[""Elvy Yost"",""Max Carver"",""Keli'i""]",rank of india in human development index 2017
"[""Citytv""]",when was the last episode of mafs filmed
"[""December 15, 2017""]",who killed lily mother in the secret life of bees
"[""the axon terminal""]",who was the french and indian war fought between
"[""in 2018""]",when does boku no hero academia anime come out
"[""Niagara River""]",who wrote ball and chain by social distortion
"[""Lionel Messi""]",real name of ginny weasley in harry potter
"[""Potassium chlorate""]",where did the phrase skeletons in the closet come from
"[""Jason Michael Lee""]",who sings the song wish i knew you when i was young
"[""2018""]",when did the world population hit 7 billion
"[""2010""]",who had the most land after the french and indian war
"[""Jonah Marais Roth Frantzich"",""Daniel James Seavey"",""Jack Robert Avery"",""Corbyn Matthew Besson"",""Zachary Dean Herron""]",who was on the central powers side in ww1
"[""Sarabi""]",unit of measure for area of a triangle
"[""Billie Jean King""]",who has the most strike outs in mlb
"[""17""]",who's winning the cowboys or the redskins
"[""Thurl Ravenscroft""]",when does perks of being a wallflower take place
"[""Anil Kumar Jha""]",where is three billboards outside of ebbing missouri filmed
"[""in 2018""]",who sang this is the sound of the suburbs
"[""1962""]",where did they film hot tub time machine
"[""January 11, 1970""]",who wrote it is well with my soul hymn
"[""Spanish""]",when is read dead redemption 2 coming out
"[""March 27, 2018""]",when did brian wilde leave last of the summer wine
"[""Pom Klementieff""]",how many stars does the american flag has
"[""December 15, 2017""]",are metals mostly solid liquid or gas at room temperature
"[""ice caps""]",who was the last person to be hanged drawn and quartered
"[""December 15, 2017""]",who does the voice of max from a goofy movie
"[""North Korea""]",what is the habitat of the green sea turtle
"[""China""]",the slogan garibi hatao (removal of poverty)was adopted during the period of —–
"[""those that have died""]",who does david burtka play in how i met your mother
"[""12""]",who won the men's singles at the 2017 french open
"[""18 August 2011""]",how many buick grand national gnx were made
"[""Dev"",""Devin Star Tailes""]",when does derek die in grey's anatomy
"[""John O'Banion""]",which is the longest mountain range in north america
