sentence,label,idx
I felt that I know you.,1,951
Ann bought a first edition of Richard III for $1000.,1,565
Out of the box jumped a little white rabbit.,1,828
"Because she's so pleasant, as for Mary I really like her.",0,158
The chair pushed.,1,497
Sally kissed himself.,1,66
We pulled free.,0,835
The administration has issued a statement that it is willing to meet a student group.,1,829
This flyer and that flyer differ apart.,0,352
John convinced Bill that Mary should sleep.,1,828
In the classroom John put the book on the table.,1,322
That we invaded Iraq really bites.,1,551
"The more Fred is obnoxious, the less attention you should pay to him.",1,12
Linda taped the picture onto the wall.,0,349
Frank Churchill crossed the street.,0,162
the one with a red cover takes a very long time to read.,1,358
It is a problem that he is here.,0,742
The tub leaked water.,0,603
What did you leave before they started playing?,1,251
"The newspaper has reported that they are about to appoint someone, but I can't remember who they are about to appoint.",0,87
Max is on the phone now.,1,823
Lee saw the student with a telescope.,1,43
There presented itself a wonderful opportunity yesterday.,1,401
Some people yell at dogs.,1,282
The defendants walks.,0,859
Which king did you ask which city invaded?,0,245
Jason persuaded the doctor to treat Medea,1,728
I'll work on it if Sam will be working on it.,1,700
He washed yourself.,1,706
He washed her.,1,606
"Harry told Sue that Albania is a lovely place for a vacation, and Tom told Sally that Albania is a lovely place for a vacation.",0,353
"John likes some students, but I don't know who.",0,362
Us love they.,1,453
I don't know who John likes.,1,567
Cynthia nibbled on the carrot .,1,611
Came right in he did without so much as a knock.,0,505
John was struck as sick.,1,313
John tried to be a good boy.,0,1013
Sharon came the room.,1,399
What the water did to the whole bottle was fill it.,1,208
They knew that pictures of each other would be on sale.,0,1016
He let the cats which were whining out.,1,920
It would prove our theory to be untenable for carrots to be vegetables.,0,719
Students studying English reads Conrad's Heart of Darkness while at university.,1,460
A magazine appeared on the newsstands.,1,536
John decided Bill to get the prize.,1,464
John whispered Mary left.,0,258
"Bill ate the peaches, and Harry did, too.",1,155
"You may pick every flower, but leave a few for Mary.",1,566
John tries to leave the country.,1,58
Lights go out at ten. There will be no talking afterwards.,1,777
John made Bill master of himself.,1,1028
We made them be rude.,0,356
Mary intended John to go abroad.,1,716
I would like to could swim,0,420
We celebrated in the streets.,0,324
Water bubbled up out of the kettle.,1,412
"Drowning cats, which is against the law, are hard to rescue.",1,134
"Everybody gets on well with a certain relative, but often only his therapist knows which one.",1,594
The table was wiped by John clean.,1,727
"Sarah promised Catherine her old car, but then gave it to her son instead.",1,174
I dislike the people in whose house we stayed.,1,524
Which boy's did we elect guardian's employer president?,0,476
John heard that they criticized themselves.,0,267
"I demand that the more John eat, the more he pays.",1,350
I gave it to Pete to take to the fair.,1,130
"Everybody who attended last week's huge rally, whoever they were, signed the petition.",0,983
I wonder whose mother died.,1,2
"I like Bill's yellow shirt, but not Max's.",1,244
Was sunk.,1,66
"They're going to serve the guests something, but it's unclear what.",1,863
I read some of the book.,0,1018
Blue leather shows herself that Betsy is pretty.,0,237
This flyer and that flyer differ.,1,104
John became deadly afraid of flying.,0,409
I wonder whom us to trust.,1,729
John put old books in the box.,0,514
John was spoken to by Mary.,1,219
John talked to Bill about himself.,1,1039
Drew believes I think Rosie loves magazine ads.,0,833
The car was driven by John to Maine.,0,494
It was from six to nine or it took place from six to nine.,1,589
Harriet admired Mr Knightley.,1,648
A wonderful opportunity presented itself to him yesterday.,0,2
John bought a dog for himself to play with.,0,697
"Harry told Sue that Albania is a lovely place for a vacation, and Tom told Sally that Albania is a lovely place for a vacation.",0,74
They realised that never had Sir Thomas been so offended.,1,287
Brown presented a plaque to Jones.,0,796
It was believed that Bill was tardy.,1,69
The rules require that the executives be polite.,1,859
there is nothing to do.,0,243
"Everybody who attended last week's huge rally, whoever they were, signed the petition.",1,469
The Dodgers beat the Red Sox and were beaten by the Giants.,1,692
Anson demonized,1,188
I drank some of water.,1,522
Which topic did you get bored because Mary talked about?,1,240
The bears sniffed,1,153
Jack hates Sue and is loved by Mary.,1,211
Ricky can be relied on.,0,444
"Sam doesn't play bassoon, nor Medusa oboe.",0,423
"No writer, and no playwright, meets in Vienna.",1,30
The only person whose kids Dana is willing to put up with is Pat.,0,723
Mary came to be introduced by the bartender and I also came to be.,0,663
Janet broke Bill on the finger.,1,555
We gave ourselves to the cause.,0,283
The love of my life and mother of my children would never do such a thing.,0,819
Sue gave to Bill a book.,1,752
We made them be rude.,1,649
I like the book which you gave me.,1,816
Under the bed seems to be a fun place to hide.,0,440
I wonder whose mother's dog died.,1,883
We like ourselves.,1,247
I mixed the sugar into the butter.,0,883
It tries to leave the country.,1,297
Kerry remarked it was late.,1,123
"Which book's, author did you meet who you liked?",1,766
The weights made the rope stretch over the pulley.,1,802
John heard that they criticized themselves.,1,216
She said she talked to three students but I don't know how many.,0,780
"After reading the pamphlet, Judy threw it into the garbage can.",1,102
"John likes some students, but I don't know who John likes some students.",1,13
There was a felon elected to the city council.,0,959
"Sally is tall, and may be blond, and Sheila is short, and definitely is, blond.",0,132
I thought he liked myself,0,924
Marianne did not leave.,1,750
John gave Bill the dog dead.,0,688
It was the policeman met that several young students in the park last night.,1,22
So fast did he run that nobody could catch him.,1,134
Chris was handed.,1,1038
The monkey is ate the banana,1,827
John felt it that Bill was tardy.,1,502
Anson thought that himself was happy.,1,188
the panther's the coat is dark black.,1,434
I want her to dance.,0,672
Muriel said nothing else than that she had been insulted.,1,271
The police sprayed the protesters with water.,1,593
Gwen hit the baseball.,0,554
A magazine about crime appeared on the newsstands.,1,821
"I demand that the more John eat, the more he pays.",0,99
"Mary listens to the Grateful Dead, she gets depressed.",1,715
I hit that you knew the answer.,1,731
Did Calvin his homework?,0,587
It was believed to be illegal by them to do that.,0,658
Books were taken from no student and given to Mary.,1,620
We celebrated in the streets in the rain on Tuesday in the morning.,0,163
Some people yell at the dogs.,1,984
I won't ask you to believe that he tried to force me to give her any money.,0,665
"Sandy is very anxious to see if the students will be able to solve the homework problem in a particular way, but she won't tell us in which way.",1,171
Nobody told Susan about herself.,0,997
"I can't believe Fred won't, either.",1,906
"I like Bill's yellow shirt, but not Max's.",1,830
The birds give the worm a tug.,1,1019
They realised that never had Sir Thomas been so offended.,1,847
"He shouted again, but I don't know who to.",1,447
"She mailed John a letter, but I don't know to whom.",1,278
I want that Bill left to remain a secret.,1,969
Tabs were kept on each agent by the other.,1,644
The paper is cut by Mary.,1,206
"Which boy's, mother, did you meet who you liked?",1,454
How sane is Peter?,0,173
I wondered who Medea had poisoned.,1,893
Carrie touched that cat.,0,477
The window was broken with a hammer.,1,627
We linguists love to argue,1,331
John grudgingly accepted judgments of his incompetence as an auto mechanic.,1,813
Who who you like does Sandy also like?,0,772
The bird sings.,1,936
I sent the package halfway around the world.,0,824
Carla shoveled the walk.,0,399
The stream twists through the valley.,1,561
I presented John with it dead.,1,933
This dogs barked.,0,840
Wind was gotten of a plot to negotiate an honorable end to the war in Vietnam.,0,204
"Tom will smoke the grass, and Reuben has the hash.",0,410
That Fred was unpopular nominated Bill.,1,594
"Because she's so pleasant, as for Mary I really like her.",1,742
Bill ate more peaches than Harry did grapes.,1,407
It bothers me that John coughs.,1,1025
There was some particular dog who saved every family.,1,760
I thought that you were sick.,0,179
I felt that I know you.,1,727
Kim alienated cats and beating his dog.,0,709
It did not rain.,1,386
"He shouted again, but I don't know who to.",1,107
It loved Sandy.,1,293
Lou forgot the umbrella in the closet.,1,34
John lay the ball in the box.,0,869
Something happened I couldn't really talk about.,1,145
The witch poisoned the children.,1,794
Ellen said about the present conditions.,1,733
Mike talked about politics yesterday to my friends.,1,105
They make good cooks.,1,741
"Every senator seems to become more corrupt, as he talks to more lobbyists.",0,719
If only Superman would stop flying planes!,1,885
Sandy had read how many papers?!,0,556
John bought a book on the table.,1,31
Chocolate eggs were hidden from every child by his mother.,0,914
"Sandy is very anxious to see if the students will be able to solve the homework problem in a particular way, but she won't tell us which.",0,563
Anson became a muscle bound.,1,116
I wonder in whom them to place their trust.,0,318
Felicia kicked the ball off the bench.,0,770
How many feature structures categories can label the first daughter?,1,958
Which girl did Mike quip never wore this hat?,1,117
"Mary likes to tour art galleries, but Bill hates to.",1,716
Newsweek about crime appeared on the newsstands.,0,421
People are looking through the window.,0,175
"Jones, that we were talking to last night, always watches football games alone.",1,513
I'll work on it if I can.,0,733
We admired the pictures of ourselves in the album.,0,462
"John likes some students, but I don't know who.",1,445
The book that I said that I'd never read.,1,691
It did not rain.,1,687
Out of the box jumped a little white rabbit.,1,109
We preferred them on our team.,0,460
Who does John visit Sally because he likes?,1,690
She didn't talk to one student.,1,775
Max is on the phone now.,1,538
Somebody apparently struck the unidentified victim during the early morning hours.,1,962
"Sarah promised Catherine her old car, but then gave it to her son instead.",1,766
The car won't run.,1,201
"I know how many assignments I've graded, but I don't know how many Bill has.",1,129
Everyone who knows either Susan or Laura likes her.,0,859
We appeared to them to vote for themselves.,1,93
The socks are ready for for you to put on to be planned.,0,743
"Extremely frantically, Anson danced at Trade",1,268
I shaped a loaf.,1,363
This is the senator to whose mother's friend's sister's I sent the letter.,1,161
Wind was gotten of a plot to negotiate an honorable end to the war in Vietnam.,0,768
Neither of students failed.,1,589
Somebody just left - guess who.,0,231
It was believed by everybody that Mary was a thief.,1,647
Pat is the captain of the team.,1,289
It is obvious that Pat is lying.,1,487
We need to pen the pigs to keep them from getting into the corn.,1,50
The defendant deny the allegation.,1,420
I would prefer for John to leave.,1,933
It is a problem that he is here.,1,848
I live at the place where Route 150 crosses the River and my dad lives at the place where Route 150 crosses the Hudson River too.,0,806
Everyone hopes everyone to sleep.,1,56
Emma and Harriet were attacked yesterday.,1,168
They want them arrested.,1,526
Dana walking and Leslie running.,1,843
There were several old rocks songs that she and I were the only two who knew.,1,732
TV puts dumb ideas.,1,962
Who did you get an accurate description of?,1,14
"Which boy's, mother, did you meet who you liked?",0,718
John said Joan saw someone from her graduating class.,1,744
I saw that gas can explode.,0,555
John left singing.,0,147
1 gave Mary after the party a book.,1,854
Mary intended John to go abroad.,1,516
Anson thought that himself was happy.,0,316
That girl was given my binoculars by him.,1,128
"After reading the pamphlet, Judy threw it into the garbage can.",0,320
Mary was respected by John.,0,852
It seems that Lucy was mugged.,0,581
Who for Sandy to talk to is still enrolled in the class?,1,96
Our friends like us.,1,51
Fed knows which politician her to vote for.,0,782
We admired the pictures of ourselves in the album.,1,681
I'll work on it if I can.,0,134
A sick owl doesn't hunt mice.,1,807
Many people were fond of Pat.,1,439
The bread cuts easily.,1,623
We need to pen the pigs to keep them from getting into the corn.,1,26
She said she talked to three students but I don't know how many.,1,556
He can not have been working.,0,228
That acorn will grow into an oak tree.,1,907
Us love they.,1,647
"Most columnists claim that a senior White House official has been briefing them, and the newspaper today reveals which one.",1,949
John believes it sincerely that Bill is here.,1,557
The man I saw get into the cab robbed the bank.,1,1037
The paper was written up by John.,1,491
John thinks that Mary loves himself.,1,790
John wants not to leave the town.,0,408
I threw away a book that Sandy thought we had read.,1,616
I live at the place where Route 150 crosses the Hudson River and my dad lives at it too.,1,1020
We made them be rude.,0,22
Lou put the umbrella in the closet.,1,940
Advantage is taken of every opportunity for improvement.,1,827
These cars drive easily.,1,308
I presented John with it dead.,0,642
I'm sure I would like him to eat fruit more than I would cookies.,1,481
Tabs are kept on suspected drug dealers by the FBI.,1,957
many information was provided.,1,997
Heidi thinks that Andy to eat salmon flavored candy bars.,1,213
John left singing.,1,199
I have much of the manuscript left to type.,1,475
I wonder whom us to trust.,0,168
"That the cops spoke to the janitor about it yesterday is terrible, that robbery.",0,772
We offered a job to her.,1,283
Carmen obtained the spare part at the hardware store.,1,605
Leslie told us about us.,1,581
Michelle kept the desk with the papers.,0,315
Each author whose contribution is written in any language other than English will provide a summary in English.,1,1000
John considers Bill silly.,1,600
Pat was awarded the Golden Fleece Award and very upset about it.,1,1035
Tom's dog with one eye attacked Frank's with three legs.,1,204
I wonder who for us to trust.,0,471
What did you ask who Medea gave?,0,248
"The younger woman might have been tall and, and the older one definitely was, blond.",1,769
I enjoy yourself.,1,155
John tried to please Stephen.,1,52
The children amused.,1,791
This violin is difficult to play sonatas on.,0,984
Lights go out at ten. There will be no talking afterwards.,0,264
Jason persuaded the doctor to treat Medea,1,90
The gardener grew that acorn into an oak tree.,0,463
"Mary arranged for, in St. Louis, John to rent a house cheap.",1,841
The car won't run.,1,1035
Ethel wishes to ask you some awkward questions.,1,928
We tried to amuse them that Kim was singing.,0,549
We relied on Leslie.,1,596
The fugitive lay motionless in order to avoid discovery.,0,636
"Any tiger has orange fur, marked with black stripes.",1,847
How sane is Peter?,0,699
She said she talked to three students but I don't know how many.,1,983
Terry delighted in my pain.,0,955
"Everybody gets on well with a certain relative, but often only his therapist knows which one.",0,134
This is my favorite.,1,731
many information was provided.,0,629
What did Bill buy?,1,177
She's reading. I can't imagine what.,1,210
Carmen obtained the spare part at the hardware store.,1,726
"Picture of Bill, this girl in the red coat will put a picture of Bill on your desk before tomorrow.",1,98
Mike talked about politics yesterday to my friends.,1,29
"Bill ate the peaches, and Harry did, too.",0,615
I saw Bill while you did so Mary.,1,126
did the policeman meet in the park?,1,481
"They noticed the painting, but I don't know for how long.",1,357
There is a seat available.,1,539
Jean is reluctant to dance.,1,622
Anson demonized up the Khyber,1,918
She voted for herself.,0,190
the attempt by John to leave surprised me.,0,21
Which pictures of himself does John like?,0,907
Ellen said about the present conditions.,0,464
The horse that was raced past the barn fell.,1,324
Terry delighted in my pain.,0,618
I won't ask you to believe that he tried to force me to give her any money.,1,117
We created a monster.,1,58
I mixed the sugar into the butter.,1,831
John tried to please Stephen.,1,905
"Bill ate the peaches, but Harry the grapes.",1,904
The artist drew the child with a pencil.,1,993
I ate a salad that was filled with lima beans.,0,147
I said that never in my life had I seen a place like Bangor.,0,669
"Bob tried to wash himself, and Mary to read the funnies.",1,1004
I am counting on Bill to incriminate himself.,1,45
The bears sniffed,1,180
"Tom picked these grapes, and I washed some turnips, and Suzie will prepare these grapes.",1,600
Blue leather shows herself that Betsy is pretty.,1,860
We tried to amuse them that Kim was singing.,1,441
She said she talked to three students but I don't know how many.,1,981
Over the fire there bubbled a fragrant stew.,1,1003
Somebody just left - guess who.,0,95
I saw her duck.,1,635
Who is she trying to make up to now?,1,572
I enjoy yourself.,1,389
The cat was bitten the mouse by the dog.,1,107
I saw Bill while you did so Mary.,0,771
The monkey is ate the banana,1,772
John regards Bill as a good friend.,1,746
Sam offered the ball out of the basket.,0,812
The Dodgers beat the Red Sox and were beaten by the Giants.,0,952
It bothers me that he is here.,1,949
"Mary likes to tour art galleries, but Bill hates to.",1,238
I ate that she was happy,1,155
The administration has issued a statement that it is willing to meet a student group.,0,857
Ted was bitten by the spider.,1,366
Us love they.,1,43
Chris was handed.,1,989
Jack hates Sue and is loved by Mary.,1,59
I dislike the person with whom we were talking.,1,681
That kind of person is hard to find anyone to look after.,0,999
Who did you think kissed the gorilla?,0,324
