Species,Island,Beak Length (mm),Beak Depth (mm),Flipper Length (mm),Body Mass (g),Sex
Adelie,Dream,41.1,17.7,193,3582,MALE
Adelie,Dream,40.9,18.4,211,4333,MALE
Adelie,Dream,40.5,19.2,195,2981,MALE
Adelie,Torgersen,35.7,19.0,193,3536,FEMALE
Adelie,Dream,39.7,18.5,188,4353,
Adelie,Torgersen,36.2,19.1,215,3086,FEMALE
Adelie,Dream,43.1,18.0,209,3277,FEMALE
Adelie,Biscoe,38.1,17.8,185,3578,FEMALE
Adelie,Dream,41.6,17.1,214,2952,MALE
Adelie,Torgersen,34.0,18.1,185,3501,MALE
Adelie,Dream,35.5,18.7,200,2992,FEMALE
Adelie,Dream,41.5,18.1,191,3777,FEMALE
Adelie,Torgersen,39.8,17.9,191,4129,MALE
Adelie,Torgersen,39.7,21.2,214,3564,FEMALE
Adelie,Torgersen,39.0,16.7,182,2909,FEMALE
Adelie,Dream,35.2,18.1,183,4045,FEMALE
Adelie,Torgersen,38.2,17.1,208,3812,FEMALE
Adelie,Dream,42.8,20.0,190,3743,MALE
Adelie,Torgersen,37.5,18.9,188,3425,MALE
Adelie,Torgersen,45.8,19.1,192,3633,MALE
Adelie,Biscoe,34.6,17.8,196,4088,FEMALE
Adelie,Biscoe,36.3,17.5,196,3714,FEMALE
Adelie,Torgersen,35.1,19.4,194,3544,FEMALE
Adelie,Torgersen,39.6,17.1,190,3948,MALE
Adelie,Biscoe,40.2,20.3,201,3231,MALE
Adelie,Torgersen,38.5,18.5,211,3126,
Adelie,Torgersen,39.5,17.9,231,2978,MALE
Adelie,Biscoe,38.6,15.9,182,3241,MALE
Adelie,Biscoe,33.5,18.5,212,3290,FEMALE
Adelie,Torgersen,35.9,17.0,183,2835,MALE
Adelie,Biscoe,40.3,20.7,183,3725,MALE
Adelie,Torgersen,40.8,18.7,205,3540,MALE
Adelie,Dream,36.5,18.7,204,4209,MALE
Adelie,Torgersen,36.7,20.7,204,3318,FEMALE
Adelie,Torgersen,40.5,18.5,187,3482,MALE
Adelie,Torgersen,40.6,18.3,216,4098,FEMALE
Adelie,Biscoe,41.1,20.5,207,3247,MALE
Adelie,Dream,36.2,17.8,194,4015,FEMALE
Adelie,Torgersen,46.0,17.2,213,3535,FEMALE
Adelie,Dream,35.5,16.1,193,3967,FEMALE
Adelie,Dream,42.2,18.6,206,3277,FEMALE
Adelie,Dream,35.7,18.4,204,3414,MALE
Adelie,Torgersen,36.7,18.3,216,3567,
Adelie,Dream,35.3,16.8,194,3537,FEMALE
Adelie,Biscoe,36.0,17.9,203,3803,MALE
Adelie,Biscoe,37.8,20.3,206,4360,MALE
Adelie,Torgersen,37.0,17.6,185,2700,FEMALE
Adelie,Biscoe,35.0,20.1,198,3435,FEMALE
Adelie,Dream,32.1,16.5,213,3477,FEMALE
Adelie,Biscoe,34.4,18.1,189,4610,FEMALE
Adelie,Dream,40.2,19.6,200,4554,FEMALE
Adelie,Biscoe,41.4,19.2,177,3605,MALE
Adelie,Dream,42.3,16.9,203,3731,
Adelie,Biscoe,39.2,17.0,195,3460,MALE
Adelie,Biscoe,39.2,18.8,222,2924,
Adelie,Torgersen,37.6,19.0,191,3871,MALE
Adelie,Dream,40.7,19.0,200,4898,MALE
Adelie,Dream,36.8,17.2,194,3545,FEMALE
Adelie,Dream,37.7,19.2,199,4278,MALE
Adelie,Biscoe,36.0,18.9,184,4519,MALE
Adelie,Biscoe,41.1,17.5,194,3462,MALE
Adelie,Biscoe,38.7,17.6,231,3847,FEMALE
Adelie,Biscoe,35.9,17.0,194,3358,MALE
Adelie,Biscoe,40.1,17.2,198,4135,FEMALE
Adelie,Dream,41.3,17.0,209,3694,MALE
Adelie,Torgersen,41.0,18.6,189,3989,FEMALE
Adelie,Biscoe,37.3,19.8,184,4358,MALE
Adelie,Dream,38.8,18.8,188,3673,MALE
Adelie,Dream,38.8,18.9,214,3459,FEMALE
Adelie,Biscoe,41.1,18.9,206,4095,MALE
Adelie,Biscoe,37.2,17.1,205,3835,MALE
Adelie,Dream,40.3,16.6,231,3879,MALE
Adelie,Torgersen,38.8,19.3,195,3776,FEMALE
Adelie,Biscoe,37.3,18.6,186,3260,FEMALE
Adelie,Torgersen,41.1,20.0,228,3383,MALE
Adelie,Dream,37.6,19.4,200,3991,MALE
Adelie,Torgersen,38.6,17.9,183,3980,FEMALE
Adelie,Biscoe,36.5,17.2,195,3501,FEMALE
Adelie,Biscoe,40.9,18.9,182,3525,FEMALE
Adelie,Torgersen,42.7,18.6,187,4257,MALE
Adelie,Biscoe,38.9,18.4,205,3841,FEMALE
Adelie,Dream,39.7,20.0,204,4064,MALE
Adelie,Dream,41.8,18.0,224,3923,FEMALE
Adelie,Torgersen,41.1,18.8,215,4170,FEMALE
Adelie,Torgersen,39.5,19.1,216,3503,MALE
Adelie,Dream,36.4,17.5,195,3256,FEMALE
Adelie,Torgersen,40.6,17.3,178,3973,FEMALE
Adelie,Biscoe,37.2,18.9,203,3654,FEMALE
Adelie,Torgersen,38.6,18.2,181,3648,FEMALE
Adelie,Biscoe,40.2,16.1,193,3979,MALE
Adelie,Dream,37.7,19.1,195,3093,FEMALE
Adelie,Dream,38.2,17.0,203,3778,MALE
Adelie,Dream,42.2,18.5,189,3334,FEMALE
Adelie,Dream,38.1,16.0,196,3928,MALE
Adelie,Dream,41.5,17.6,193,3943,MALE
Adelie,Biscoe,38.1,21.2,200,4414,MALE
Adelie,Dream,40.6,18.6,215,4789,MALE
Adelie,Torgersen,36.6,17.1,200,3533,FEMALE
Adelie,Biscoe,39.0,19.0,193,3666,FEMALE
Adelie,Dream,42.1,19.5,193,2947,MALE
Adelie,Torgersen,35.7,18.0,203,3460,FEMALE
Adelie,Torgersen,40.6,21.1,195,3674,MALE
Adelie,Dream,37.9,17.8,198,4077,FEMALE
Adelie,Dream,43.2,19.3,197,4553,
Adelie,Dream,37.8,18.1,193,4298,MALE
Adelie,Dream,34.6,16.5,187,3503,MALE
Adelie,Dream,41.1,16.6,198,3205,FEMALE
Adelie,Dream,36.2,17.0,186,5102,FEMALE
Adelie,Biscoe,37.7,19.7,209,4499,FEMALE
Adelie,Dream,42.0,18.1,205,3603,FEMALE
Adelie,Dream,39.5,19.0,201,3679,FEMALE
Adelie,Dream,39.6,19.5,223,3060,MALE
Adelie,Biscoe,36.0,17.5,204,3547,MALE
Adelie,Torgersen,44.1,16.9,210,3439,FEMALE
Adelie,Dream,39.6,18.4,205,3721,FEMALE
Adelie,Biscoe,43.2,17.2,206,4782,MALE
Adelie,Torgersen,36.0,17.0,195,2967,MALE
Adelie,Dream,39.6,17.8,210,3483,MALE
Adelie,Torgersen,37.0,18.9,203,3458,MALE
Adelie,Dream,39.3,18.5,208,3878,FEMALE
Adelie,Dream,37.6,17.9,206,4144,FEMALE
Adelie,Dream,41.4,18.8,223,3797,FEMALE
Adelie,Torgersen,37.8,17.6,184,3188,FEMALE
Adelie,Biscoe,33.1,21.1,214,4006,MALE
Adelie,Torgersen,45.6,18.0,203,3762,FEMALE
Adelie,Dream,42.9,19.5,200,3311,FEMALE
Adelie,Dream,38.9,15.5,212,3583,FEMALE
Adelie,Biscoe,38.1,17.2,187,3428,FEMALE
Adelie,Torgersen,39.2,17.7,201,4048,MALE
Adelie,Biscoe,34.5,16.8,189,3931,FEMALE
Adelie,Biscoe,44.1,18.5,172,3657,FEMALE
Adelie,Torgersen,39.1,19.4,209,4392,MALE
Adelie,Biscoe,40.8,18.6,200,3886,MALE
Adelie,Torgersen,38.3,18.0,186,3974,MALE
Adelie,Torgersen,42.5,20.6,210,4087,FEMALE
Adelie,Torgersen,39.6,21.1,215,3994,MALE
Adelie,Dream,39.7,18.6,194,3306,MALE
Adelie,Torgersen,37.3,16.2,200,3684,FEMALE
Adelie,Dream,39.0,17.4,209,3556,FEMALE
Chinstrap,Dream,49.0,17.3,196,3872,FEMALE
Chinstrap,Dream,51.9,18.8,172,3431,FEMALE
Chinstrap,Dream,50.9,17.3,192,3417,FEMALE
Chinstrap,Dream,52.0,19.8,172,3727,FEMALE
Chinstrap,Dream,50.9,17.9,175,3743,MALE
Chinstrap,Dream,45.6,17.8,225,3482,MALE
Chinstrap,Dream,51.7,18.2,201,4388,FEMALE
Chinstrap,Dream,55.8,17.8,217,3728,FEMALE
Chinstrap,Dream,50.7,18.7,228,3732,FEMALE
Chinstrap,Dream,50.8,17.0,197,4365,FEMALE
Chinstrap,Dream,46.6,17.8,187,3727,FEMALE
Chinstrap,Dream,46.0,20.0,176,3688,MALE
Chinstrap,Dream,52.8,20.0,172,3702,FEMALE
Chinstrap,Dream,50.1,19.9,188,3194,MALE
Chinstrap,Dream,52.2,17.3,210,3481,FEMALE
Chinstrap,Dream,51.3,20.8,206,3838,FEMALE
Chinstrap,Dream,45.7,18.8,178,3682,MALE
Chinstrap,Dream,49.0,17.0,208,4890,MALE
Chinstrap,Dream,42.5,20.3,205,3752,MALE
Chinstrap,Dream,47.6,16.8,193,3388,FEMALE
Chinstrap,Dream,50.2,19.5,189,3377,FEMALE
Chinstrap,Dream,51.5,17.9,218,3715,FEMALE
Chinstrap,Dream,50.3,17.3,199,3839,MALE
Chinstrap,Dream,49.7,17.8,211,4332,FEMALE
Chinstrap,Dream,46.2,19.0,189,3910,FEMALE
Chinstrap,Dream,46.5,18.3,209,3653,MALE
Chinstrap,Dream,46.4,17.5,193,4097,MALE
Chinstrap,Dream,52.7,19.5,182,3621,FEMALE
Chinstrap,Dream,48.5,16.7,207,3972,FEMALE
Chinstrap,Dream,52.0,19.8,212,4012,MALE
Chinstrap,Dream,50.0,17.3,199,3637,MALE
Chinstrap,Dream,40.9,18.6,190,4240,FEMALE
Chinstrap,Dream,47.5,18.7,206,3619,FEMALE
Chinstrap,Dream,45.2,16.6,186,4056,FEMALE
Chinstrap,Dream,47.0,19.0,187,3893,MALE
Chinstrap,Dream,50.5,19.0,178,3358,MALE
Chinstrap,Dream,46.1,17.9,203,3768,MALE
Chinstrap,Dream,49.3,18.8,185,4027,MALE
Chinstrap,Dream,50.6,18.1,208,3586,FEMALE
Chinstrap,Dream,50.2,18.5,215,3532,FEMALE
Chinstrap,Dream,45.9,16.6,196,3323,FEMALE
Chinstrap,Dream,45.5,18.9,216,3864,MALE
Chinstrap,Dream,50.8,19.4,212,3150,MALE
Chinstrap,Dream,54.2,19.6,191,3781,FEMALE
Chinstrap,Dream,49.5,16.5,172,3834,MALE
Chinstrap,Dream,49.8,20.7,211,5093,MALE
Chinstrap,Dream,49.2,18.6,191,3414,MALE
Chinstrap,Dream,58.0,18.7,194,3692,FEMALE
Chinstrap,Dream,52.0,19.4,189,3888,FEMALE
Chinstrap,Dream,43.5,19.6,216,3533,MALE
Chinstrap,Dream,49.6,19.5,203,3799,MALE
Chinstrap,Dream,45.2,18.2,191,3896,FEMALE
Chinstrap,Dream,45.4,19.9,212,3568,MALE
Chinstrap,Dream,43.2,18.4,202,3961,MALE
Chinstrap,Dream,45.7,17.5,190,4353,FEMALE
Chinstrap,Dream,46.7,17.9,201,3799,FEMALE
Chinstrap,Dream,42.4,16.4,230,3616,FEMALE
Chinstrap,Dream,46.8,16.6,179,4189,FEMALE
Chinstrap,Dream,51.0,16.6,204,3235,MALE
Chinstrap,Dream,48.1,19.1,209,4077,MALE
Chinstrap,Dream,52.7,16.7,201,3464,MALE
Chinstrap,Dream,50.5,19.2,186,3848,FEMALE
Chinstrap,Dream,42.5,19.7,203,3765,MALE
Chinstrap,Dream,45.7,19.4,213,4134,MALE
Chinstrap,Dream,51.3,18.2,192,3531,MALE
Chinstrap,Dream,48.5,20.3,181,3812,
Chinstrap,Dream,51.9,18.7,195,3463,FEMALE
Chinstrap,Dream,46.9,18.1,210,3633,MALE
Chinstrap,Dream,51.3,18.2,194,3644,MALE
Chinstrap,Dream,51.4,17.1,202,3211,MALE
Chinstrap,Dream,46.4,19.9,210,3135,MALE
Chinstrap,Dream,46.7,17.8,205,3444,FEMALE
Chinstrap,Dream,53.5,19.0,197,4521,MALE
Gentoo,Biscoe,45.1,14.9,209,4959,MALE
Gentoo,Biscoe,49.5,16.0,203,5231,FEMALE
Gentoo,Biscoe,51.1,14.0,197,5044,FEMALE
Gentoo,Biscoe,42.0,15.9,195,5408,MALE
Gentoo,Biscoe,49.1,14.4,195,5008,FEMALE
Gentoo,Biscoe,46.1,16.2,222,4447,FEMALE
Gentoo,Biscoe,50.0,16.8,200,4635,FEMALE
Gentoo,Biscoe,41.7,15.2,186,4553,FEMALE
Gentoo,Biscoe,48.7,14.1,185,4706,MALE
Gentoo,Biscoe,59.6,15.7,213,4474,FEMALE
Gentoo,Biscoe,47.5,14.7,206,4545,FEMALE
Gentoo,Biscoe,48.5,14.0,221,4714,MALE
Gentoo,Biscoe,46.4,13.9,202,4584,MALE
Gentoo,Biscoe,43.5,14.7,230,5290,FEMALE
Gentoo,Biscoe,42.6,15.1,208,4905,FEMALE
Gentoo,Biscoe,47.5,14.4,223,4977,MALE
Gentoo,Biscoe,47.4,13.4,202,4818,FEMALE
Gentoo,Biscoe,50.5,16.3,214,5978,MALE
Gentoo,Biscoe,45.1,14.8,231,4833,FEMALE
Gentoo,Biscoe,49.4,15.0,206,6010,MALE
Gentoo,Biscoe,42.9,15.8,191,4733,MALE
Gentoo,Biscoe,50.8,16.1,189,5609,FEMALE
Gentoo,Biscoe,51.3,14.3,182,5063,MALE
Gentoo,Biscoe,47.3,14.6,206,5223,MALE
Gentoo,Biscoe,46.2,16.1,216,5273,MALE
Gentoo,Biscoe,48.8,13.8,208,4629,FEMALE
Gentoo,Biscoe,45.0,16.1,229,5803,MALE
Gentoo,Biscoe,46.8,15.1,176,5273,FEMALE
Gentoo,Biscoe,52.1,14.2,212,4831,FEMALE
