pickup,dropoff,passengers,distance,fare,tip,tolls,total,color,payment,pickup_zone,dropoff_zone,pickup_borough,dropoff_borough
2019-03-18 05:37:43,2019-03-18 05:52:19,2,0.78,12.6,0.73,0.02,34.59,yellow,credit card,Midtown South,Morningside Heights,Manhattan,Manhattan
2019-03-03 17:47:20,2019-03-03 18:01:38,1,22.75,6.62,0.01,0.21,16.6,yellow,credit card,Parkchester,Van Nest/Morris Park,Bronx,Bronx
2019-03-06 22:20:25,2019-03-06 22:32:48,5,1.24,2.74,2.77,1.14,7.2,yellow,cash,LaGuardia Airport,Financial District North,Queens,Manhattan
2019-03-06 11:10:49,2019-03-06 11:23:25,4,2.42,20.2,2.44,0.25,35.61,yellow,credit card,East Harlem South,Gravesend,Manhattan,Brooklyn
2019-03-07 03:38:42,2019-03-07 03:53:40,1,1.4,10.0,0.55,0.03,25.74,yellow,cash,Garment District,LaGuardia Airport,Manhattan,Queens
2019-03-06 07:44:31,2019-03-06 07:56:23,1,7.31,6.82,5.09,0.33,27.0,yellow,credit card,West Village,Park Slope,Manhattan,Brooklyn
2019-03-09 12:45:49,2019-03-09 13:00:07,3,1.95,8.71,0.92,0.09,14.4,yellow,cash,Union Sq,JFK Airport,Manhattan,Queens
2019-03-15 00:40:30,2019-03-15 00:54:59,1,0.47,8.9,1.29,0.12,13.87,yellow,credit card,Yorkville East,Bay Ridge,Manhattan,Brooklyn
2019-03-12 15:27:59,2019-03-12 15:42:29,1,2.38,12.47,0.26,0.0,13.5,yellow,cash,Lincoln Square West,Williamsbridge/Olinville,Manhattan,Bronx
2019-03-31 17:55:46,2019-03-31 18:11:42,0,11.05,7.9,0.48,0.04,12.7,yellow,credit card,East Harlem South,Elmhurst,Manhattan,Queens
2019-03-02 00:02:20,2019-03-02 00:17:40,1,11.66,14.04,1.44,2.09,97.7,yellow,cash,Jackson Heights,Middle Village,Queens,Queens
2019-03-01 22:20:59,2019-03-01 22:36:22,1,1.09,3.1,1.43,0.04,21.41,yellow,credit card,Central Park,Morrisania/Melrose,Manhattan,Bronx
2019-03-27 02:37:14,2019-03-27 02:51:15,1,5.07,5.5,2.06,0.46,9.87,yellow,cash,Greenwich Village North,Homecrest,Manhattan,Brooklyn
2019-03-07 15:54:26,2019-03-07 16:07:09,1,0.13,7.0,2.09,0.02,17.07,yellow,credit card,Morningside Heights,East Flatbush/Remsen Village,Manhattan,Brooklyn
2019-03-10 18:53:39,2019-03-10 19:09:20,1,3.21,18.22,0.03,0.05,38.6,yellow,cash,Park Slope,East Flatbush/Remsen Village,Brooklyn,Brooklyn
2019-03-26 10:06:28,2019-03-26 10:18:17,1,0.97,6.2,5.47,0.07,13.15,yellow,credit card,Upper West Side North,Red Hook,Manhattan,Brooklyn
2019-03-29 23:18:16,2019-03-29 23:33:12,1,0.52,15.4,3.2,0.08,33.64,yellow,cash,Financial District South,Crown Heights South,Manhattan,Brooklyn
2019-03-03 23:38:04,2019-03-03 23:50:25,1,1.61,12.15,2.27,0.01,13.0,yellow,credit card,Upper East Side North,Garment District,Manhattan,Manhattan
2019-03-28 10:02:54,2019-03-28 10:17:14,2,8.04,14.0,1.19,0.0,16.81,yellow,cash,Upper East Side South,Van Cortlandt Village,Manhattan,Bronx
2019-03-13 21:25:11,2019-03-13 21:39:32,1,6.58,4.7,0.56,0.03,21.79,yellow,credit card,Greenwich Village North,Upper East Side South,Manhattan,Manhattan
2019-02-28 20:14:57,2019-02-28 20:29:40,1,5.05,4.8,0.07,0.1,19.83,yellow,cash,Sutton Place/Turtle Bay North,Brighton Beach,Manhattan,Brooklyn
2019-03-06 07:14:10,2019-03-06 07:28:44,1,1.58,3.66,0.29,0.39,14.7,yellow,credit card,Penn Station/Madison Sq West,Eastchester,Manhattan,Bronx
