method,number,orbital_period,mass,distance,year
Transit,1,3.67724,,,2007
Radial Velocity,1,185.84,4.8,,2008
Transit,2,10.2184954,,,2012
Imaging,1,,,145.0,2008
Transit,2,0.66931,,,2014
Transit,1,1.4324752,,600.0,2004
Radial Velocity,3,431.7,0.527,25.87,2011
Radial Velocity,1,689.0,1.5,,2011
Transit,1,3.00516,,,2013
Transit,1,3.764825,,,2010
Radial Velocity,1,1531.0,,37.44,2002
Transit,1,4.008778,,215.0,2010
Imaging,1,,,145.0,2010
Transit,5,77.61184,,,2011
Radial Velocity,2,29.15,,35.89,2011
Radial Velocity,2,530.32,,46.84,2012
Transit,4,42.8961,,,2014
Eclipse Timing Variations,1,2900.0,,,2011
Transit,1,3.408821,,,2010
Radial Velocity,2,3186.0,,46.84,2012
Transit,3,35.3331,,,2014
Radial Velocity,1,874.774,,56.95,2008
Radial Velocity,1,3.52474859,,47.08,1999
Transit,2,13.084,,,2013
Transit,1,3.332687,,,2012
Radial Velocity,1,354.8,,55.93,2007
Microlensing,1,,,,2013
Radial Velocity,2,192.9,1.82,52.85,2009
Radial Velocity,1,386.3,1.62,,2003
Transit,1,2.828042,,1150.0,2010
Transit,2,2.50806,,,2014
Radial Velocity,1,1840.0,,67.61,2009
Radial Velocity,2,520.0,2.6,164.2,2008
Radial Velocity,3,35.37,,16.13,2012
Radial Velocity,1,1840.0,,,2009
Transit,1,3.92289,,480.0,2008
Radial Velocity,2,188.9,2.25,94.61,2002
Transit,1,2.788491,,342.0,2007
Transit,1,4.03519,,,2010
Radial Velocity,2,7100.0,,15.1,2011
Radial Velocity,1,118.45,,,2003
Imaging,4,170000.0,,39.94,2008
Radial Velocity,1,185.84,4.8,76.39,2008
Radial Velocity,1,507.0,1.2,149.03,2009
Transit,2,13.722341,,,2013
Radial Velocity,2,30.052,0.7,,2009
Radial Velocity,1,1035.7,0.79,32.83,2011
Transit,1,4.086052,,380.0,2012
Radial Velocity,1,,2.54,54.92,2009
Transit,2,31.884,,,2013
Transit,1,3.8559,,,2012
Radial Velocity,2,25.648,0.027,52.03,2013
Imaging,1,,,135.0,2013
Transit,3,12.8159,,,2014
Imaging,1,,,,2006
Transit,1,5.35227,,840.0,2011
Radial Velocity,1,396.03,,,2010
Radial Velocity,1,264.15,,33.33,2002
Transit,1,1.689868,,2500.0,2004
Orbital Brightness Modulation,2,0.342887,,1180.0,2011
Transit,2,16.3850021,,,2012
Radial Velocity,2,395.8,1.29,68.54,2002
Transit,2,7.053,,,2012
Transit,1,9.20205,,,2008
Radial Velocity,4,5.36874,0.049,6.27,2005
Transit,1,4.885525,,,2009
Transit,1,3.024095,,1950.0,2011
Transit,4,22.342989,,,2013
Transit,1,4.617101,,,2012
Radial Velocity,1,18.20163,,37.35,1999
Radial Velocity,1,17337.5,9.0,23.98,2009
Transit,2,16.3850021,,,2012
Transit,2,179.612,,,2014
Microlensing,2,5100.0,,,2008
