Date,Price
1914-12-01,48.18
1914-12-31,32.63
1915-01-30,68.28
1915-03-01,51.4
1915-03-31,79.42
1915-04-30,69.9
1915-05-30,75.34
1915-06-29,73.52
1915-07-29,53.33
1915-08-28,68.94
1915-09-27,51.92
1915-10-27,60.18
1915-11-26,55.59
1915-12-26,59.21
1916-01-25,72.39
1916-02-24,65.11
1916-03-25,58.94
1916-04-24,73.27
1916-05-24,92.68
1916-06-23,83.43
1916-07-23,51.89
1916-08-22,99.28
1916-09-21,80.19
1916-10-21,83.75
1916-11-20,79.6
1916-12-20,64.2
1917-01-19,88.22
1917-02-18,52.99
1917-03-20,76.97
1917-04-19,82.83
1917-05-19,101.19
1917-06-18,97.18
1917-07-18,98.21
1917-08-17,88.78
1917-09-16,71.01
1917-10-16,83.58
1917-11-15,106.09
1917-12-15,92.5
1918-01-14,99.41
1918-02-13,91.63
1918-03-15,122.8
1918-04-14,90.86
1918-05-14,108.49
1918-06-13,72.16
1918-07-13,87.6
1918-08-12,98.74
1918-09-11,114.81
1918-10-11,109.13
1918-11-10,111.6
1918-12-10,126.71
1919-01-09,111.84
1919-02-08,121.93
1919-03-10,108.81
1919-04-09,106.39
1919-05-09,129.93
1919-06-08,100.16
1919-07-08,112.3
1919-08-07,123.56
1919-09-06,128.95
1919-10-06,95.14
1919-11-05,107.22
1919-12-05,134.4
1920-01-04,123.13
1920-02-03,130.61
1920-03-04,141.31
1920-04-03,115.27
1920-05-03,141.34
1920-06-02,113.44
1920-07-02,127.73
1920-08-01,137.52
1920-08-31,124.89
1920-09-30,124.28
1920-10-30,139.08
1920-11-29,148.41
1920-12-29,137.74
1921-01-28,126.93
1921-02-27,127.19
1921-03-29,116.42
1921-04-28,140.35
1921-05-28,148.31
1921-06-27,133.67
1921-07-27,147.75
1921-08-26,137.84
1921-09-25,118.99
1921-10-25,159.74
1921-11-24,150.43
1921-12-24,139.81
1922-01-23,150.05
1922-02-22,151.83
1922-03-24,144.37
1922-04-23,154.64
1922-05-23,161.95
1922-06-22,165.62
1922-07-22,169.76
1922-08-21,170.59
1922-09-20,161.25
1922-10-20,187.27
1922-11-19,151.71
1922-12-19,162.04
1923-01-18,153.28
1923-02-17,168.11
1923-03-19,172.78
1923-04-18,163.55
1923-05-18,191.99
1923-06-17,188.01
1923-07-17,155.76
1923-08-16,174.08
1923-09-15,181.26
1923-10-15,176.5
1923-11-14,188.17
1923-12-14,175.3
1924-01-13,162.18
1924-02-12,166.84
1924-03-13,173.86
1924-04-12,168.59
1924-05-12,179.05
1924-06-11,191.8
1924-07-11,170.18
1924-08-10,188.84
1924-09-09,197.54
1924-10-09,183.6
1924-11-08,191.02
1924-12-08,173.19
1925-01-07,204.75
1925-02-06,210.76
1925-03-08,211.88
1925-04-07,193.8
1925-05-07,192.23
1925-06-06,177.28
1925-07-06,173.37
1925-08-05,222.01
1925-09-04,196.67
1925-10-04,191.26
1925-11-03,204.16
1925-12-03,219.12
1926-01-02,185.08
1926-02-01,210.7
1926-03-03,211.83
1926-04-02,216.2
1926-05-02,223.19
1926-06-01,201.5
1926-07-01,206.31
1926-07-31,209.1
1926-08-30,229.25
1926-09-29,214.98
1926-10-29,201.83
1926-11-28,224.01
1926-12-28,222.95
1927-01-27,236.83
1927-02-26,240.58
1927-03-28,217.47
1927-04-27,236.39
1927-05-27,225.8
1927-06-26,237.3
1927-07-26,229.47
1927-08-25,210.64
1927-09-24,218.82
1927-10-24,235.01
1927-11-23,228.22
1927-12-23,237.41
1928-01-22,232.98
