state,id,population,engineers,hurricanes
District of Columbia,1,14748118,0.011759179,0
Texas,2,4075450,0.004320129,59
Montana,3,13941709,0.002139048,0
Georgia,4,585501,0.004939686,20
Missouri,5,2035650,0.004413261,0
Minnesota,6,1544695,0.006193894,0
Oregon,7,22787307,0.005457479,0
Puerto Rico,8,2302957,0.000773897,0
Indiana,9,12529915,0.002724236,0
New Mexico,10,5795504,0.001883696,0
Nevada,11,753713,0.002037375,0
Illinois,12,664085,0.004478368,0
Connecticut,13,39250017,0.005896906,10
Arkansas,14,1426299,0.002439557,0
Kentucky,15,585501,0.002089262,0
North Carolina,16,15437191,0.004226953,46
Pennsylvania,17,2260165,0.004237253,1
Florida,18,1782412,0.003299949,110
Kansas,19,1102448,0.003811111,0
Washington,20,2186416,0.010710757,0
Vermont,21,5516718,0.004643016,0
Massachusetts,22,5939961,0.010230808,10
North Dakota,23,2165865,0.003403909,0
Utah,24,1650921,0.006440053,0
Maine,25,4448714,0.002290686,6
Arizona,26,6192459,0.004774154,0
Iowa,27,1184932,0.003716472,0
Tennessee,28,17706439,0.002375513,0
Nebraska,29,3811823,0.005621053,0
Maryland,30,1243505,0.006291088,2
Hawaii,31,27369781,0.001624016,0
South Dakota,32,15915289,0.003085086,0
West Virginia,33,10961576,0.00128338,0
New York,34,13625961,0.004941432,12
Delaware,35,6931255,0.004989155,2
Wisconsin,36,7293117,0.004821147,0
Ohio,37,5416791,0.004095787,0
New Hampshire,38,585501,0.00633056,2
Wyoming,39,3990264,0.001007684,0
Colorado,40,4893531,0.008087652,0
South Carolina,41,12409871,0.002084207,31
New Jersey,42,7439960,0.007724327,2
Michigan,43,13568170,0.003876797,0
California,44,17386930,0.007125857,0
Idaho,45,4211687,0.002970638,0
Mississippi,46,7936568,0.000933508,15
Oklahoma,47,12922194,0.002286188,0
Rhode Island,48,945103,0.004581485,9
Louisiana,49,3416180,0.001176931,49
Alabama,50,9288475,0.003421545,22
Virginia,51,1622281,0.008595061,12
Alaska,52,13492529,0.001590524,0
