id,question,choices,answerKey
1,Manganese has an atomic number of 25 and an atomic mass of 55 amu. How many particles are found in its nucleus?,1,B
2,Which of these environmental changes goes on for months or years?,2,B
3,What is the major function of the human excretory system?,3,B
4,"A gastroenterologist is a doctor who treats problems of the esophagus, stomach, and intestines. Which organ system is cared for by this type of doctor?",4,A
5,"Students are learning about the natural resources in Maryland. One group of students researches information about renewable natural resources in the state. The other group researches information about nonrenewable natural resources in the state. The resources the students investigate include plants, animals, soil, minerals, water, coal, and oil. Which nonrenewable natural resource heats homes?",5,A
6,The abundance of a mineral at the surface of Earth most likely depends upon the,6,4
7,Which is an example of a different substance being formed?,7,B
8,"When athletes begin to exercise, their heart rates and respiration rates increase. At what level of organization does the human body coordinate these functions?",8,D
9,Water at 20°C in an uncovered pan is evaporating very slowly. What could be done to the water to make it evaporate more quickly?,9,D
10,"Some plants grow only in specific places in the world. Some cacti, for example, grow only in deserts. Which of the following is most important in determining where a plant can grow and survive?",10,B
11,A teacher demonstrates a chemical reaction. A student observes that the test tube in which the reaction occurs becomes warm. What is the source of the thermal energy generated by the reaction?,11,A
12,If soil is permeable,12,C
13,"Some of the thermal structure of Earth is the result of a combination of chemical composition, temperature, and pressure. Which is a boundary that best demonstrates a contact point between layers having relatively the same temperature and chemical composition?",13,C
14,What safety equipment should be taken on all field trips?,14,B
15,"Some of the thermal structure of Earth is the result of a combination of chemical composition, temperature, and pressure. Which is a boundary that best demonstrates a contact point between layers having relatively the same temperature and chemical composition?",15,A
16,Large amounts of metals like iron and aluminum are found in,16,B
17,"When astronauts walked on the Moon, they used weighted boots to help them walk due to the lower gravitational pull. What difference between Earth and the Moon accounts for the difference in gravity?",17,A
18,The surface of the Moon is covered with craters. Most of these craters were formed by,18,B
19,Some ancient Greeks tried to discover the laws of the universe through thought and logic. Which part of the scientific process were these scientists missing?,19,D
20,Wind can cause erosion that changes the surface of the Earth. Wind erosion can have negative effects on the environment by removing soil and polluting the air during dust storms. Which of the following land forms are created by wind erosion?,20,3
21,A function of a plant's roots is to,21,A
22,Which is the most likely reason why scientific theories change?,22,C
23,A radio station broadcasting across a large area is experiencing thunderstorms. How will the radio waves from the station be affected?,23,A
24,Which two processes could result in the formation of high mountains with well-rounded peaks?,24,E
25,A student examines a new watch design. The watch has a small solar cell on its face. The main function of the solar cell is to,25,C
26,"When an octopus feels threatened, it can release black ink into the water. The ink MOST likely helps the octopus",26,3
27,Which are examples of inherited traits?,27,C
28,Who was the first person to base a system of classification on organisms having similar structures?,28,A
29,"In the lab, students are working with substances that could cause burns. Which of these safety precautions is most important to follow?",29,C
30,Which unit of measurement describes an object's length?,30,D
31,"Rocks can be classified many different ways, including as igneous, metamorphic, and sedimentary. This classification is based on the",31,C
32,Two people are pushing a car. One person is pushing with a force of 450 N and the other person is pushing with a force of 300 N. What information is needed to determine the net force applied to the car by the people?,32,B
33,Which is a major difference between the life cycles of different types of plants?,33,A
34,Felicia investigated whether water color affected how fast the water heated in sunlight. She poured tap water into five beakers and placed food coloring in four out of the five beakers. Felicia then used a thermometer to measure the temperature of the water in each of the beakers. Which of these was used as control in her investigation?,34,C
35,A gas is heated and its temperature increases. What happens to the gas molecules?,35,A
36,A pot of cold water was heated on a stove until the water boiled. Which of the following best explains why the water was able to boil?,36,C
37,"Rich beds of marine fossils have been found in Florida. By dating these fossils, scientists can best determine",37,C
38,Which characteristic helps a fox find food?,38,B
39,Which geologic feature most likely forms when an oceanic tectonic plate is slowly subducted beneath a continental tectonic plate?,39,A
40,Researchers are developing new types of crop plants with desirable characteristics such as disease resistance and drought tolerance. Crossing plants so that the next generation will express desirable traits is best described as,40,D
41,Which statement describes the location of our Sun in the universe?,41,A
