id,question,choices,answerKey
1,Using fossil fuels wisely and avoiding waste is an example of,1,D
2,A country that has limited resources would most likely focus on the development of technology that includes,2,B
3,Which is a nonrenewable resource?,3,D
4,Scientists analyzed the cells of an animal to determine the cause of an infection. The scientists did not agree on the results of the analysis. What does this disagreement indicate about the nature of science?,4,A
5,"When a blue light is shone on a yellow banana, what color does the banana appear to be?",5,A
6,Which of the following substances can be separated into several elements?,6,A
7,"A scientist working on a new package design wants to use a material that is highly recyclable, biodegradable, and inexpensive. The best material for the package design is",7,A
8,"As humans travel in space, which gas is provided in the atmosphere of the spacecraft and which gas is removed from the atmosphere of the spacecraft?",8,B
9,Which action has most helped scientists find cures to some diseases?,9,C
10,Scientists claim that the continents of South America and Africa were once a single landmass. All of the following observations support this claim except,10,B
11,"A perpetual motion machine is a theoretical device which, once started, continues to operate without any additional input of energy. Which statement describes why a perpetual motion machine is impossible to design?",11,D
12,A pan of soup is being heated on an electric stove. A metal spoon is used to occasionally stir the soup. Which of the following is an example of heat being transferred by convection?,12,D
13,Wind turbines are being used to generate electricity in many parts of the United States. One advantage of wind turbines is that no fossil fuels are burned. Which of the following is a disadvantage of wind turbines?,13,A
14,How does the tilt of Earth’s axis and its rotation affect the weather?,14,D
15,How has burning fossil fuels most caused a decline to the quality of air that people breathe?,15,1
16,A certain species of endangered parrots lives on an island that can be seriously affected by large floods. Which of these is considered a negative impact to the parrot population from flooding?,16,D
17,The students observed a large crack found in a boulder with a tree growing out of it. Which process were the students observing?,17,B
18,A student is given a liquid compound in a beaker. Which of the following is the best way to describe this liquid compound?,18,B
19,Which statement best describes a liquid sample?,19,B
20,"A teacher builds a model of a hydrogen atom. A red golf ball is used for a proton, and a green golf ball is used for an electron. Which is not accurate concerning the model?",20,C
21,The outer layers of astronauts' space suits are reflective in order to protect them from,21,A
22,A student poured water into a plastic tray. The student then put the tray into the freezer. What property of the water changed as the water froze?,22,B
23,Kailey and LeAnn were preparing a report on ocean tides. Which information should they include in their report concerning the greatest influence on the strength of a high tide in a particular area?,23,B
24,"Recycling of a resource, such as paper, is important because",24,C
25,Which is an example of conduction?,25,D
26,What do the energy resources uranium and coal have in common?,26,D
27,A sign that an apple tree is going to start growing apples is when the tree has ___.,27,B
28,What is the best measure to use in determining the effect of solar energy on Earth's atmosphere?,28,B
29,What do the energy resources uranium and coal have in common?,29,D
30,Which sequence of energy transformations occurs after a battery-operated flashlight is turned on?,30,D
31,"When a mirror is placed by a fish bowl with a beta fish swimming inside, the beta fish sees what appears to be another fish. This occurs because of",31,C
32,Trees most likely change the environment in which they are located by,32,A
33,"Sheep Challenge Evolution A species of sheep lives on the Scottish island of Hirta. Hirta has plenty of grass for the sheep to eat, and no natural predators of the sheep live on the island. Some sheep have dark wool, and some have light wool. The sheep with dark wool tend to be much larger and stronger than the sheep with light wool. However, researchers have found that in the last 20 years, the sheep with light wool have increased in number. Usually, strength and size help animals survive and breed. A new sheep predator is introduced to the island. Which change to the sheep population will most likely occur first?",33,B
34,A change in the density of air can result in a breeze. Which diagram best shows a series of energy transfers that begins with the Sun and results in a breeze?,34,D
35,"Students watched a bird fly to and from a large bush every few minutes. The students told their teacher, ""The bird has a nest in that bush."" This statement is an example of",35,D
36,Which condition is associated with most warm fronts?,36,B
37,Which of these is one similarity of the elements in the first group of the periodic table?,37,A
38,A telescope would be used for all the following except,38,D
39,Which upgrade to a school will most likely reduce the school's consumption of nonrenewable resources?,39,A
40,A student is investigating changes in the states of matter. The student fills a graduated cylinder with 50 milliliters of packed snow. The graduated cylinder has a mass of 50 grams when empty and 95 grams when filled with the snow. The packed snow changes to liquid water when the snow is put in a warm room. Which statement best describes this process?,40,B
41,"To conserve the supply of nonrenewable resources, it is best to recycle",41,D
42,Students recorded the initial and final temperatures of different-colored soils exposed to direct sunlight for three hours. The students want to compare the total temperature change for each soil color. Which of these formats would be the most appropriate for displaying the results of this investigation?,42,D
43,Two flowers are both roses. One rose is larger and has more fragrance than the other rose. What advantage will one of the roses most likely gain because of this difference?,43,D
44,"Where will a sidewalk feel hottest on a warm, clear day?",44,A
45,"What do water, aluminum, redwood trees, and valley quail all have in common?",45,D
46,Water freezing is an example of a,46,B
47,A fox gave birth to an offspring that had a better sense of hearing than most foxes. How could this small change most likely result in descendants that are different from the original fox?,47,D
48,"As Archie walks to the park, he wonders which route would be faster. He decides to walk to the park using different routes and times how long it takes. Which should he do to make his comparison fair?",48,A
49,What do earthquakes tell scientists about the history of the planet?,49,D
50,A tree frog with which characteristic is more likely to survive than other tree frogs?,50,B
51,In which situation would it be an advantage to ship a product by plane rather than by truck?,51,A
52,Which is an example of a human-made product?,52,A
53,Which behavior of a dog is the best example of a learned behavior?,53,B
54,"Kevin is observing the sky on a clear night. With the unaided eye he is able to see Venus, Mars, Jupiter, and Saturn. Why would Venus appear to be brighter than the other planets?",54,B
55,Which of these human activities does not contribute to the extinction of species?,55,A
56,Which set of descriptions correctly states the difference between a population and a community?,56,B
57,"Some water use is consumptive. Instead of returning to its source, the water evaporates from reservoirs or transpires from crops. How does this type of use most likely affect the hydrosphere?",57,D
58,"Laura prepared to roll a bowling ball down a lane. She swung the ball back with her arm. At the top of her backswing, the ball had a velocity of 0 meters per second (m/s). She swung her arm forward to release the ball down the lane. The ball left her hand with a velocity of 12 m/s. The time it took her to swing the ball forward was 0.5 seconds. What was the average acceleration of the bowling ball during her forward swing?",58,C
59,Which fact about water is an example of a chemical property?,59,B
60,"During a sporting event, a referee uses a whistle to alert the teams to start and stop playing. What causes the sound from the referee's whistle to travel in all directions?",60,D
61,"Laura prepared to roll a bowling ball down a lane. She swung the ball back with her arm. At the top of her backswing, the ball had a velocity of 0 meters per second (m/s). She swung her arm forward to release the ball down the lane. The ball left her hand with a velocity of 12 m/s. The time it took her to swing the ball forward was 0.5 seconds. What was the average acceleration of the bowling ball during her forward swing?",61,A
62,"In the 1500s, Nicolaus Copernicus proposed a new theory on the heliocentric structure of the solar system. Which of these statements best describes this new theory?",62,B
63,A wetland habitat can continue to support the birds and fish that live there if people ___.,63,D
64,Soils change both through natural processes and as a result of human activity. Which of the following soil changes is due only to natural causes?,64,C
65,"Two balls rolled down two identical inclined planes. The balls were exactly the same mass and size, but one ball rolled down the inclined plane faster. Identify a possible reason that one ball rolled faster than the other ball.",65,D
66,"In order for students to perform lab experiments safely and accurately, they should",66,C
67,How do the sprouts of seeds buried in complete dark in the soil find their way to the surface of the soil?,67,D
68,Which activity is an example of a good health habit?,68,C
69,"The respiratory system cannot deliver oxygen to the cells of the body, nor can it remove carbon dioxide, without which two body systems?",69,C
70,What is the main function of the circulatory system?,70,D
71,"The mountain chorus frog is an endangered species in Maryland. In addition to the loss of habitat, what most likely caused this frog population to decline?",71,B
72,Which statement about photosynthesis and respiration is true?,72,C
73,A crop of corn plants is genetically modified so that the plants produce a natural pesticide. People are concerned that these corn plants might transfer modified genetic material to other plants. Which of the following is the best way to further modify the plants to prevent them from transferring their genetic materials to other plants?,73,D
