Date,Price
1914-12-01,28.98
1914-12-31,64.16
1915-01-30,86.87
1915-03-01,83.16
1915-03-31,54.54
1915-04-30,56.25
1915-05-30,49.98
1915-06-29,63.08
1915-07-29,52.54
1915-08-28,66.39
1915-09-27,79.66
1915-10-27,58.75
1915-11-26,79.54
1915-12-26,68.01
1916-01-25,59.5
1916-02-24,69.32
1916-03-25,104.29
1916-04-24,62.12
1916-05-24,87.46
1916-06-23,64.41
1916-07-23,73.9
1916-08-22,67.74
1916-09-21,65.13
1916-10-21,77.12
1916-11-20,96.23
1916-12-20,94.43
1917-01-19,74.76
1917-02-18,79.69
1917-03-20,92.2
1917-04-19,90.24
1917-05-19,95.54
1917-06-18,90.3
1917-07-18,78.02
1917-08-17,74.25
1917-09-16,101.98
1917-10-16,73.34
1917-11-15,105.5
1917-12-15,91.51
1918-01-14,99.97
1918-02-13,99.04
1918-03-15,104.17
1918-04-14,104.6
1918-05-14,115.04
1918-06-13,105.49
1918-07-13,118.15
1918-08-12,104.51
1918-09-11,131.15
1918-10-11,129.85
1918-11-10,97.72
1918-12-10,120.95
1919-01-09,91.9
1919-02-08,103.62
1919-03-10,139.62
1919-04-09,131.51
1919-05-09,115.37
1919-06-08,123.14
1919-07-08,125.95
1919-08-07,124.39
1919-09-06,133.66
1919-10-06,105.32
1919-11-05,138.91
1919-12-05,122.3
1920-01-04,130.66
1920-02-03,131.96
1920-03-04,121.09
1920-04-03,131.56
1920-05-03,129.93
1920-06-02,147.17
1920-07-02,117.99
1920-08-01,109.95
1920-08-31,138.08
1920-09-30,141.19
1920-10-30,163.73
1920-11-29,130.14
1920-12-29,124.88
1921-01-28,122.84
1921-02-27,136.72
1921-03-29,132.89
1921-04-28,138.73
1921-05-28,142.58
1921-06-27,149.64
1921-07-27,143.29
1921-08-26,166.63
1921-09-25,151.03
1921-10-25,157.4
1921-11-24,163.93
1921-12-24,162.28
1922-01-23,164.58
1922-02-22,145.85
1922-03-24,169.71
1922-04-23,173.11
1922-05-23,167.01
1922-06-22,156.82
1922-07-22,130.54
1922-08-21,162.52
1922-09-20,160.11
1922-10-20,178.72
1922-11-19,190.3
1922-12-19,152.58
1923-01-18,169.6
1923-02-17,172.52
1923-03-19,198.77
1923-04-18,152.87
1923-05-18,183.18
1923-06-17,170.65
1923-07-17,180.37
1923-08-16,177.06
1923-09-15,178.79
1923-10-15,180.6
1923-11-14,161.02
1923-12-14,178.3
1924-01-13,186.27
1924-02-12,191.78
1924-03-13,178.5
1924-04-12,177.66
1924-05-12,188.72
1924-06-11,166.27
1924-07-11,164.69
1924-08-10,178.04
1924-09-09,170.66
1924-10-09,176.65
1924-11-08,181.49
1924-12-08,200.87
1925-01-07,185.92
1925-02-06,186.89
1925-03-08,206.41
1925-04-07,217.87
1925-05-07,218.99
1925-06-06,200.71
1925-07-06,220.75
1925-08-05,208.61
1925-09-04,219.67
1925-10-04,207.95
1925-11-03,209.64
1925-12-03,190.4
1926-01-02,215.59
1926-02-01,214.41
1926-03-03,205.17
1926-04-02,214.45
1926-05-02,206.62
1926-06-01,193.93
1926-07-01,212.3
1926-07-31,220.56
1926-08-30,206.68
1926-09-29,205.03
1926-10-29,228.07
1926-11-28,229.24
1926-12-28,227.17
1927-01-27,214.93
1927-02-26,203.71
1927-03-28,209.47
1927-04-27,230.88
1927-05-27,228.27
1927-06-26,214.07
1927-07-26,219.45
1927-08-25,238.27
1927-09-24,240.58
1927-10-24,233.4
1927-11-23,214.02
1927-12-23,217.65
1928-01-22,238.32
1928-02-21,228.26
1928-03-22,240.45
1928-04-21,235.68
1928-05-21,246.06
1928-06-20,233.62
1928-07-20,230.06
1928-08-19,248.43
1928-09-18,234.86
1928-10-18,246.71
1928-11-17,227.73
1928-12-17,241.5
1929-01-16,232.76
1929-02-15,256.78
1929-03-17,236.78
1929-04-16,225.59
