carat,cut,color,clarity,depth,table,price,x,y,z
0.39,Premium,I,SI2,63.8,57.0,349,7.38,6.67,4.0
0.95,Very Good,H,SI1,61.0,59.0,2189,5.55,6.2,3.83
1.08,Very Good,J,VS1,59.1,58.0,10298,5.51,5.96,3.13
0.23,Good,D,SI1,63.0,61.0,750,4.84,2.53,4.9
2.1,Ideal,F,SI1,62.3,56.0,18435,5.99,6.21,3.66
1.28,Ideal,H,VS2,64.5,61.0,13230,5.45,7.04,3.71
0.9,Very Good,H,SI2,60.3,61.0,3393,3.43,5.13,2.98
0.41,Ideal,F,VVS1,61.8,55.0,1890,6.69,6.98,3.8
1.02,Good,E,VS1,57.4,55.0,1441,5.96,6.73,3.15
1.09,Fair,I,VS2,61.6,54.0,4227,3.51,7.02,3.69
2.16,Fair,H,SI2,63.5,57.0,326,6.99,4.0,3.62
0.33,Ideal,F,VS1,60.2,57.0,3062,3.76,5.16,2.0
0.32,Fair,D,SI2,58.6,58.0,8758,5.82,4.91,2.62
0.92,Good,F,SI2,62.5,56.0,4990,5.25,6.43,2.75
0.83,Good,E,VS2,59.7,62.0,560,3.74,6.17,4.7
0.42,Ideal,E,IF,61.3,54.0,3129,6.35,5.61,4.14
0.32,Very Good,F,VS1,61.6,56.0,11430,5.84,6.53,3.44
1.3,Very Good,H,VS1,59.1,55.0,4031,2.86,6.64,3.33
0.56,Ideal,H,SI2,61.6,57.0,1590,7.54,4.87,3.33
0.42,Ideal,H,SI2,58.1,61.0,1168,4.33,6.67,2.95
0.29,Ideal,F,VS2,58.6,56.0,1052,5.35,5.61,3.73
0.34,Ideal,F,IF,61.6,57.0,4954,3.82,6.57,3.27
1.33,Very Good,G,SI2,65.0,58.0,2699,6.79,5.36,6.21
0.98,Ideal,H,SI1,62.5,65.0,1751,4.18,7.48,3.92
1.52,Good,J,VS2,61.8,57.0,5812,5.58,5.25,3.31
0.47,Very Good,H,SI2,60.5,56.0,7075,4.78,5.7,3.79
0.98,Very Good,G,VVS2,62.9,54.0,7095,5.87,6.52,3.32
0.49,Premium,D,VVS1,60.5,54.0,2248,5.43,7.11,3.63
1.41,Good,F,SI2,62.1,59.0,3213,7.18,5.32,3.38
0.36,Very Good,I,VS2,59.8,56.3,12188,6.23,7.12,3.3
0.29,Fair,I,SI1,60.1,60.0,5655,6.43,6.06,3.56
0.41,Very Good,G,SI2,58.9,58.0,1859,6.02,5.38,3.37
2.75,Very Good,G,SI1,63.3,59.0,4205,5.31,5.76,3.95
0.99,Very Good,F,SI2,63.5,57.0,1076,7.58,7.79,3.08
1.05,Good,G,SI1,62.6,55.0,2449,6.47,6.55,3.61
0.61,Good,G,VS2,63.2,61.0,4582,4.58,4.63,3.03
0.83,Fair,J,SI1,63.2,58.0,5579,5.13,6.07,3.58
0.97,Ideal,G,VVS2,58.5,56.0,5625,5.85,7.36,4.35
1.01,Very Good,D,VVS1,59.5,58.0,326,4.93,4.75,2.11
0.98,Premium,G,SI1,60.1,58.0,3191,5.32,5.81,2.59
1.17,Premium,F,SI2,62.3,55.0,2475,5.02,7.28,4.94
0.26,Ideal,E,SI1,63.0,60.0,847,5.02,7.4,4.13
1.44,Ideal,I,VS2,62.8,60.0,1149,5.37,9.27,3.88
0.34,Fair,F,VS1,62.4,62.0,2328,7.54,5.5,3.61
0.46,Premium,J,SI2,58.6,58.0,5694,5.77,4.24,3.82
0.48,Very Good,E,SI2,61.4,55.0,3268,6.6,6.33,4.99
1.06,Good,H,VVS2,62.3,59.0,18823,4.67,5.76,3.74
0.91,Premium,J,VS1,62.5,60.0,3445,5.5,7.46,4.65
1.08,Premium,H,SI1,60.1,62.0,2522,5.06,6.23,2.65
1.09,Premium,J,SI2,62.4,57.0,3605,7.69,5.77,4.4
0.75,Premium,F,VS1,62.4,58.0,1787,5.43,6.66,3.18
0.62,Ideal,G,VVS2,63.1,57.0,5015,5.52,5.17,4.38
0.68,Fair,E,SI2,61.9,60.0,1320,6.54,4.4,2.54
0.39,Good,E,VS2,63.2,58.0,8663,5.01,5.27,4.72
0.54,Ideal,E,VS2,62.9,60.0,4299,5.11,5.01,3.11
0.64,Premium,F,VS1,61.7,58.0,8475,5.09,4.43,3.66
