sentence,label,idx
"the film 's hackneyed message is not helped by the thin characterizations , nonexistent plot and pretentious visual style .",0,367
"this is a winning ensemble comedy that shows canadians can put gentle laughs and equally gentle sentiments on the button , just as easily as their counterparts anywhere else in the world .",0,425
one of the smartest takes on singles culture i 've seen in a long time .,0,248
just one bad idea after another .,0,482
"vera 's three actors -- mollà , gil and bardem -- excel in insightful , empathetic performances .",0,612
intriguing documentary which is emotionally diluted by focusing on the story 's least interesting subject .,1,326
"it 's worth seeing just on the basis of the wisdom , and at times , the startling optimism , of the children .",0,48
"whether writer-director anne fontaine 's film is a ghost story , an account of a nervous breakdown , a trip down memory lane , all three or none of the above , it is as seductive as it is haunting .",1,93
"it 's not that kung pow is n't funny some of the time -- it just is n't any funnier than bad martial arts movies are all by themselves , without all oedekerk 's impish augmentation .",0,307
"it 's somewhat clumsy and too lethargically paced -- but its story about a mysterious creature with psychic abilities offers a solid build-up , a terrific climax , and some nice chills along the way .",1,231
"mattei is tiresomely grave and long-winded , as if circularity itself indicated profundity .",1,348
enormously entertaining for moviegoers of any age .,0,602
"every dance becomes about seduction , where backstabbing and betrayals are celebrated , and sex is currency .",1,582
"( næs ) directed the stage version of elling , and gets fine performances from his two leads who originated the characters on stage .",1,130
"the vivid lead performances sustain interest and empathy , but the journey is far more interesting than the final destination .",0,556
"characters still need to function according to some set of believable and comprehensible impulses , no matter how many drugs they do or how much artistic license avary employs .",1,693
this is n't even madonna 's swept away .,1,744
"whether writer-director anne fontaine 's film is a ghost story , an account of a nervous breakdown , a trip down memory lane , all three or none of the above , it is as seductive as it is haunting .",1,678
"ultimately feels empty and unsatisfying , like swallowing a communion wafer without the wine .",0,588
"a big , gorgeous , sprawling swashbuckler that delivers its diversions in grand , uncomplicated fashion .",1,696
"having had the good sense to cast actors who are , generally speaking , adored by the movie-going public , khouri then gets terrific performances from them all .",1,42
they should have called it gutterball .,1,413
"not only is undercover brother as funny , if not more so , than both austin powers films , but it 's also one of the smarter , savvier spoofs to come along in some time .",1,505
"a tender , witty , captivating film about friendship , love , memory , trust and loyalty .",0,765
this flick is about as cool and crowd-pleasing as a documentary can get .,0,806
"writer/director joe carnahan 's grimy crime drama is a manual of precinct cliches , but it moves fast enough to cover its clunky dialogue and lapses in logic .",1,56
"one of the more irritating cartoons you will see this , or any , year .",1,305
not exactly the bees knees,0,393
"because of an unnecessary and clumsy last scene , ` swimfan ' left me with a very bad feeling .",1,817
villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) .,1,512
this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms .,0,851
serving sara does n't serve up a whole lot of laughs .,0,461
a subtle and well-crafted ( for the most part ) chiller .,0,609
the second coming of harry potter is a film far superior to its predecessor .,0,38
"( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands .",0,404
"a poignant and compelling story about relationships , food of love takes us on a bumpy but satisfying journey of the heart .",1,182
"( lawrence bounces ) all over the stage , dancing , running , sweating , mopping his face and generally displaying the wacky talent that brought him fame in the first place .",1,142
at once half-baked and overheated .,0,310
almost gags on its own gore .,0,673
there 's not enough here to justify the almost two hours .,0,722
"preaches to two completely different choirs at the same time , which is a pretty amazing accomplishment .",0,87
"belongs to daniel day-lewis as much as it belongs to martin scorsese ; it 's a memorable performance in a big , brassy , disturbing , unusual and highly successful film .",0,150
"too often , the viewer is n't reacting to humor so much as they are wincing back in repugnance .",1,219
"charles ' entertaining film chronicles seinfeld 's return to stand-up comedy after the wrap of his legendary sitcom , alongside wannabe comic adams ' attempts to get his shot at the big time .",0,469
"it 's another video movie photographed like a film , with the bad lighting that 's often written off as indie film naturalism .",1,73
this surreal gilliam-esque film is also a troubling interpretation of ecclesiastes .,0,312
"this tenth feature is a big deal , indeed -- at least the third-best , and maybe even a notch above the previous runner-up , nicholas meyer 's star trek vi : the undiscovered country .",1,683
rarely has leukemia looked so shimmering and benign .,0,775
lapaglia 's ability to convey grief and hope works with weaver 's sensitive reactions to make this a two-actor master class .,1,128
"the film is based on truth and yet there is something about it that feels incomplete , as if the real story starts just around the corner .",0,90
it seems to me the film is about the art of ripping people off without ever letting them consciously know you have done so,0,806
an unclassifiably awful study in self - and audience-abuse .,0,189
"there 's really only one good idea in this movie , but the director runs with it and presents it with an unforgettable visual panache .",1,39
"against all odds in heaven and hell , it creeped me out just fine .",1,223
... a magnificent drama well worth tracking down .,0,346
basically a static series of semi-improvised ( and semi-coherent ) raps between the stars .,0,805
part low rent godfather .,1,864
"more romantic , more emotional and ultimately more satisfying than the teary-eyed original .",0,631
i can take infantile humor ... but this is the sort of infantile that makes you wonder about changing the director and writer 's diapers .,1,36
here 's yet another studio horror franchise mucking up its storyline with glitches casual fans could correct in their sleep .,0,334
"what 's surprising about full frontal is that despite its overt self-awareness , parts of the movie still manage to break past the artifice and thoroughly engage you .",1,461
i 'll bet the video game is a lot more fun than the film .,0,863
"nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy .",1,459
"so much facile technique , such cute ideas , so little movie .",0,473
"director of photography benoit delhomme shot the movie in delicious colors , and the costumes and sets are grand .",0,475
too much of it feels unfocused and underdeveloped .,0,453
"a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe .",1,247
enormously entertaining for moviegoers of any age .,0,254
"an occasionally funny , but overall limp , fish-out-of-water story .",1,38
... turns so unforgivably trite in its last 10 minutes that anyone without a fortified sweet tooth will likely go into sugar shock .,1,719
"the film is powerful , accessible and funny .",1,254
"it provides the grand , intelligent entertainment of a superior cast playing smart people amid a compelling plot .",0,372
"there 's too much falseness to the second half , and what began as an intriguing look at youth fizzles into a dull , ridiculous attempt at heart-tugging .",0,785
two hours fly by -- opera 's a pleasure when you do n't have to endure intermissions -- and even a novice to the form comes away exhilarated .,0,384
moretti 's compelling anatomy of grief and the difficult process of adapting to loss .,1,746
it 's a buggy drag .,1,675
"it has its moments of swaggering camaraderie , but more often just feels generic , derivative and done to death .",1,809
"the inspirational screenplay by mike rich covers a lot of ground , perhaps too much , but ties things together , neatly , by the end .",0,556
"nonsensical , dull `` cyber-horror '' flick is a grim , hollow exercise in flat scares and bad acting .",0,440
the moviegoing equivalent of going to a dinner party and being forced to watch the host and hostess 's home video of their baby 's birth .,1,607
"there are simply too many ideas floating around -- part farce , part sliding doors , part pop video -- and yet failing to exploit them .",0,464
the movie 's relatively simple plot and uncomplicated morality play well with the affable cast .,1,300
"the result is a gaudy bag of stale candy , something from a halloween that died .",0,428
"trite , banal , cliched , mostly inoffensive .",0,289
"if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world .",1,10
"even if you do n't think ( kissinger 's ) any more guilty of criminal activity than most contemporary statesmen , he 'd sure make a courtroom trial great fun to watch .",1,289
"belongs to daniel day-lewis as much as it belongs to martin scorsese ; it 's a memorable performance in a big , brassy , disturbing , unusual and highly successful film .",1,144
"sticky sweet sentimentality , clumsy plotting and a rosily myopic view of life in the wwii-era mississippi delta undermine this adaptation .",1,337
the piece plays as well as it does thanks in large measure to anspaugh 's three lead actresses .,0,147
"a misogynistic piece of filth that attempts to pass itself off as hip , young adult entertainment .",0,221
i got a headache watching this meaningless downer .,1,551
"once the 50 year old benigni appears as the title character , we find ourselves longing for the block of wood to come back .",1,797
"this time mr. burns is trying something in the martin scorsese street-realist mode , but his self-regarding sentimentality trips him up again .",1,73
director uwe boll and the actors provide scant reason to care in this crude '70s throwback .,1,431
"thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men .",0,801
"entertains by providing good , lively company .",0,866
it 's fun lite .,1,656
it 's a charming and often affecting journey .,1,612
"offers very little genuine romance and even fewer laughs ... a sad sitcom of a movie , largely devoid of charm .",0,343
there 's enough melodrama in this magnolia primavera to make pta proud yet director muccino 's characters are less worthy of puccini than they are of daytime television .,1,742
( a ) n utterly charming and hilarious film that reminded me of the best of the disney comedies from the 60s .,1,782
like being trapped at a perpetual frat party ... how can something so gross be so boring ?,1,650
"every dance becomes about seduction , where backstabbing and betrayals are celebrated , and sex is currency .",1,192
"if you 're hard up for raunchy college humor , this is your ticket right here .",1,125
or doing last year 's taxes with your ex-wife .,1,428
"drops you into a dizzying , volatile , pressure-cooker of a situation that quickly snowballs out of control , while focusing on the what much more than the why .",1,835
