carat,cut,color,clarity,depth,table,price,x,y,z
0.29,Ideal,H,SI1,63.8,59.0,1811,5.49,6.29,4.64
0.74,Premium,G,SI2,57.5,60.0,1840,5.37,7.9,4.11
1.0,Premium,F,SI2,60.3,63.0,1681,5.06,5.21,2.37
0.94,Very Good,E,SI1,59.6,61.0,641,5.75,6.13,4.64
0.77,Very Good,G,VS2,57.4,56.0,1913,5.38,5.74,3.43
1.06,Premium,J,SI2,61.0,61.0,9573,5.39,5.76,2.31
0.72,Very Good,H,SI1,63.5,59.0,3452,6.4,4.84,4.0
1.02,Ideal,F,SI1,62.6,54.0,2294,2.96,5.79,3.36
0.7,Premium,H,VS2,60.5,57.0,18242,5.87,4.48,2.73
0.49,Good,I,VS2,62.2,56.0,1454,6.27,6.98,3.35
0.79,Premium,F,VVS1,60.6,57.0,8922,4.95,6.72,3.23
0.2,Premium,D,SI2,62.3,59.0,575,7.45,5.45,3.13
0.51,Premium,D,VVS2,61.8,57.0,2126,7.02,6.01,3.73
0.54,Premium,I,VS1,60.9,58.0,7360,5.92,5.93,1.83
1.27,Ideal,F,I1,56.1,59.0,2876,5.5,5.88,3.13
0.55,Premium,G,SI2,61.1,58.0,3403,4.56,6.89,3.0
0.47,Very Good,J,I1,63.6,57.0,4488,5.58,3.51,4.59
0.35,Premium,E,SI1,62.5,61.0,14983,5.95,6.72,4.55
1.68,Ideal,G,SI2,60.0,56.0,5704,6.96,3.94,3.76
0.75,Premium,E,SI2,63.9,60.0,1845,4.1,4.73,2.91
1.42,Ideal,G,SI2,63.2,62.0,9819,4.72,6.03,2.93
1.31,Very Good,F,VS2,58.1,58.0,2212,5.77,5.38,3.96
0.51,Ideal,H,SI2,59.3,60.0,18823,2.2,4.68,4.86
0.81,Ideal,D,SI2,59.3,62.0,2068,5.01,5.6,3.01
0.54,Premium,D,SI2,58.3,59.0,1707,6.85,4.3,2.68
0.57,Premium,H,SI1,63.6,61.0,3516,4.43,6.55,3.53
1.53,Ideal,G,VVS2,60.9,57.0,755,5.42,5.96,3.73
0.3,Good,E,SI1,62.2,55.0,666,5.08,4.49,3.78
0.24,Premium,H,SI2,63.2,59.0,950,5.0,7.9,3.88
0.48,Very Good,D,SI2,58.8,57.0,9077,5.81,6.12,4.91
1.32,Good,I,SI1,61.9,54.0,2227,4.6,8.07,3.43
1.68,Very Good,I,SI2,65.2,64.0,9156,6.41,8.04,4.57
0.53,Ideal,I,SI2,60.7,60.0,3680,6.36,5.45,3.49
0.81,Ideal,G,VVS2,58.8,60.0,1033,4.24,3.7,3.65
1.15,Ideal,F,VS2,59.4,55.0,726,6.88,4.25,3.47
1.39,Very Good,G,VS1,61.6,54.0,4648,5.64,7.85,2.9
1.56,Very Good,J,VS1,61.3,58.0,1172,5.47,6.12,3.91
1.69,Premium,J,SI1,60.2,60.0,4251,7.16,5.15,3.05
0.97,Premium,I,SI2,61.5,60.0,1912,6.58,5.53,2.26
2.19,Premium,G,SI1,63.5,60.0,1314,6.15,6.01,4.0
0.3,Fair,J,I1,62.0,57.0,326,5.12,5.31,3.48
0.92,Good,G,IF,60.7,57.0,687,7.41,6.05,3.9
0.21,Very Good,E,VS2,57.3,62.0,2159,6.96,6.8,3.79
0.51,Fair,I,SI2,61.2,56.0,880,6.37,5.93,3.65
0.47,Fair,H,VVS2,62.5,58.0,4244,7.03,8.15,3.43
0.63,Ideal,G,SI1,62.6,55.0,5634,7.05,6.95,2.07
0.45,Fair,G,SI2,60.8,58.0,8320,5.76,4.91,3.28
0.4,Good,E,VS1,60.9,59.0,1055,5.08,4.42,3.32
1.04,Very Good,E,SI2,63.7,59.0,949,5.44,6.03,4.15
0.48,Premium,E,SI2,63.2,58.0,2588,6.03,5.69,3.71
1.2,Very Good,D,SI1,61.8,58.0,906,5.69,4.14,4.84
0.84,Fair,I,SI1,61.9,61.0,9999,5.07,7.1,3.38
1.1,Very Good,F,VS1,66.4,59.0,6537,5.63,8.49,2.88
0.82,Ideal,I,VS1,61.9,60.0,326,6.02,5.55,3.25
0.42,Very Good,E,SI1,59.1,61.0,2396,5.68,6.72,3.59
1.24,Good,D,SI2,59.8,56.0,2060,5.15,3.55,3.66
0.75,Ideal,J,VS2,59.9,56.0,10283,5.22,7.11,3.8
0.23,Fair,H,VS2,59.6,57.0,3902,4.96,6.6,3.71
0.59,Premium,E,SI1,61.1,57.0,2068,5.48,7.5,3.08
3.07,Very Good,I,VS1,62.0,56.0,8205,6.17,6.73,2.77
1.09,Very Good,I,SI1,62.0,59.0,2468,4.45,7.51,3.4
0.77,Ideal,F,VVS2,63.0,58.0,5404,3.9,7.13,2.88
1.23,Premium,I,SI1,60.6,61.0,326,5.73,6.86,5.49
0.27,Ideal,I,VS2,62.6,59.0,5590,8.83,6.65,2.04
0.97,Premium,D,VS2,56.3,60.0,5509,4.94,6.49,3.36
0.34,Very Good,G,SI2,62.0,60.0,837,5.11,5.03,3.76
1.25,Good,D,SI1,60.0,59.0,1284,4.6,5.71,2.46
1.05,Premium,F,VS2,61.4,56.0,1562,5.09,6.36,2.67
0.43,Very Good,F,SI2,59.1,60.0,1370,4.07,6.11,4.61
0.84,Very Good,E,IF,61.8,54.0,1706,6.25,6.22,3.67
0.74,Very Good,G,VVS2,62.2,58.0,838,6.04,4.53,4.94
0.43,Very Good,H,VS1,59.3,58.6,5262,6.68,5.59,2.32
1.97,Fair,J,SI2,61.6,61.0,2598,6.69,5.53,2.39
0.33,Very Good,H,SI1,64.6,58.0,551,6.59,4.23,3.22
0.31,Premium,G,SI1,57.4,62.0,1294,4.66,8.59,5.38
0.54,Very Good,G,VS2,63.1,54.0,4310,4.19,7.96,3.63
1.38,Very Good,H,VVS2,59.7,58.0,4305,4.58,5.12,3.04
0.53,Ideal,E,VS2,60.6,61.0,706,4.78,5.85,3.76
0.32,Premium,J,VVS2,61.4,59.0,1611,5.88,8.45,3.84
0.83,Very Good,E,SI2,62.5,56.0,813,6.38,3.38,2.89
1.55,Very Good,G,IF,58.8,56.0,5401,5.94,7.33,3.22
0.63,Very Good,E,VVS2,62.3,59.0,7496,5.4,5.4,3.23
0.26,Premium,E,SI2,62.7,54.0,2849,5.1,5.4,3.67
0.53,Good,J,SI2,59.8,64.0,9544,5.63,7.3,2.64
1.82,Premium,I,VS1,60.3,64.0,5419,7.01,5.83,3.37
0.52,Ideal,D,SI1,64.1,56.0,875,4.91,4.2,3.18
1.04,Ideal,F,VVS2,62.2,62.0,3738,3.83,6.58,3.1
0.31,Good,F,SI2,62.3,55.0,5242,6.08,5.98,2.25
2.11,Premium,I,VS2,61.0,58.0,1127,8.1,6.09,4.33
0.23,Good,E,VS2,62.5,62.0,1391,6.6,6.43,3.85
1.57,Ideal,E,SI1,60.4,64.0,12796,5.38,5.43,2.92
0.47,Ideal,E,VVS1,61.1,59.0,1155,5.88,7.23,4.15
1.47,Premium,J,VVS2,59.3,55.0,1138,6.75,6.91,2.82
0.44,Good,D,VVS2,61.4,59.6,6483,6.71,5.56,3.28
1.58,Ideal,H,SI2,59.9,54.0,13914,6.33,6.44,3.43
0.51,Ideal,F,IF,61.1,57.0,2098,5.49,5.37,2.58
1.05,Very Good,E,VVS2,61.4,61.0,4580,6.71,6.26,2.46
0.53,Very Good,H,SI1,59.6,57.0,12152,6.07,4.81,3.07
0.2,Ideal,G,VVS2,61.5,61.0,1137,6.02,5.33,4.15
0.78,Fair,D,VS2,58.2,61.0,865,5.31,6.34,3.44
0.53,Very Good,D,VVS1,61.5,57.0,2089,5.03,4.56,3.28
0.45,Ideal,F,SI1,60.7,59.0,1110,5.33,5.78,3.22
1.0,Good,H,VS2,61.5,56.3,3251,4.56,5.04,4.06
0.62,Premium,E,VS2,60.5,63.0,4760,5.15,3.89,2.47
1.34,Premium,F,SI1,61.0,56.0,3850,7.85,3.2,3.73
1.09,Premium,J,SI1,61.6,59.0,2531,4.78,3.97,5.33
0.95,Good,J,SI1,62.1,53.0,1433,5.48,7.26,3.52
0.25,Ideal,E,VS2,62.5,59.0,1431,6.16,3.67,4.34
2.52,Premium,J,VS1,63.6,58.0,1211,6.32,3.94,3.31
0.56,Premium,I,VS1,61.2,55.7,2039,5.69,5.64,4.78
1.96,Very Good,I,VS1,61.9,60.0,5094,4.54,5.63,3.9
1.53,Fair,I,SI2,62.9,55.0,2673,8.3,3.98,2.7
0.55,Very Good,H,SI1,63.5,58.0,3479,6.15,5.37,3.12
3.4,Very Good,J,VVS2,62.1,57.0,9272,6.57,5.97,2.85
0.52,Very Good,F,VVS1,61.1,58.0,4246,5.46,4.6,3.56
0.72,Ideal,G,SI2,60.6,59.0,1459,6.9,5.28,3.96
0.42,Very Good,D,SI2,59.5,60.0,4564,3.67,7.25,3.07
0.28,Premium,F,IF,62.7,57.0,639,4.57,3.17,3.72
0.28,Premium,E,VVS1,58.9,61.0,2595,3.85,6.42,3.79
3.07,Ideal,I,VVS2,62.3,55.0,3376,5.94,5.08,3.6
0.68,Very Good,F,SI2,60.1,56.0,1065,7.0,5.29,3.39
0.92,Very Good,I,VS2,59.6,54.0,5998,5.76,5.25,3.39
0.66,Premium,F,VVS2,62.8,58.0,3578,5.57,6.28,4.17
0.34,Ideal,H,SI2,60.5,56.0,1364,5.02,5.82,2.9
0.53,Premium,I,VS2,61.0,58.0,3172,5.78,5.02,3.28
0.3,Very Good,I,VS1,61.5,60.0,2031,5.24,6.0,2.93
0.97,Ideal,G,I1,68.0,59.0,3165,5.58,5.85,3.1
0.42,Ideal,E,I1,62.3,56.0,2375,4.0,4.27,3.79
0.95,Ideal,J,SI1,62.3,61.0,3027,6.95,3.53,4.34
0.57,Ideal,E,SI1,61.9,59.0,1400,5.48,5.41,4.03
1.07,Very Good,E,VS2,61.3,58.0,1135,6.64,7.11,4.13
0.87,Ideal,E,VVS1,62.5,56.0,1152,5.52,5.01,2.77
0.81,Ideal,I,VVS1,62.5,54.0,10793,6.54,5.08,2.88
0.88,Good,J,VS1,60.7,60.0,11363,6.46,4.67,4.49
0.47,Good,F,VS1,60.8,58.0,1732,6.86,5.48,3.66
1.15,Ideal,H,VS2,60.0,54.0,4370,6.78,5.9,3.83
1.78,Very Good,H,VVS2,60.4,61.0,4377,7.7,6.19,4.3
1.74,Very Good,H,IF,61.3,58.0,2061,5.16,5.48,5.02
0.62,Very Good,H,VS1,60.9,58.0,3515,5.77,5.34,4.06
1.95,Premium,J,SI1,61.1,58.0,7474,6.72,7.01,2.77
0.47,Ideal,F,SI1,63.1,56.0,2288,4.66,5.8,3.76
0.2,Very Good,H,SI2,61.2,58.0,888,4.8,6.6,2.98
0.93,Very Good,G,IF,62.4,55.0,4206,7.15,7.05,2.58
1.63,Very Good,G,VS2,58.8,55.0,6406,4.72,4.75,3.93
0.45,Good,E,VVS2,61.5,56.0,1976,4.65,5.65,2.63
0.26,Ideal,H,SI2,63.5,59.0,1055,5.34,4.87,4.01
0.52,Premium,I,SI1,62.2,65.0,1774,6.07,5.5,3.62
1.48,Very Good,G,VVS2,61.1,56.0,3743,4.61,4.98,3.72
0.31,Ideal,G,VS1,59.1,60.0,3587,7.34,7.21,4.52
0.23,Premium,E,VVS2,59.9,57.0,508,2.8,7.43,2.37
0.91,Premium,H,VVS1,62.5,55.0,1922,2.92,7.02,2.99
0.95,Premium,F,VS2,60.9,58.0,1775,5.9,5.47,4.04
2.66,Very Good,J,VS2,62.1,61.0,10688,7.3,5.28,5.1
0.64,Premium,E,SI2,62.0,57.0,2705,5.59,4.68,4.04
1.72,Very Good,J,SI1,63.2,61.0,753,8.84,6.49,2.26
2.19,Very Good,I,VS2,63.8,56.0,326,4.31,8.84,3.96
0.42,Very Good,G,VS1,61.3,57.0,326,5.06,9.14,1.76
0.37,Very Good,G,VS1,60.8,59.0,1054,6.5,5.02,4.5
0.84,Premium,F,VVS1,60.0,54.0,18823,5.16,6.01,3.56
1.05,Good,F,SI1,62.6,62.0,3598,4.36,5.6,4.42
0.28,Premium,E,SI1,62.3,62.0,1460,7.16,5.53,3.78
1.39,Ideal,D,VVS2,60.1,58.0,691,4.26,4.69,3.55
0.21,Ideal,D,SI2,60.3,58.0,475,7.31,6.35,2.7
1.37,Premium,J,SI1,59.6,54.9,13537,7.98,7.14,3.56
0.68,Very Good,G,VS2,58.7,65.0,536,5.34,5.25,4.46
0.82,Fair,G,I1,62.4,61.0,1340,5.01,5.41,3.26
1.44,Ideal,G,VVS2,62.6,58.0,7338,7.13,6.21,3.59
0.25,Very Good,E,SI1,59.5,62.0,3485,6.08,5.15,3.65
1.02,Good,G,SI2,59.4,59.0,2132,5.75,7.37,3.6
0.41,Ideal,F,SI1,56.6,63.0,1789,4.86,8.09,3.16
0.53,Very Good,G,VS1,63.0,54.0,2395,5.04,6.36,2.57
0.27,Very Good,E,VS2,61.6,57.0,1448,5.72,5.72,4.53
0.45,Ideal,D,VS2,60.4,59.0,3463,6.27,5.63,3.79
1.25,Ideal,D,SI1,62.1,60.0,1006,4.72,4.71,2.92
1.27,Ideal,I,IF,61.7,58.0,9591,6.48,5.91,3.04
0.53,Good,I,SI1,63.0,63.0,1472,4.33,4.92,3.36
0.46,Very Good,D,VS2,63.4,58.0,886,6.11,5.41,2.16
0.65,Very Good,H,VS2,63.4,63.0,3606,4.73,5.68,3.36
0.59,Fair,F,VS2,59.8,55.0,9119,5.45,5.92,1.63
1.49,Very Good,I,VS2,63.4,60.0,4035,5.73,3.25,3.32
1.28,Premium,H,VS1,61.5,60.0,18823,5.47,7.2,3.3
0.83,Very Good,J,VS1,60.2,60.0,11698,5.77,4.01,3.28
0.3,Ideal,E,VVS2,61.9,61.0,1822,6.41,4.84,2.72
