Name,Miles_per_Gallon,Cylinders,Displacement,Horsepower,Weight_in_lbs,Acceleration,Year,Origin
mazda glc custom,24.5,4,318.0,121,2265,17.8,1970-01-01,Japan
plymouth valiant,16.5,4,301.0,197,3379,11.7,1970-01-01,USA
peugeot 504,15.6,4,139.0,176,2405,17.3,1970-01-01,Europe
buick opel isuzu deluxe,15.3,8,173.0,140,1613,16.2,1970-01-01,USA
chevrolet vega,11.3,4,409.0,166,2491,17.3,1970-01-01,USA
amc concord,24.5,7,346.0,205,3080,18.5,1970-01-01,USA
toyota corona,19.8,4,291.0,154,3127,13.7,1970-01-01,Japan
volkswagen jetta,18.1,4,449.0,57,2420,16.0,1970-01-01,Europe
fiat 124 sport coupe,11.8,4,350.0,61,1881,13.9,1970-01-01,Europe
toyota corona,23.8,4,212.0,150,2278,15.0,1970-01-01,Japan
ford fairmont futura,12.6,7,262.0,103,2930,14.3,1970-01-01,USA
capri ii,,7,448.0,127,2406,14.7,1970-01-01,USA
chevrolet impala,23.4,8,416.0,218,3259,13.0,1970-01-01,USA
datsun pl510,18.3,4,344.0,219,2037,13.3,1970-01-01,Japan
amc concord dl,12.0,6,97.0,104,2433,16.2,1970-01-01,USA
dodge rampage,11.8,7,315.0,70,3043,14.8,1970-01-01,USA
audi 100ls,24.1,4,149.0,52,4412,16.5,1970-01-01,Europe
volkswagen dasher,22.4,4,258.0,68,1900,13.1,1970-01-01,Europe
plymouth champ,16.5,8,238.0,66,2799,13.2,1970-01-01,USA
plymouth satellite,14.6,7,164.0,153,4465,21.8,1970-01-01,USA
toyota corolla,11.3,4,269.0,146,1863,20.3,1970-01-01,Japan
dodge dart custom,26.2,7,443.0,119,4696,13.7,1970-01-01,USA
volvo 245,24.4,4,334.0,47,2849,12.6,1970-01-01,Europe
capri ii,18.4,6,424.0,127,2628,17.7,1970-01-01,USA
toyota corolla tercel,11.5,4,405.0,50,2435,12.0,1970-01-01,Japan
chevrolet caprice classic,9.4,6,352.0,155,3365,12.9,1970-01-01,USA
plymouth horizon 4,26.4,5,421.0,184,3439,21.7,1970-01-01,USA
amc ambassador sst,9.7,5,228.0,154,3425,14.4,1970-01-01,USA
ford mustang,18.3,7,373.0,125,3110,14.4,1970-01-01,USA
dodge omni,22.3,6,385.0,125,4405,13.0,1970-01-01,USA
toyota corolla 1200,9.6,5,221.0,134,2397,18.4,1970-01-01,Japan
datsun 310,22.0,5,198.0,160,2150,15.8,1970-01-01,Japan
capri ii,11.9,7,199.0,191,2639,11.5,1970-01-01,USA
amc rebel sst,23.3,5,364.0,112,3296,18.3,1970-01-01,USA
volkswagen rabbit custom,9.8,4,304.0,199,3033,17.2,1970-01-01,Europe
mercury cougar brougham,18.2,6,119.0,131,3106,14.1,1970-01-01,USA
plymouth satellite,24.4,7,274.0,179,3376,17.9,1970-01-01,USA
chrysler lebaron town @ country (sw),19.7,8,427.0,152,2125,17.3,1970-01-01,USA
volkswagen rabbit custom,20.3,4,358.0,146,1976,11.4,1970-01-01,Europe
plymouth fury iii,12.7,5,375.0,92,4222,14.3,1970-01-01,USA
buick century 350,17.9,4,101.0,123,3576,17.5,1970-01-01,USA
peugeot 504,12.8,4,123.0,68,2180,16.6,1970-01-01,Europe
pontiac catalina,17.1,8,106.0,76,3473,13.4,1970-01-01,USA
ford mustang ii,20.7,7,250.0,79,2938,23.8,1970-01-01,USA
buick skylark,17.6,5,332.0,194,3638,18.0,1970-01-01,USA
ford thunderbird,12.4,5,444.0,127,3992,16.9,1970-01-01,USA
honda civic (auto),24.6,4,226.0,221,3040,13.3,1970-01-01,Japan
toyota corona mark ii,23.9,4,186.0,70,2068,11.4,1971-01-01,Japan
toyota cressida,31.8,3,129.0,91,2703,16.3,1971-01-01,Japan
honda civic (auto),33.9,4,330.0,73,2132,17.2,1971-01-01,Japan
honda Accelerationord lx,33.6,4,145.0,136,2622,11.8,1971-01-01,Japan
saab 99gle,20.7,4,166.0,149,1999,19.6,1971-01-01,Europe
dodge aspen 6,19.8,5,342.0,168,4363,15.6,1971-01-01,USA
plymouth custom suburb,17.4,6,91.0,106,3649,15.1,1971-01-01,USA
pontiac phoenix lj,19.1,6,255.0,88,3492,16.8,1971-01-01,USA
amc gremlin,21.2,4,230.0,127,3490,16.2,1971-01-01,USA
volvo 245,,4,154.0,60,3640,12.2,1971-01-01,Europe
ford gran torino,29.4,7,129.0,166,3001,14.8,1971-01-01,USA
peugeot 505s turbo diesel,24.1,4,132.0,142,1863,12.7,1971-01-01,Europe
oldsmobile omega,23.4,7,369.0,145,2377,19.0,1971-01-01,USA
chevrolet monte carlo s,32.2,5,294.0,132,4588,15.2,1971-01-01,USA
mercury grand marquis,28.2,7,259.0,147,3067,9.0,1971-01-01,USA
toyota celica gt liftback,26.1,4,255.0,139,2335,13.7,1971-01-01,Japan
audi 4000,28.9,4,231.0,99,2031,18.1,1971-01-01,Europe
fiat 128,32.9,4,245.0,108,2035,11.8,1971-01-01,Europe
ford ranger,14.2,7,271.0,165,3606,12.1,1971-01-01,USA
toyota corona liftback,23.4,3,341.0,162,2185,15.9,1971-01-01,Japan
toyota mark ii,25.4,4,247.0,147,1613,13.1,1971-01-01,Japan
chevy c10,29.6,6,134.0,66,2897,17.0,1971-01-01,USA
mazda glc deluxe,33.7,4,155.0,123,1854,12.5,1971-01-01,Japan
plymouth horizon,13.5,6,164.0,71,3030,18.5,1971-01-01,USA
plymouth arrow gs,13.4,6,247.0,96,1613,15.9,1971-01-01,USA
volvo 264gl,25.0,4,282.0,155,2128,17.8,1971-01-01,Europe
amc hornet,31.6,8,269.0,80,4139,15.6,1971-01-01,USA
mercury capri v6,28.2,7,287.0,80,4024,15.5,1971-01-01,USA
ford fairmont (auto),28.1,6,314.0,64,2585,13.9,1971-01-01,USA
plymouth horizon,23.6,6,316.0,197,2239,14.9,1972-01-01,USA
toyota corolla,,5,160.0,104,2447,19.0,1972-01-01,Japan
cadillac seville,19.5,6,427.0,205,1674,14.3,1972-01-01,USA
toyota celica gt,27.7,4,372.0,202,1665,14.3,1972-01-01,Japan
chevrolet chevette,13.6,8,363.0,136,3026,15.4,1972-01-01,USA
buick skylark limited,12.9,5,200.0,85,2563,13.9,1972-01-01,USA
ford pinto,22.4,4,185.0,193,2903,16.5,1972-01-01,USA
oldsmobile vista cruiser,11.8,5,159.0,89,3147,14.6,1972-01-01,USA
volkswagen dasher,12.9,4,228.0,61,1856,17.2,1972-01-01,Europe
buick opel isuzu deluxe,21.3,7,266.0,119,2817,19.9,1972-01-01,USA
ford country,23.7,4,254.0,201,2855,13.4,1972-01-01,USA
ford thunderbird,13.5,5,138.0,191,4238,16.2,1972-01-01,USA
plymouth duster,21.7,5,329.0,185,1729,14.9,1972-01-01,USA
oldsmobile cutlass ciera (diesel),25.1,7,277.0,159,3576,16.5,1972-01-01,USA
peugeot 504,12.7,4,211.0,78,2253,15.9,1972-01-01,Europe
volvo 244dl,24.6,4,352.0,118,2447,12.1,1972-01-01,Europe
dodge d200,27.1,7,348.0,118,2800,13.4,1972-01-01,USA
chevrolet chevette,17.3,4,398.0,79,3574,15.3,1972-01-01,USA
ford gran torino,18.4,4,350.0,93,2585,14.1,1972-01-01,USA
pontiac grand prix,25.2,6,89.0,123,3260,17.9,1972-01-01,USA
pontiac grand prix,16.8,8,413.0,55,3815,13.1,1972-01-01,USA
buick skylark,21.3,5,169.0,150,4097,9.5,1972-01-01,USA
dodge colt,19.5,5,206.0,56,3698,14.9,1972-01-01,USA
dodge d100,15.5,4,257.0,151,3401,13.4,1972-01-01,USA
pontiac phoenix,13.9,6,389.0,151,3551,11.9,1972-01-01,USA
datsun 210,21.1,3,317.0,159,1951,16.5,1972-01-01,Japan
mazda 626,15.8,3,72.0,141,1706,14.4,1972-01-01,Japan
mercury monarch ghia,25.8,4,309.0,202,2738,18.1,1972-01-01,USA
chevrolet nova,16.0,5,267.0,114,3659,14.9,1972-01-01,USA
plymouth horizon 4,17.4,7,398.0,203,4196,12.6,1972-01-01,USA
plymouth volare custom,25.9,7,258.0,52,3920,18.8,1973-01-01,USA
