carat,cut,color,clarity,depth,table,price,x,y,z
1.11,Ideal,I,VVS1,60.7,55.0,2737,5.62,6.6,2.58
1.7,Ideal,J,SI1,62.2,58.0,1142,7.52,6.06,2.72
0.27,Very Good,E,VVS1,62.7,54.0,11653,4.38,4.93,2.85
0.94,Ideal,F,I1,62.0,58.0,11779,4.99,5.8,3.09
0.73,Very Good,J,VS2,60.5,55.0,6018,4.7,6.62,3.89
1.11,Premium,E,SI1,62.8,58.0,8595,2.88,6.51,3.34
0.73,Very Good,D,VS2,61.0,60.0,987,4.31,6.65,4.22
0.4,Very Good,G,SI2,60.6,56.0,13207,5.98,3.73,3.71
0.96,Premium,F,SI2,60.9,63.0,3239,5.86,5.95,3.16
0.62,Very Good,F,VS2,61.7,54.0,5807,6.79,4.01,3.93
1.15,Very Good,I,VS1,60.1,55.0,12895,6.17,6.29,3.25
0.68,Ideal,D,SI1,62.3,61.0,2514,5.27,5.36,3.33
0.29,Premium,H,VS1,59.8,59.0,4674,6.73,7.45,3.52
0.43,Very Good,J,VS2,63.2,56.0,5579,4.54,3.06,4.24
0.51,Very Good,G,VVS1,61.2,57.0,380,5.37,5.92,3.63
0.46,Ideal,D,VS2,62.2,59.0,5025,6.57,6.84,4.79
0.87,Premium,E,SI2,59.9,56.0,360,8.05,3.93,4.45
1.64,Ideal,G,SI1,63.7,61.0,1968,5.61,7.81,2.69
0.43,Very Good,E,VS1,62.8,54.0,917,5.7,6.0,2.97
0.53,Very Good,D,SI1,64.8,54.0,956,3.91,4.82,2.66
2.15,Very Good,I,VS2,57.8,63.0,2423,5.81,7.84,3.82
0.47,Good,G,VS2,61.0,58.0,4308,6.84,4.94,5.0
0.88,Very Good,H,VS1,62.7,61.0,2515,5.06,4.41,3.54
0.82,Fair,I,VS2,58.0,57.0,8041,4.24,5.43,2.98
1.37,Premium,D,VS2,59.8,56.0,8460,4.7,5.99,3.65
0.35,Very Good,D,VS1,59.0,57.0,3719,7.37,6.23,2.91
0.32,Premium,G,SI1,62.9,55.0,3285,7.09,5.87,3.44
0.56,Ideal,F,VS1,61.0,57.0,2066,4.49,6.01,4.17
1.0,Ideal,E,SI1,61.7,55.0,2172,6.88,6.53,2.66
0.59,Ideal,D,VS1,63.1,68.0,7028,5.73,5.14,4.07
1.13,Premium,G,SI1,59.6,61.0,4767,4.71,5.49,2.74
0.94,Ideal,E,IF,61.1,57.0,1256,4.19,9.25,1.77
1.12,Fair,J,SI2,65.4,55.0,1284,5.38,4.19,3.13
0.61,Premium,E,VVS2,61.9,59.0,2795,5.58,7.68,2.14
0.33,Ideal,H,SI1,62.7,60.0,5711,6.63,7.68,2.82
0.71,Ideal,H,VVS1,61.4,60.0,326,5.92,5.36,2.47
0.32,Premium,F,VS1,61.6,60.0,8386,6.66,7.81,3.39
0.64,Premium,J,VS1,61.1,56.0,548,4.87,5.22,3.24
