id,question,choices,answerKey
1,A student is investigating changes in the states of matter. The student fills a graduated cylinder with 50 milliliters of packed snow. The graduated cylinder has a mass of 50 grams when empty and 95 grams when filled with the snow. The packed snow changes to liquid water when the snow is put in a warm room. Which statement best describes this process?,1,B
2,Ice will form on small ponds when the temperature drops below 0°C. Which property of ice is most beneficial to fish living in these ponds?,2,C
3,"A scientist working on a new package design wants to use a material that is highly recyclable, biodegradable, and inexpensive. The best material for the package design is",3,C
4,Which type of activity would most likely be included on a weather map?,4,C
5,In which situation would it be an advantage to ship a product by plane rather than by truck?,5,C
6,Which of these would be a model of diffusion?,6,D
7,"When a mirror is placed by a fish bowl with a beta fish swimming inside, the beta fish sees what appears to be another fish. This occurs because of",7,A
8,"A student is using descriptions to classify organisms. One organism is described as having sense organs to detect heat, laying eggs to reproduce, using venom for protection, and having the ability to change body temperature with its surroundings. How would the student classify this organism?",8,C
9,Which food is a fruit?,9,C
10,Which animal is preparing for a seasonal change in the environment?,10,D
11,"A student recorded the growth rate of plants grown in the presence of two different types of music. Plants grown in the presence of one type of music grew faster than the other plants. Before reporting a conclusion, which should the student most likely do?",11,B
12,Cell membranes are described as selectively permeable. Four students were asked to explain what this means and provided the answers given below.Student 1: Cell membranes prevent all materials from entering the cell.Student 2: Cell membranes only provide structural support for the cell.Student 3: Cell membranes regulate which substances can enter and exit the cell.Student 4: Cell membranes allow water and water-soluble substances to enter the cell.Which student correctly identified the function of the selectively permeable membrane?,12,A
13,"In a grassland ecosystem, organisms of the same species eat the same food. When there is a lack of rain, which is most likely increased?",13,A
14,"If a new moon occurred on June 2, when will the next new moon occur?",14,A
15,A person cuts down a living oak tree. The person burns the wood from the oak tree to boil water. Which sequence correctly orders the energy transformations that occurred from the living tree to the boiling of water?,15,D
16,The burning of fossil fuels has increased the carbon dioxide content of the atmosphere. What is a possible effect that the increased amount of carbon dioxide is likely to have on our planet?,16,C
17,Ice will form on small ponds when the temperature drops below 0°C. Which property of ice is most beneficial to fish living in these ponds?,17,C
18,"During a lecture, a professor was talking about the potential that hydrogen has for exploding under certain conditions. Which was most likely the topic of the professor's lecture?",18,C
19,A student blew air into a beach ball and sealed it. She then pushed on the middle of the beach ball. What happened to the air inside the beach ball?,19,B
20,Where does the energy from an earthquake originate?,20,B
21,"Which weather event usually includes heavy precipitation, strong winds, and surface air temperatures below 0°C?",21,B
22,A metal sample is placed into a beaker of boiling water. After two minutes the metal is removed. After 5 minutes the metal can be picked up by hand but the water is still too hot to touch. Which of these matter and energy interactions is being illustrated?,22,D
23,Sonar equipment sends waves into deep water and measures the,23,B
24,In which scenario below would natural selection most likely occur?,24,A
25,The heart is the major organ of the circulatory system. Which part of the body is responsible for delivering de-oxygenated blood to the heart?,25,D
26,"While collecting wildflowers, a student begins to sneeze and has itchy, watery eyes. What bodily system causes this reaction?",26,B
27,Many school districts are placing dispensers of hand sanitizer in classrooms and computer labs. Which of the following is the most likely purpose of this practice?,27,A
28,The Ohio state tree is the buckeye. Which of these is a trait that is inherited by the buckeye tree in the reproduction process?,28,C
29,Which is the best evidence that cell division is occurring constantly in our bodies?,29,A
30,"A student leaves a bucket of water outside on a warm, sunny day. Which process most likely happens to the water in the bucket?",30,C
31,Which of the following has the least momentum?,31,C
32,Uranus is one of the outer planets of the solar system. The average distance of Uranus from the Sun is 2.87 billion kilometers. Which best explains why Uranus revolves in its orbit instead of moving out into space?,32,D
33,A student plants rosebushes in her front yard. The student is frequently seen pulling weeds from the base of the rosebushes. What is the most likely reason that the weeds are pulled?,33,A
34,A single-cell organism can do everything a cell from a multicellular organism can do except,34,C
35,One property of liquids is that they have a definite,35,B
36,Which nongaseous compound can be made from two elements that are gases at room temperature?,36,A
37,Which marine ecosystem is independent of sunlight?,37,A
38,Most volcanoes develop due to interactions between two tectonic plates. Which of the tectonic plate interactions is least likely to produce volcanic activity?,38,A
39,All organisms classified in kingdom Animalia must also be classified as which of the following?,39,A
40,Which factor will prompt an animal's fight-or-flight response?,40,B
41,"Why are coal, oil, and natural gas called fossil fuels?",41,B
42,Read the description of the experiment below to answer the question. One hundred pea seeds were put in petri dishes and covered with wet paper towels. The petri dishes were then put inside black plastic bags. Half of them were placed in an incubator set to 10°C. The remaining half were placed in an incubator set to 30°C. This experiment was most likely designed to study the effect of which variable on the germination of pea seeds?,42,C
43,A cell that is low in water will most likely immediately lose the ability to,43,B
44,"Below is an advertisement found in a local newspaper. As shiny as diamonds at a fraction of the price! Buy ""Simu-Gems"" at Cost-Rite Jewelers. This advertisement suggests that Cost-Rite Jewelers' supplier",44,C
45,Which of the following is a likely reason for a sinkhole to form?,45,A
46,"Students studying membranes conducted an experiment using labeled paper cups filled with varying concentrations of red food coloring. After the experiment, the cups were empty and stained. What should be done with used cups?",46,D
47,A bowling ball with a mass of 8.0 kg rolls down a bowling lane at 2.0 m/s. What is the momentum of the bowling ball?,47,D
48,Organisms can be separated by their most basic characteristics into the broadest groups known as,48,C
49,"A simple food chain includes hawks, lizards, and insects. Which will most likely happen to the lizard and hawk populations if a pesticide is sprayed to kill the insects, and the lizard and hawk populations cannot find other food in this ecosystem?",49,A
50,"If an experiment results in data that do not support the hypothesis, what is the most likely step to take next?",50,C
51,Which of the following is a central role of carbon in the chemistry of living organisms?,51,B
52,"In early 2003, the Human Genome Project identified the sequence of base pairs in the genes in human DNA. With all of this information, many of the functions of the genes are still unknown. Currently, scientists are studying many of these genes in order to learn more about them. What is the significance of this new genetic discovery?",52,B
53,A wasp uses poison in a stinger to,53,C
54,One effect of ocean pollution is that it can reduce populations of phytoplankton and algae. The reduction of these populations might have which impact on an ecosystem?,54,C
55,Which characteristic does a paramecium have in common with volvox?,55,D
56,A handheld sewing machine uses a battery to make a needle move. The needle goes up and down quickly. Which energy change is taking place?,56,B
57,A certain species of endangered parrots lives on an island that can be seriously affected by large floods. Which of these is considered a negative impact to the parrot population from flooding?,57,B
58,Which comparison of ecosystems is true?,58,4
59,"A student leaves a bucket of water outside on a warm, sunny day. Which process most likely happens to the water in the bucket?",59,D
60,Scientists have measured the rate of growth of the Atlantic Ocean basin to be about 2 to 3 cm per year. This type of activity coincides with the formation of ridges on the ocean floor. What is the most likely cause of this activity?,60,B
61,What part of the water cycle takes place when water from clouds falls back to Earth?,61,A
62,"While collecting wildflowers, a student begins to sneeze and has itchy, watery eyes. What bodily system causes this reaction?",62,B
63,Which function makes a plant cell different from an animal cell?,63,D
64,Which situation would be considered observation and measurement?,64,D
65,"If 100 grams of vinegar and 5 grams of baking soda are poured in a container, a small amount of gas will be produced. What will the final mass of the products be if the gas is trapped in the container?",65,D
66,"Clams, oysters, and mussels eat plankton filtered from water. How would clams, oysters, and mussels most likely be affected if the amount of plankton in a large body of water was significantly reduced?",66,C
67,Most electrical wires are covered with plastic or rubber. The wires are covered with plastic or rubber because those materials,67,D
68,Which activity is an example of a chemical change?,68,B
69,What part of an atom orbits around the center of the atom?,69,C
70,Aluminum containers can be melted and made into new products. How will recycling aluminum most likely benefit communities?,70,A
71,Small mammals have many adaptations that keep them warm in winter. Which would not help conserve heat?,71,C
72,Screech owls have two color variations-red and grey. What advantage does the grey screech owl have over the red screech owl in a habitat that is made up of trees with dark-colored bark?,72,B
73,A student is given a liquid compound in a beaker. Which of the following is the best way to describe this liquid compound?,73,D
74,The outer layers of astronauts' space suits are reflective in order to protect them from,74,B
75,Which equation is correctly balanced for hydrogen and oxygen reacting to form water?,75,D
76,Which of these occurs due to the rotation of Earth?,76,B
