year,temp
1880,-0.1
1881,-0.11
1882,-0.28
1883,-0.12
1884,-0.05
1885,-0.07
1886,-0.23
1887,-0.21
1888,-0.32
1889,-0.2
1890,-0.17
1891,-0.08
1892,0.03
1893,-0.14
1894,0.01
1895,-0.07
1896,-0.04
1897,0.16
1898,-0.09
1899,0.12
1900,0.05
1901,-0.21
1902,0.01
1903,-0.12
1904,0.12
1905,0.04
1906,-0.11
1907,-0.03
1908,-0.06
1909,0.15
1910,-0.01
1911,0.11
1912,0.05
1913,0.2
1914,0.03
1915,0.01
1916,0.08
1917,0.25
1918,0.11
1919,0.22
1920,0.28
1921,0.25
1922,0.09
1923,0.32
1924,0.06
1925,0.09
1926,0.25
1927,0.26
1928,0.3
1929,0.36
1930,0.21
1931,0.38
1932,0.35
1933,0.3
1934,0.54
1935,0.38
1936,0.31
1937,0.18
1938,0.31
1939,0.24
1940,0.28
1941,0.41
1942,0.2
1943,0.32
1944,0.4
1945,0.37
1946,0.45
1947,0.31
1948,0.18
1949,0.45
1950,0.42
1951,0.47
1952,0.65
1953,0.5
1954,0.61
1955,0.21
1956,0.27
1957,0.43
1958,0.38
1959,0.28
1960,0.32
1961,0.33
1962,0.49
1963,0.38
1964,0.46
1965,0.39
1966,0.51
1967,0.76
1968,0.36
1969,0.64
1970,0.55
1971,0.56
1972,0.46
1973,0.48
1974,0.66
1975,0.55
1976,0.62
1977,0.53
1978,0.37
1979,0.6
1980,0.67
1981,0.7
1982,0.67
1983,0.82
1984,0.53
1985,0.7
1986,0.92
1987,0.76
1988,0.65
1989,0.72
1990,0.62
1991,0.67
1992,0.6
1993,0.87
1994,0.65
1995,0.73
1996,1.1
1997,0.69
1998,0.92
1999,1.01
2000,0.81
2001,0.75
2002,1.03
2003,0.56
2004,0.93
2005,0.8
2006,0.77
2007,0.57
2008,0.87
2009,0.77
2010,0.9
2011,0.86
2012,0.88
2013,0.86
2014,0.9
2015,0.94
2016,0.91
2017,0.93
2018,0.81
2019,0.82
2020,0.93
2021,0.97
2022,0.92
2023,0.82
