pickup,dropoff,passengers,distance,fare,tip,tolls,total,color,payment,pickup_zone,dropoff_zone,pickup_borough,dropoff_borough
2019-03-14 03:31:00,2019-03-14 03:48:13,1,1.43,12.0,0.82,0.1,13.14,yellow,credit card,Lincoln Square East,Flatbush/Ditmas Park,Manhattan,Brooklyn
2019-03-26 02:13:41,2019-03-26 02:27:50,1,5.7,4.6,1.22,0.11,25.53,yellow,credit card,Clinton East,Carroll Gardens,Manhattan,Brooklyn
2019-03-30 12:37:41,2019-03-30 12:52:17,1,0.43,10.6,1.05,0.02,18.48,yellow,cash,Midtown Center,Woodhaven,Manhattan,Queens
2019-03-23 00:12:47,2019-03-23 00:27:43,1,1.21,8.4,3.51,0.28,17.96,yellow,credit card,Battery Park City,Astoria,Manhattan,Queens
2019-03-22 23:25:07,2019-03-22 23:40:28,1,1.83,2.2,0.11,0.12,11.51,yellow,cash,Lincoln Square East,East Harlem South,Manhattan,Manhattan
2019-03-09 09:53:37,2019-03-09 10:09:46,1,4.4,17.21,0.13,0.52,150.0,yellow,credit card,Belmont,Midtown East,Bronx,Manhattan
2019-03-23 12:58:42,2019-03-23 13:10:10,1,3.07,8.47,1.16,0.02,9.4,yellow,cash,Gramercy,East Harlem North,Manhattan,Manhattan
2019-03-21 05:53:50,2019-03-21 06:11:04,1,3.69,10.48,1.1,0.09,15.7,yellow,credit card,Central Park,Cypress Hills,Manhattan,Brooklyn
2019-03-06 12:43:06,2019-03-06 12:56:45,1,2.06,6.1,0.72,0.11,26.51,yellow,cash,Lincoln Square West,Homecrest,Manhattan,Brooklyn
2019-03-29 16:48:32,2019-03-29 17:00:37,1,14.67,12.7,1.75,1.15,28.79,yellow,credit card,Cambria Heights,Bath Beach,Queens,Brooklyn
2019-03-20 05:22:03,2019-03-20 05:37:40,2,0.27,4.5,4.45,0.12,14.37,yellow,cash,Murray Hill,Brooklyn Heights,Manhattan,Brooklyn
2019-03-29 20:50:30,2019-03-29 21:04:24,1,1.52,7.4,0.0,0.26,10.07,yellow,credit card,Penn Station/Madison Sq West,Lenox Hill East,Manhattan,Manhattan
2019-03-26 04:38:11,2019-03-26 04:53:25,1,1.81,7.3,4.84,0.0,8.32,yellow,cash,Lincoln Square East,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-10 12:36:31,2019-03-10 12:50:08,1,0.91,10.48,4.61,0.25,15.6,yellow,credit card,Garment District,Yorkville East,Manhattan,Manhattan
2019-03-30 05:10:54,2019-03-30 05:23:52,1,2.96,7.5,6.86,0.39,9.93,yellow,cash,Penn Station/Madison Sq West,Bloomingdale,Manhattan,Manhattan
2019-03-21 03:03:05,2019-03-21 03:16:56,1,3.61,26.15,9.54,0.76,65.0,yellow,credit card,LaGuardia Airport,Manhattan Valley,Queens,Manhattan
2019-03-31 07:13:23,2019-03-31 07:28:14,4,0.67,15.5,0.11,0.05,20.96,yellow,cash,Union Sq,Springfield Gardens South,Manhattan,Queens
2019-03-02 14:03:04,2019-03-02 14:18:37,1,0.95,5.0,4.02,0.75,31.6,yellow,credit card,Clinton East,Rosedale,Manhattan,Queens
2019-03-09 14:02:08,2019-03-09 14:16:15,1,1.95,13.0,0.58,0.17,20.29,yellow,cash,Prospect-Lefferts Gardens,Midtown South,Brooklyn,Manhattan
2019-03-01 17:24:06,2019-03-01 17:38:30,1,3.03,6.63,0.61,2.71,12.7,yellow,credit card,Sunnyside,Brooklyn Navy Yard,Queens,Brooklyn
2019-03-06 20:17:14,2019-03-06 20:32:13,6,0.4,4.7,2.65,0.31,11.58,yellow,cash,West Village,Bedford Park,Manhattan,Bronx
2019-03-26 00:05:16,2019-03-26 00:21:55,1,1.86,6.8,0.39,0.08,15.54,yellow,credit card,Greenwich Village South,Stuy Town/Peter Cooper Village,Manhattan,Manhattan
2019-03-06 02:02:05,2019-03-06 02:17:16,1,3.77,7.8,2.04,0.35,22.45,yellow,cash,Midtown South,Midwood,Manhattan,Brooklyn
2019-02-28 09:33:34,2019-02-28 09:47:11,1,7.06,9.6,0.18,0.01,17.61,yellow,credit card,Greenpoint,Mount Hope,Brooklyn,Bronx
2019-03-17 21:24:11,2019-03-17 21:37:59,1,3.12,4.7,2.16,0.04,9.31,yellow,cash,Penn Station/Madison Sq West,Queensboro Hill,Manhattan,Queens
2019-03-03 13:02:55,2019-03-03 13:16:36,1,9.45,16.8,0.12,0.02,18.09,yellow,credit card,Washington Heights South,Bedford Park,Manhattan,Bronx
2019-03-06 01:47:01,2019-03-06 02:01:29,1,1.48,7.9,4.92,0.04,14.81,yellow,cash,Union Sq,Jackson Heights,Manhattan,Queens
2019-03-09 19:22:07,2019-03-09 19:37:10,1,0.45,8.0,3.32,0.27,9.29,yellow,credit card,Seaport,Woodhaven,Manhattan,Queens
2019-03-15 08:09:12,2019-03-15 08:22:37,1,19.46,14.6,5.33,0.37,82.75,yellow,cash,Old Astoria,Fort Greene,Queens,Brooklyn
2019-03-10 08:08:27,2019-03-10 08:22:07,1,4.97,20.88,1.1,0.01,24.9,yellow,credit card,SoHo,University Heights/Morris Heights,Manhattan,Bronx
2019-03-23 06:14:57,2019-03-23 06:28:47,1,0.79,8.53,3.13,0.07,13.9,yellow,cash,East Village,Highbridge,Manhattan,Bronx
2019-03-09 22:13:48,2019-03-09 22:28:34,3,0.52,5.59,0.94,0.06,11.7,yellow,credit card,Midtown Center,East Harlem South,Manhattan,Manhattan
2019-03-31 08:14:05,2019-03-31 08:27:25,1,0.29,10.0,3.55,0.16,11.25,yellow,cash,UN/Turtle Bay South,Inwood Hill Park,Manhattan,Manhattan
2019-03-07 14:41:59,2019-03-07 14:56:37,1,2.59,8.7,0.53,0.01,36.22,yellow,credit card,Yorkville West,Manhattanville,Manhattan,Manhattan
2019-03-25 13:00:04,2019-03-25 13:12:03,1,14.09,6.0,3.21,0.03,22.59,yellow,cash,Midtown South,Claremont/Bathgate,Manhattan,Bronx
2019-03-07 18:32:35,2019-03-07 18:46:49,1,12.39,11.3,3.98,0.12,12.87,yellow,credit card,Yorkville West,Clinton Hill,Manhattan,Brooklyn
2019-03-11 12:27:43,2019-03-11 12:42:18,1,3.77,15.0,0.48,0.12,16.62,yellow,cash,Penn Station/Madison Sq West,Springfield Gardens South,Manhattan,Queens
2019-02-28 22:00:23,2019-02-28 22:13:58,2,5.2,10.33,4.06,0.05,24.7,yellow,credit card,East Village,Bedford Park,Manhattan,Bronx
2019-03-18 03:46:45,2019-03-18 04:00:08,0,12.82,6.2,5.07,0.28,7.26,yellow,cash,Midtown South,Kew Gardens,Manhattan,Queens
2019-02-28 00:21:19,2019-02-28 00:34:10,1,3.46,8.3,0.41,0.32,14.47,yellow,credit card,Yorkville West,Marble Hill,Manhattan,Manhattan
2019-03-02 07:03:24,2019-03-02 07:19:52,1,3.24,8.2,2.19,0.03,8.39,yellow,cash,East Village,Little Italy/NoLiTa,Manhattan,Manhattan
2019-03-13 15:40:13,2019-03-13 15:53:55,2,1.01,20.8,2.34,0.02,22.5,yellow,credit card,Sutton Place/Turtle Bay North,Roosevelt Island,Manhattan,Manhattan
2019-03-09 02:55:38,2019-03-09 03:10:48,2,0.26,5.1,1.57,0.11,17.06,yellow,cash,West Chelsea/Hudson Yards,UN/Turtle Bay South,Manhattan,Manhattan
2019-03-21 22:49:27,2019-03-21 23:04:42,1,1.14,9.9,0.13,0.29,23.81,yellow,credit card,Clinton West,Manhattan Valley,Manhattan,Manhattan
2019-03-17 01:14:52,2019-03-17 01:29:34,4,1.73,14.69,2.0,0.02,17.2,yellow,cash,Yorkville West,Norwood,Manhattan,Bronx
2019-03-27 17:39:50,2019-03-27 17:54:15,1,5.01,7.8,2.09,0.15,9.7,yellow,credit card,Gramercy,Jamaica,Manhattan,Queens
2019-03-29 05:54:53,2019-03-29 06:08:16,1,1.61,9.6,0.01,0.09,22.55,yellow,cash,Lenox Hill West,Allerton/Pelham Gardens,Manhattan,Bronx
2019-03-20 02:29:36,2019-03-20 02:43:26,5,0.02,6.02,6.7,0.33,12.95,yellow,credit card,East Harlem North,Cobble Hill,Manhattan,Brooklyn
2019-03-31 22:35:06,2019-03-31 22:49:10,2,15.57,11.6,0.85,2.54,11.86,yellow,cash,Elmhurst,Rego Park,Queens,Queens
2019-03-01 07:06:33,2019-03-01 07:20:38,1,3.01,4.8,0.05,0.15,26.04,yellow,credit card,East Harlem South,Queens Village,Manhattan,Queens
