Date,Extent
1980-01-01,8.85
1980-01-02,14.142
1980-01-03,9.815
1980-01-04,9.502
1980-01-05,5.952
1980-01-06,9.364
1980-01-07,6.376
1980-01-08,4.634
1980-01-09,12.632
1980-01-10,12.022
1980-01-11,10.505
1980-01-12,11.218
1980-01-13,11.575
1980-01-14,9.438
1980-01-15,14.084
1980-01-16,8.402
1980-01-17,3.753
1980-01-18,16.071
1980-01-19,14.801
1980-01-20,6.4
1980-01-21,12.122
1980-01-22,6.171
1980-01-23,6.419
1980-01-24,12.555
1980-01-25,11.674
1980-01-26,11.64
1980-01-27,11.388
1980-01-28,12.858
1980-01-29,11.717
1980-01-30,11.201
1980-01-31,9.613
1980-02-01,5.632
1980-02-02,11.252
1980-02-03,3.981
1980-02-04,13.301
1980-02-05,14.463
1980-02-06,5.536
1980-02-07,5.097
1980-02-08,10.298
1980-02-09,11.809
1980-02-10,8.209
1980-02-11,11.875
1980-02-12,5.143
1980-02-13,10.435
1980-02-14,11.509
1980-02-15,13.948
1980-02-16,4.638
1980-02-17,9.895
1980-02-18,10.744
1980-02-19,4.494
1980-02-20,13.829
1980-02-21,7.603
1980-02-22,7.25
1980-02-23,11.615
1980-02-24,5.858
1980-02-25,14.255
1980-02-26,14.566
1980-02-27,3.578
1980-02-28,9.355
1980-02-29,14.915
1980-03-01,10.014
1980-03-02,8.666
1980-03-03,4.341
1980-03-04,16.041
1980-03-05,12.498
1980-03-06,5.819
1980-03-07,6.873
1980-03-08,10.73
1980-03-09,8.971
1980-03-10,10.859
1980-03-11,10.264
1980-03-12,12.319
1980-03-13,10.487
1980-03-14,4.704
1980-03-15,12.858
1980-03-16,12.961
1980-03-17,12.411
1980-03-18,11.918
1980-03-19,3.939
1980-03-20,10.327
1980-03-21,5.039
1980-03-22,3.683
1980-03-23,14.779
1980-03-24,12.106
1980-03-25,10.687
1980-03-26,5.555
1980-03-27,15.697
1980-03-28,7.971
1980-03-29,9.218
1980-03-30,6.462
1980-03-31,14.856
1980-04-01,10.091
1980-04-02,14.32
1980-04-03,9.453
1980-04-04,4.735
1980-04-05,3.444
1980-04-06,8.639
1980-04-07,16.139
1980-04-08,4.351
1980-04-09,3.947
1980-04-10,10.699
1980-04-11,7.154
1980-04-12,15.271
1980-04-13,12.567
1980-04-14,7.699
1980-04-15,14.523
1980-04-16,15.818
1980-04-17,9.837
1980-04-18,14.781
1980-04-19,11.63
1980-04-20,10.513
1980-04-21,4.527
1980-04-22,9.822
1980-04-23,3.598
1980-04-24,14.604
1980-04-25,9.598
1980-04-26,10.985
1980-04-27,6.292
1980-04-28,11.859
1980-04-29,11.573
1980-04-30,6.178
1980-05-01,3.863
1980-05-02,3.438
1980-05-03,7.486
1980-05-04,10.376
1980-05-05,7.554
1980-05-06,9.442
1980-05-07,5.756
1980-05-08,3.45
1980-05-09,14.916
1980-05-10,13.615
1980-05-11,4.963
1980-05-12,12.324
1980-05-13,13.688
1980-05-14,11.526
1980-05-15,8.205
1980-05-16,10.522
1980-05-17,5.714
1980-05-18,15.656
1980-05-19,5.682
1980-05-20,8.848
1980-05-21,4.642
1980-05-22,15.563
1980-05-23,10.423
1980-05-24,10.665
1980-05-25,10.79
1980-05-26,6.215
1980-05-27,13.228
1980-05-28,7.972
1980-05-29,15.372
1980-05-30,13.626
1980-05-31,3.968
1980-06-01,9.149
1980-06-02,11.311
1980-06-03,11.161
1980-06-04,9.171
1980-06-05,10.529
1980-06-06,12.506
1980-06-07,13.726
1980-06-08,3.515
1980-06-09,9.111
1980-06-10,9.37
1980-06-11,10.143
1980-06-12,11.156
1980-06-13,5.663
1980-06-14,12.449
1980-06-15,11.174
1980-06-16,7.222
1980-06-17,7.741
1980-06-18,12.475
1980-06-19,6.822
1980-06-20,6.815
1980-06-21,3.464
1980-06-22,14.416
1980-06-23,7.387
1980-06-24,16.037
1980-06-25,14.9
1980-06-26,11.952
1980-06-27,4.674
1980-06-28,5.828
1980-06-29,5.178
1980-06-30,10.668
1980-07-01,5.085
1980-07-02,9.027
1980-07-03,16.198
1980-07-04,11.602
1980-07-05,7.937
1980-07-06,4.415
1980-07-07,16.335
1980-07-08,14.952
1980-07-09,8.382
1980-07-10,12.61
1980-07-11,4.949
1980-07-12,4.478
1980-07-13,10.076
1980-07-14,6.754
1980-07-15,11.676
1980-07-16,14.305
1980-07-17,6.451
1980-07-18,8.206
1980-07-19,4.921
1980-07-20,4.31
1980-07-21,14.943
1980-07-22,14.572
1980-07-23,10.887
1980-07-24,14.532
1980-07-25,6.924
1980-07-26,10.602
1980-07-27,4.775
1980-07-28,8.552
1980-07-29,7.715
1980-07-30,7.013
1980-07-31,14.685
1980-08-01,5.346
1980-08-02,3.792
1980-08-03,8.54
1980-08-04,11.873
1980-08-05,4.607
1980-08-06,12.15
1980-08-07,9.825
1980-08-08,4.181
1980-08-09,7.584
1980-08-10,9.275
1980-08-11,15.222
1980-08-12,11.048
1980-08-13,4.027
1980-08-14,4.495
1980-08-15,6.835
1980-08-16,11.349
1980-08-17,5.512
1980-08-18,13.772
1980-08-19,14.654
1980-08-20,12.051
1980-08-21,7.501
1980-08-22,6.975
1980-08-23,9.074
1980-08-24,12.792
1980-08-25,6.102
1980-08-26,10.006
1980-08-27,7.949
1980-08-28,12.358
1980-08-29,4.603
1980-08-30,9.67
1980-08-31,15.497
1980-09-01,14.301
1980-09-02,13.206
1980-09-03,3.694
1980-09-04,5.678
1980-09-05,14.515
1980-09-06,9.362
1980-09-07,5.399
1980-09-08,12.308
1980-09-09,11.409
1980-09-10,4.012
1980-09-11,5.049
1980-09-12,4.934
1980-09-13,9.43
1980-09-14,3.836
1980-09-15,14.955
1980-09-16,9.146
1980-09-17,7.32
1980-09-18,4.18
1980-09-19,7.79
1980-09-20,7.989
1980-09-21,10.062
1980-09-22,9.824
1980-09-23,15.768
1980-09-24,3.627
1980-09-25,5.352
1980-09-26,5.4
1980-09-27,13.029
1980-09-28,12.328
1980-09-29,3.67
1980-09-30,11.794
1980-10-01,11.558
1980-10-02,13.932
1980-10-03,14.723
1980-10-04,7.566
1980-10-05,5.801
1980-10-06,13.379
1980-10-07,8.678
1980-10-08,7.432
1980-10-09,4.732
1980-10-10,16.252
1980-10-11,9.406
1980-10-12,10.571
1980-10-13,13.293
1980-10-14,8.808
1980-10-15,8.845
1980-10-16,12.031
1980-10-17,6.421
1980-10-18,7.903
1980-10-19,12.164
1980-10-20,14.723
1980-10-21,13.623
1980-10-22,14.281
1980-10-23,11.545
1980-10-24,14.946
1980-10-25,15.075
1980-10-26,9.854
1980-10-27,14.429
1980-10-28,15.592
1980-10-29,4.262
1980-10-30,13.734
1980-10-31,14.971
1980-11-01,15.515
1980-11-02,11.183
1980-11-03,12.785
1980-11-04,4.66
1980-11-05,6.916
1980-11-06,10.662
1980-11-07,4.012
1980-11-08,15.272
1980-11-09,4.658
1980-11-10,3.375
1980-11-11,9.06
1980-11-12,14.021
1980-11-13,7.727
1980-11-14,8.481
1980-11-15,7.98
1980-11-16,5.567
1980-11-17,7.021
1980-11-18,6.925
1980-11-19,9.492
1980-11-20,6.656
1980-11-21,9.981
1980-11-22,4.015
1980-11-23,8.545
1980-11-24,5.22
1980-11-25,6.55
1980-11-26,3.849
1980-11-27,15.615
1980-11-28,7.937
1980-11-29,13.308
1980-11-30,8.597
1980-12-01,16.354
1980-12-02,15.382
1980-12-03,4.432
1980-12-04,7.062
1980-12-05,5.374
1980-12-06,3.452
1980-12-07,7.14
1980-12-08,14.448
1980-12-09,9.648
1980-12-10,12.644
1980-12-11,6.515
1980-12-12,11.867
1980-12-13,11.918
1980-12-14,7.025
1980-12-15,10.14
1980-12-16,7.991
1980-12-17,9.61
1980-12-18,3.801
1980-12-19,4.541
1980-12-20,15.699
1980-12-21,14.489
1980-12-22,11.347
1980-12-23,5.689
1980-12-24,4.904
1980-12-25,6.978
1980-12-26,11.217
1980-12-27,13.611
1980-12-28,3.527
1980-12-29,15.255
1980-12-30,9.658
1980-12-31,12.553
1981-01-01,6.972
1981-01-02,6.103
1981-01-03,10.567
1981-01-04,4.29
1981-01-05,3.476
1981-01-06,4.688
1981-01-07,10.263
1981-01-08,8.546
1981-01-09,10.241
1981-01-10,11.728
1981-01-11,5.202
1981-01-12,14.659
1981-01-13,14.91
1981-01-14,11.023
1981-01-15,7.145
1981-01-16,12.749
1981-01-17,4.423
1981-01-18,9.215
1981-01-19,4.814
1981-01-20,7.41
1981-01-21,15.437
1981-01-22,7.824
1981-01-23,7.284
1981-01-24,3.701
1981-01-25,6.584
1981-01-26,7.363
1981-01-27,11.963
1981-01-28,11.77
1981-01-29,13.128
1981-01-30,12.608
1981-01-31,12.563
1981-02-01,15.085
1981-02-02,3.525
1981-02-03,9.43
1981-02-04,5.531
1981-02-05,6.395
1981-02-06,9.62
1981-02-07,16.08
1981-02-08,6.599
1981-02-09,6.628
1981-02-10,6.808
1981-02-11,16.354
1981-02-12,12.095
1981-02-13,4.005
1981-02-14,9.426
1981-02-15,13.327
1981-02-16,4.15
1981-02-17,13.652
1981-02-18,7.484
1981-02-19,14.911
1981-02-20,8.584
1981-02-21,5.341
1981-02-22,10.132
1981-02-23,7.863
1981-02-24,3.876
1981-02-25,11.995
1981-02-26,5.777
1981-02-27,8.855
1981-02-28,15.365
1981-03-01,9.093
1981-03-02,5.548
1981-03-03,15.911
1981-03-04,8.376
1981-03-05,4.826
1981-03-06,7.055
1981-03-07,7.379
1981-03-08,10.283
1981-03-09,9.237
1981-03-10,3.464
1981-03-11,4.577
1981-03-12,15.739
1981-03-13,8.745
1981-03-14,15.916
1981-03-15,15.638
1981-03-16,9.971
1981-03-17,15.066
1981-03-18,14.324
1981-03-19,11.173
1981-03-20,13.209
1981-03-21,12.795
1981-03-22,7.059
1981-03-23,10.199
1981-03-24,15.071
1981-03-25,13.824
1981-03-26,4.243
1981-03-27,13.146
1981-03-28,16.315
1981-03-29,4.747
1981-03-30,4.817
1981-03-31,14.187
1981-04-01,8.084
1981-04-02,6.937
1981-04-03,13.825
1981-04-04,11.042
1981-04-05,7.353
1981-04-06,14.972
1981-04-07,3.756
1981-04-08,8.098
1981-04-09,14.815
1981-04-10,11.655
1981-04-11,6.814
1981-04-12,15.483
1981-04-13,8.096
1981-04-14,16.1
1981-04-15,8.762
1981-04-16,5.693
1981-04-17,12.19
1981-04-18,15.317
1981-04-19,9.177
1981-04-20,15.698
1981-04-21,5.444
1981-04-22,6.779
1981-04-23,9.172
1981-04-24,8.255
1981-04-25,7.523
1981-04-26,14.163
1981-04-27,15.123
1981-04-28,10.735
1981-04-29,10.526
1981-04-30,13.305
1981-05-01,6.541
1981-05-02,12.828
1981-05-03,9.378
1981-05-04,4.249
1981-05-05,13.367
1981-05-06,10.858
1981-05-07,7.664
1981-05-08,6.501
1981-05-09,3.788
1981-05-10,15.005
1981-05-11,10.979
1981-05-12,11.707
1981-05-13,12.96
1981-05-14,12.01
1981-05-15,10.168
1981-05-16,6.57
1981-05-17,15.558
1981-05-18,4.304
1981-05-19,11.515
1981-05-20,11.861
1981-05-21,6.471
1981-05-22,10.596
1981-05-23,9.817
1981-05-24,14.541
1981-05-25,14.223
1981-05-26,12.106
1981-05-27,15.658
1981-05-28,13.745
1981-05-29,16.001
1981-05-30,5.955
1981-05-31,14.246
1981-06-01,14.214
1981-06-02,11.938
1981-06-03,7.57
1981-06-04,5.878
1981-06-05,10.689
1981-06-06,13.318
1981-06-07,4.825
1981-06-08,9.674
1981-06-09,9.127
1981-06-10,11.145
1981-06-11,3.652
1981-06-12,8.87
1981-06-13,13.992
1981-06-14,12.162
1981-06-15,9.514
1981-06-16,4.371
1981-06-17,4.21
1981-06-18,14.549
1981-06-19,4.589
1981-06-20,11.166
1981-06-21,9.667
1981-06-22,16.22
1981-06-23,15.301
1981-06-24,9.724
1981-06-25,4.382
1981-06-26,8.099
1981-06-27,9.687
1981-06-28,10.052
1981-06-29,11.229
1981-06-30,16.102
1981-07-01,13.885
1981-07-02,3.982
1981-07-03,7.911
1981-07-04,14.985
1981-07-05,9.206
1981-07-06,6.994
1981-07-07,8.663
1981-07-08,14.546
1981-07-09,4.035
1981-07-10,5.432
1981-07-11,8.818
1981-07-12,14.436
1981-07-13,9.697
1981-07-14,3.722
1981-07-15,11.716
1981-07-16,11.369
1981-07-17,4.199
1981-07-18,11.813
1981-07-19,12.631
1981-07-20,16.361
1981-07-21,12.285
1981-07-22,4.631
1981-07-23,16.334
1981-07-24,14.205
1981-07-25,13.142
1981-07-26,9.494
1981-07-27,10.191
1981-07-28,8.661
1981-07-29,9.806
1981-07-30,9.868
1981-07-31,8.413
1981-08-01,13.357
1981-08-02,13.42
1981-08-03,13.642
1981-08-04,14.034
1981-08-05,14.578
1981-08-06,6.763
1981-08-07,4.696
1981-08-08,5.058
1981-08-09,9.794
1981-08-10,5.042
1981-08-11,3.655
1981-08-12,5.036
1981-08-13,15.668
1981-08-14,5.423
1981-08-15,15.809
1981-08-16,8.857
1981-08-17,6.913
1981-08-18,12.606
1981-08-19,12.364
1981-08-20,7.6
1981-08-21,5.669
1981-08-22,12.868
1981-08-23,10.738
1981-08-24,5.532
1981-08-25,10.13
1981-08-26,10.259
1981-08-27,9.611
1981-08-28,15.707
1981-08-29,6.93
1981-08-30,11.862
1981-08-31,9.352
1981-09-01,11.747
1981-09-02,6.328
1981-09-03,6.24
1981-09-04,15.417
1981-09-05,12.757
1981-09-06,10.735
1981-09-07,15.129
1981-09-08,7.022
1981-09-09,13.505
1981-09-10,8.668
1981-09-11,10.258
1981-09-12,9.513
1981-09-13,11.922
1981-09-14,3.983
1981-09-15,8.403
1981-09-16,10.162
1981-09-17,4.941
1981-09-18,14.887
1981-09-19,9.941
1981-09-20,6.874
1981-09-21,6.609
1981-09-22,4.966
1981-09-23,8.487
1981-09-24,12.419
1981-09-25,9.137
1981-09-26,6.97
1981-09-27,4.132
1981-09-28,8.067
1981-09-29,15.993
1981-09-30,8.396
1981-10-01,7.769
1981-10-02,5.562
1981-10-03,16.0
1981-10-04,6.058
1981-10-05,5.417
1981-10-06,4.585
1981-10-07,4.236
1981-10-08,4.437
1981-10-09,7.23
1981-10-10,10.204
1981-10-11,9.156
1981-10-12,15.089
1981-10-13,3.604
1981-10-14,12.832
1981-10-15,4.003
1981-10-16,15.109
1981-10-17,14.639
1981-10-18,5.536
1981-10-19,10.974
1981-10-20,7.393
1981-10-21,7.2
1981-10-22,14.194
1981-10-23,4.423
1981-10-24,5.284
1981-10-25,12.15
1981-10-26,13.08
1981-10-27,13.902
1981-10-28,15.35
1981-10-29,6.433
1981-10-30,5.855
1981-10-31,12.863
1981-11-01,12.149
1981-11-02,4.682
1981-11-03,12.791
1981-11-04,5.654
1981-11-05,4.549
1981-11-06,8.257
1981-11-07,5.194
1981-11-08,3.608
1981-11-09,7.913
1981-11-10,13.803
1981-11-11,15.428
1981-11-12,6.78
1981-11-13,13.684
1981-11-14,11.787
1981-11-15,7.967
1981-11-16,5.22
1981-11-17,3.636
1981-11-18,9.656
1981-11-19,7.639
1981-11-20,6.693
1981-11-21,11.167
1981-11-22,12.433
1981-11-23,6.479
1981-11-24,4.789
1981-11-25,11.352
1981-11-26,9.119
1981-11-27,10.935
1981-11-28,15.403
1981-11-29,12.581
1981-11-30,7.936
1981-12-01,11.683
1981-12-02,13.281
