sentence1,sentence2,label,idx
"Research workers of the German archaeological institute have discovered a mummy in permafrost at excavation work in Mongolia of approximately 2,500 years old.",The Gurkhas come from Nepal.,0,164
"Without a natural greenhouse effect, the temperature of the Earth would be about zero degrees F (-18C) instead of its present 57F (14C).",Mr Dean is the Secretary of Health and Human Services.,1,199
"The court in Angers handed down sentences ranging from four months suspended to 28 years for, among others, Philppe V., the key accused. The court found that he, along with his son Franck V. and Franck's former spouse, Patricia M., was one the instigators of a sex ring that abused 45 children, mostly in the couple's flat. The abuses of children aged between six months and 12 years took place in a poor and deprived area of the western french town of Angers. Many of the defendants were poor and lived on benefits and some were mentally impaired. About 20 of them admitted to the charges, while others claimed to have never heard of a sex ring.",The United Nations officialy transferred power to Iraq.,1,260
"A condition called ""social anxiety disorder"" this week joined the long list of downers in life - including obesity, impotence, depression and phobia - that Americans once commonly saw as challenges of willpower and character but can now have treated by popping a pill.",Mice fed with red wine lived longer despite a fatty diet.,1,34
"A number of the items that he auctioned off over the two day period have been seen on his reality TV show The Osbournes, which featured home life with Sharon, Ozzy and their two children. Amongst some of the higher-priced items were a carved walnut Victorian-style custom built pool table which raised $11,250, a painting from Edourad Drouot which fetched $10,500, a pair of Ozzy's famous round glasses which raised $5,250 and a dog bed given to Sharon by Elton John which sold for $2,375.",2.7 percent of the people infected with HIV live in Africa.,0,239
The investigation involving Mr Lopez and three associates are primarily concerned with suspicions of the systematic theft of secrets.,Proceeds go to Hepburn's family.,0,188
"Coextensive with the metropolitan district of Jakarta Raya, it lies at the mouth of the Ciliwung ( Liwung River ) on the northwest coast of Java.",Latif Khosa was in a relationship with Ms. Bhutto.,1,227
The extension of the effective period of marketing exclusivity for drugs is designed to give pharmaceutical companies a fair return.,Shares of Amazon fell 4 percent.,0,211
The witness then spotted Rodriguez crouching behind a gate for protection.,Mr Calderon is able to create a mass civil disobedience movement.,1,59
"Yachtsman Melvyn Percy became so fed up with the standard of service when preparing his boat for the 3000-mile Atlantic crossing that he decided to set up his own company on the Clyde to provide Scots sailors with professional advice and practical assistance. Minerva Rigging, based at Kip Marina just south of Gourock, now employs five full-time staff and is the Scottish agent for Kemp, one of Europe's leading yacht spar and mast manufacturers.",A case of rabies was confirmed.,1,33
"One of the dead was a child, passing by with his parents, said Iqrar Abbasi, a doctor at Civil Hospital Karachi.","Cyrillic is an alphabet used for certain Slavic languages, such as Russian.",0,180
"Today's best estimate of giant panda numbers in the wild is about 1,100 individuals living in up to 32 separate populations mostly in China's Sichuan Province, but also in Shaanxi and Gansu provinces.",African countries encourage keeping animals alive to attract tourists.,1,126
"A jury is slated to decide for the first time whether Jack Kevorkian, famed as ""Dr. Death,"" has violated Michigan's assisted-suicide ban, while the state continues to grapple with the issue of what to allow when the ill want to end their pain by ending their lives.",The actress Angela Lansbury is 86 years old.,1,77
"In 1865, John Wilkes Booth, the assassin of President Abraham Lincoln, was surrounded by federal troops near Bowling Green, Va., and killed.",Evans Paul is the mayor of Port-au-Prince.,1,198
"A light blue 1975 Ford Escort GL once owned by Pope John Paul II sold for $690,000 Saturday to a Houston multimillionaire who said he plans to put it in a museum he wants to build in his hometown.",Russians hold record for longest stay in space.,1,135
"The Tuesday drawing of the Italian Superenalotto game has awarded the biggest prize ever won in a betting game in Italy. The single winner of the first category prize (6 numbers guessed) will receive an amount, including the jackpot from previous un-won draws, of €72.090.405,19 (US$93 million.) The prize money will be received in full without further taxation, since taxes in prizes of that type are taken at a fixed rate by the Italian State from the money paid for the bet.",Huckaby is accused of killing Sandra Cantu.,1,26
"Though the exact date is debated, dogs are thought to have been domesticated by humans approximately 12,000 years ago.",Pennsylvania has the biggest Amish community in the U.S.,1,275
"The mistaken spelling, Miller explained, was made in a section of her notes unrelated to the interviews with Libby.  Other notes documented 3 interviews with Libby, conducted in the year 2003, that in her NYT column she wrote: June 23) ... Mr. Libby raised the subject of Mr. Wilson's wife for the first time. I wrote in my notes, inside parentheses, ""Wife works in bureau?"" I told Mr. Fitzgerald that I believed this was the first time I had been told that Mr. Wilson's wife might work for the C.I.A.",John Wilkes Booth killed President Abraham Lincoln.,0,247
"One of the dead was a child, passing by with his parents, said Iqrar Abbasi, a doctor at Civil Hospital Karachi.",New Portuguese prime minister is elected.,1,120
"Charles de Gaulle died in 1970 at the age of eighty. He was thus fifty years old when, as an unknown officer recently promoted to the (temporary) rank of brigadier general, he made his famous broadcast from London rejecting the capitulation of France to the Nazis after the debacle of May-June 1940.",Maternity leave varies in Europe.,0,237
The job gains mean that  President Bush can celebrate - albeit by a very fine margin - a net growth in jobs in the US economy in his first term in office.,Justice Carlos Valencia was killed in Medellin.,1,250
"The team drawing up Iraq's new constitution considered giving itself more time to write the document on Sunday, but still looked set to meet its mid-August deadline under intense U.S. pressure.",A robotic arm has been used for scientific discoveries.,1,82
The U.S. Army acceded to a request from the local governor to keep U.S. troops away from the Imam Ali Shrine in Najaf.,A Palestinian was killed and other people were wounded.,1,222
"""The professoressa is a bit tired,"" an adviser to Rita Levi-Montalcini warned me as I prepared to interview Italy's Nobel prize-winning Life Senator on the eve of her 100th birthday. ""Don't wear her out."" I arrive to find the professoressa, as she is universally known, in the dress shop below her office in Rome, in an elegant black dress buttoned to the neck and a gold brooch of her own design, white hair immaculately coiffed, examining the rails of clothes with close and lively attention.",Antonio Fazio is subordinate to Jean-Claude Trichet.,1,257
"Democrat members of the Ways and Means Committee, where tax bills are written and advanced, do not have strong small business voting records.",Wales to host 2010 Ryder Cup.,0,200
"Italian film-maker, Fellini was awarded an honorary Oscar for lifetime achievement. He died on October 31, 1993.",Haque wants to include English in some exams.,1,160
"In clashes between Israeli forces and gunmen, one Palestinian was killed and 10 wounded, hospital officials said.",Microsoft would spend 500 million dollars.,1,41
Thailand's official religion is Buddhism which claims the allegiance of most Thai people. Their cultural identity seems almost inseparably intertwined with Buddhist traditions. The people practice folk Buddhism which includes and elaborate system of spirit worship.,Drug legalization has benefits.,1,4
"Plans are being drawn up to build a £3.3m working replica of the boat that took Charles Darwin around the world at Milford Haven in Pembrokeshire. Fundraising for the project, which would mark the 200th anniversary of Darwin's birth in 2009, is under way. The aim is to built a seaworthy vessel identical to the HMS Beagle on the outside, but with a modern interior. Darwin, who showed how natural selection could explain evolution, sailed on the Beagle between 1831-36.",Security forces were on high alert after a campaign marred by violence.,0,161
"Wilson has, after all, produced all three Offspring albums, including ""Smash,"" the one that has astonished everybody by selling 1 million copies in four months, establishing the heretofore unknown group as the leader, with Green Day, of an unprecedented wave of commercial success for punk.",Qatar is located in Doha.,0,6
"Gabriel Garcia Marquez is the author of ""One Hundred Years of Solitude"", ""The Autumn of the Patriarch"" and other novels.",Qatar is located in Doha.,1,25
"Hurricane Katrina petroleum-supply outlook improved somewhat, yesterday, as U.S. and European governments agreed to release 2 million barrels a day, of oil and refined products, from their reserves.",1.5 million people were killed during the drought and famine devastation in 1974 in Bangladesh.,0,14
The official visit of the Argentine minister marks a further step in the normalisation of UK-Argentine relations.,The city hall is a museum now.,0,114
"About 33.5 million people live in this massive conurbation. I would guess that 95% of the 5,000 officially foreign-capital firms in Japan are based in Tokyo.",Superenalotto awarded a prize of more than 72 million euros.,0,190
"JERUSALEM (AP) -- In a spiritual climax to his 22-year papacy, Pope John Paul II on Tuesday began the first official visit by a Roman Catholic pontiff to Israel, fulfilling his dream of visiting the land where Christ was born and died.",Drummondville contains the girl.,0,100
"At around 14:00 UTC today, a man climbed over the perimeter fence and made his way onto the North runway, 27R, at London's  Heathrow Airport, the United Kingdom's largest airport. The man, who was carrying a rucksack, then attempted to run in front of a plane on the runway,  however it is believed that he was tackled to the ground by armed police before reaching the wide runway.",Procter and Gamble spends $1.8 billion for Research and Development.,1,149
"In New York, Nymex light crude oil for July delivery hit $42.38 per barrel on Tuesday",Blair is sorry for anyone who has lost their lives in Iraq.,1,164
New security steps taken by the Customs Service may not be enough to stop a terrorist from smuggling in nuclear weapons.,P. Prayong is a member of Theravada.,1,192
