id,question,choices,answerKey
1,"In the human body, cellular respiration breaks down sugar molecules after they enter the cell. What results from this process?",1,D
2,Ninety-nine percent of the mass of an atom is located in,2,C
3,"When a plant dies, it often decomposes and becomes part of the soil. This process is one step in which cycle?",3,C
4,Which is an example of a chemical reaction?,4,B
5,Most birds sit on their eggs until they hatch. Which of these is the most important reason why birds sit on their eggs?,5,D
6,"In a large forest with many animals, there are only a small number of bears. Which of these most likely limits the population of bears in the forest?",6,D
7,Which part of a plant is used to absorb sunlight during photosynthesis?,7,2
8,"In a lab investigation, a student notes that two metal blocks have the same mass. Based on this observation, if the two blocks were put on opposite sides of a balance, they would best represent",8,B
9,Which item is used for protection from chemical splashing?,9,C
10,Mount St. Helens was a cone-shaped mountain that formed when molten material reached the surface of Earth and formed layers. Cone-shaped mountains form as a result of which one of these events?,10,A
11,"A meeting of scientists, called a symposium, occurs every year to share recent research about the atmosphere of Earth. This symposium mainly serves which purpose in science?",11,B
12,A jet plane is moving at a constant velocity on a flat surface. Which forces act against the forward motion of the plane?,12,D
13,What product was being formed as plants died and sank to the bottom of swamps?,13,A
14,"What is the mass number of an atom with 17 protons, 17 electrons, and 18 neutrons?",14,C
15,"When a book is dropped onto a wooden desk, the molecules in the wood begin to vibrate from the force of the book. Which of these is produced by the vibrations?",15,D
16,The continuous changes of a seed to an adult plant that produces seeds is known as a,16,C
17,What carries oxygen throughout the body?,17,D
18,Which environmental factor would most likely prevent an orange tree from surviving in the desert?,18,B
19,The continental crust floats on top of the mantle because the crust is,19,C
20,Which activity is an example of a chemical change?,20,B
21,A jet plane is moving at a constant velocity on a flat surface. Which forces act against the forward motion of the plane?,21,C
22,The items listed below were found in a science classroom. * a heart made of plastic with many of its parts labeled * clay formed to look like Earth and other planets * a giant plastic plant cell with removable cell parts These items are all examples of,22,B
23,Which type of organism is at the lowest level of the food chain?,23,A
24,Which is the first step in a design process?,24,D
25,A student crumples up a sheet of paper. Which property of the paper has changed?,25,D
26,"When a large oak tree is cut down in a forest, it leaves a gap in the forest canopy which allows smaller trees to quickly grow in the available sunlight. Which interaction is best represented among the smaller trees?",26,B
27,A student wants to design an experiment regarding the behavior of crickets. Which is the best question to ask to begin the experiment?,27,A
28,Darwin's theory that animal species can change over time was inspired by his research on which set of islands?,28,2
29,Which term describes Earth's orbit around the Sun?,29,C
30,"Reading from left to right, elements in the same period on the Periodic Table of the Elements",30,C
31,Humans need food to grow and survive. Food that is not used immediately by the body for energy is,31,D
32,Which is the best example of a pure substance?,32,B
33,Which of the following statements applies to all states of matter?,33,B
34,"Which method below would be the best way to determine if an egg, plastic foam, a piece of wood, or a candle would float on water?",34,C
35,Which statement is true for all objects?,35,A
36,A student pours a clear liquid from a test tube into a beaker with a clear liquid already in it and notices that the mixture turns pink. The student infers the two clear liquids are different. This inference is a result of,36,C
37,A group of scientists predicts that Earth's oceans will be able to take up more carbon dioxide as atmospheric carbon dioxide levels increase and the atmosphere warms. Which of these statements about the solubility of gases in ocean water would lead you to question this prediction?,37,C
38,A mixture of powdered iron and sulfur is heated. What will be formed?,38,D
39,"When plants undergo photosynthesis, a reaction produces sugar, oxygen, and water. During respiration, stored energy from the products of photosynthesis is converted to usable energy. In what form is the energy stored prior to use in respiration?",39,2
40,Which of the following is a property of CO2 gas?,40,D
41,"Which of these particles, when found in soil, contributes most to the water retention in soil?",41,D
42,Which statement explains why light from the Sun can warm up water in a glass?,42,C
43,Where is most of the mass of the atom located?,43,A
44,Male barn swallow birds with symmetrically-shaped wings find mates more quickly than males with asymmetrical wing shapes. Which statement best explains the significance of symmetry in the barn swallow population?,44,B
45,The formation of diamonds requires tremendous pressure that is generated,45,D
46,"In an earthquake, the primary waves move through",46,2
47,"A student in an empty classroom shouts, ""Hello!"" Which best explains what the student hears after the shout?",47,B
48,A student wants to find the relationship between the diameter of several plastic disks and the circumference of each disk. Which of these types of graphs should be constructed to determine this relationship?,48,D
49,Which situation is the best example of ecological succession?,49,C
50,Which process causes the leaves of a plant to become larger?,50,B
51,How do the waxy stem covering and needle-shaped leaves improve the ability of a cactus to survive in the desert?,51,B
52,Some plant cells are coated in a waxy layer that prevents water loss. This specialization is found in which plant cells?,52,A
53,Different species of carnivorous animals that share the same habitat in an ecosystem may,53,B
54,"An agricultural scientist, George Washington Carver, is most famous for his research on",54,A
55,The average temperature of the surface of Earth has increased approximately 1°C in the past century. Which reason best explains this increase in temperature?,55,A
56,Which of these is a renewable resource found in Nevada?,56,B
57,Which sense is used to tell if there is sugar in a glass of tea?,57,C
58,The telephone was invented in Boston by,58,A
59,The bonding of oxygen to red blood cells is important to the body because it enables the body to,59,A
60,The scientific name for a giraffe is Giraffa camelopardalis. What two levels of classification does this name represent?,60,A
61,A scientist combines oxygen and hydrogen to form water. This combination illustrates that water is,61,D
62,The main source of food for a coyote population in one area is mice. Which is most likely to happen to these coyotes if a new predator begins eating the mice?,62,B
63,Which property of water can cause a rock to break apart?,63,B
64,Which object is nonliving?,64,B
65,Which animals are most likely to carry the seeds found in berries from the parent plant to another area?,65,D
66,A student is writing a report on volcanoes. What should the student include to best help explain how a volcano works?,66,B
67,Which characteristic is common to all reptile species?,67,A
68,Which statement describes all matter?,68,C
