carat,cut,color,clarity,depth,table,price,x,y,z
1.12,Premium,G,SI1,60.9,56.0,8632,6.39,4.92,3.34
0.23,Good,E,VVS1,60.0,59.0,1478,7.28,5.79,3.2
1.03,Ideal,I,SI1,62.4,53.9,3666,4.68,6.3,2.55
0.94,Good,I,VS2,63.1,57.0,326,4.6,4.77,2.84
0.26,Ideal,D,VS2,61.6,59.0,3732,3.35,5.39,4.03
0.32,Premium,H,VVS1,62.3,57.0,12876,6.41,5.05,3.57
0.32,Premium,I,SI2,61.7,58.0,891,8.5,4.39,3.95
0.66,Premium,D,SI1,61.4,58.0,983,6.16,7.21,3.29
0.83,Very Good,H,VS1,62.4,60.0,17729,5.3,7.46,3.19
1.18,Good,F,VS2,59.9,58.0,2090,4.78,7.19,4.64
1.34,Very Good,F,VVS2,61.5,54.0,757,6.73,5.6,3.55
1.92,Ideal,J,VS2,61.9,61.0,1247,2.94,3.14,4.16
0.34,Ideal,G,SI2,62.4,55.0,667,6.42,5.58,5.6
0.23,Ideal,F,SI1,66.3,56.0,3968,5.66,6.85,3.17
0.21,Ideal,H,IF,60.7,59.0,7617,6.03,7.0,3.76
0.47,Premium,F,SI1,60.9,58.0,1993,4.85,4.52,3.18
0.33,Premium,E,VS2,65.2,58.0,2830,4.8,5.39,3.1
0.78,Premium,J,VS2,62.4,57.0,1564,6.47,6.21,3.59
1.64,Good,F,VS1,62.6,57.0,1813,6.74,6.56,2.94
1.33,Premium,H,VS2,61.6,59.0,888,5.49,6.09,2.6
0.51,Premium,H,VS2,64.7,56.0,1277,6.26,4.9,3.53
0.51,Ideal,E,VVS2,57.1,57.0,3920,6.49,7.0,4.87
1.24,Good,E,SI1,63.7,56.0,1685,5.85,4.76,4.6
0.44,Premium,G,VS2,63.8,61.0,5573,5.46,5.5,4.5
0.8,Premium,I,SI1,59.7,58.0,1427,6.59,5.75,2.8
1.73,Good,H,SI1,62.0,59.0,3966,7.45,6.47,3.43
0.5,Very Good,G,VVS2,60.4,61.0,2594,7.83,3.99,3.05
1.06,Premium,D,SI1,66.2,59.0,1008,6.92,2.81,3.76
0.7,Very Good,E,VS1,59.7,59.0,4858,4.09,6.45,3.21
0.58,Premium,E,VVS2,60.0,59.0,1008,7.14,5.61,3.19
0.74,Premium,J,SI1,60.7,57.0,671,5.67,3.97,4.63
1.55,Very Good,I,VS2,59.4,56.0,8342,7.48,6.88,3.91
1.51,Very Good,D,SI1,63.1,58.0,3085,7.25,4.13,3.05
0.56,Ideal,F,VS2,64.2,59.0,2506,7.64,5.44,3.22
0.67,Ideal,D,VVS2,58.1,56.0,1837,7.45,4.51,3.8
0.32,Fair,D,SI1,64.4,56.0,457,6.23,6.27,2.76
0.28,Good,G,SI2,65.1,59.0,2151,4.74,3.29,4.11
0.66,Ideal,F,SI2,62.2,61.0,5511,5.29,5.24,4.06
0.87,Very Good,H,VS2,59.3,62.0,3863,5.85,4.84,4.86
0.8,Good,G,SI1,58.4,57.0,617,4.61,6.1,4.75
1.38,Good,J,SI2,62.0,64.0,3112,5.61,5.88,3.52
1.6,Premium,H,VS2,62.4,58.0,4850,5.6,5.47,3.16
0.94,Premium,G,VS2,61.8,57.0,5157,7.48,4.26,4.8
0.2,Very Good,F,SI2,60.5,55.0,1289,7.17,5.09,4.27
1.38,Very Good,F,SI1,61.7,53.0,2541,7.65,6.87,4.85
0.99,Good,F,VS1,60.0,57.0,1297,5.41,4.9,3.67
1.92,Ideal,I,VVS2,60.4,56.0,12602,5.33,6.1,4.23
1.66,Premium,F,SI2,64.7,55.0,4638,6.02,5.15,3.37
0.96,Premium,H,SI1,60.7,61.0,3404,5.16,7.27,1.77
1.76,Premium,G,VS1,63.5,63.4,2201,5.51,6.02,3.61
0.48,Very Good,D,SI1,62.7,57.0,1448,7.42,6.65,1.97
0.99,Good,I,VS2,65.6,61.0,5698,5.14,5.09,4.17
1.33,Very Good,H,VS1,61.5,58.0,12346,7.3,6.97,3.78
2.05,Very Good,I,SI1,65.0,59.0,3410,5.66,7.56,3.38
0.36,Premium,J,SI1,60.0,53.0,2537,6.39,8.43,4.34
1.46,Premium,I,VS2,68.7,56.0,1682,5.33,4.82,4.01
0.68,Very Good,I,SI2,63.1,61.0,3413,3.67,5.59,4.37
0.37,Premium,G,SI1,63.4,59.0,7211,6.28,5.01,3.85
0.3,Ideal,G,VVS1,60.8,55.0,3274,6.57,5.03,3.46
0.54,Fair,F,SI2,63.1,57.0,1256,7.38,7.44,2.48
0.47,Good,F,VS2,65.7,59.0,1518,5.25,7.1,4.79
