id,name,parent,size
1,AxisGridLine,195,276
2,heap,118,2422
3,Query,222,11706
4,filter,7,13211
5,LinkDistance,217,2434
6,mod,108,
7,TreeBuilder,113,
8,methods,206,1680
9,lte,182,1865
10,JSONConverter,134,8603
11,HierarchicalCluster,121,7366
12,ShapeRenderer,53,2863
13,OperatorSwitch,51,520
14,ISchedulable,84,
15,OperatorSwitch,152,712
16,IRenderer,219,8608
17,VisualizationEvent,38,2146
18,Scale,202,1585
19,And,88,987
20,Transition,120,4204
21,BinaryExpression,134,4295
22,Labeler,169,621
23,Interpolator,161,672
24,Match,86,264
25,Shapes,145,6863
26,OrdinalScale,200,1219
27,ScaleType,122,592
28,SpanningTree,48,1663
29,Sequence,137,1476
30,DataEvent,34,1610
31,Transitioner,72,7199
32,Query,204,9522
33,ExpandControl,78,
34,DateUtil,154,
35,IEvaluable,57,
36,NodeLinkTreeLayout,2,1794
37,axis,28,1244
38,average,147,2058
39,Colors,20,3055
40,StringUtil,102,7689
41,DataSet,197,279
42,ISchedulable,6,882
43,HeapNode,88,2427
44,physics,34,3799
45,update,43,5401
46,Distortion,197,6942
47,NumberInterpolator,14,1229
48,select,198,
49,TextSprite,221,24593
50,interpolate,63,5722
51,TreeBuilder,205,3198
52,ScaleType,224,3747
53,min,174,1124
54,distortion,118,3467
55,analytics,162,3272
56,NodeLinkTreeLayout,92,2177
57,IEvaluable,49,5333
58,data,110,4700
59,HeapNode,191,8517
60,SelectionControl,152,3667
61,IForce,90,4659
62,Strings,196,2266
63,SelectionEvent,154,1389
64,FlareVis,129,2269
65,Range,35,2540
66,SpanningTree,83,10956
67,NumberInterpolator,121,
68,operator,173,4344
69,BinaryExpression,157,4337
70,FlareVis,206,7894
71,xor,127,9324
72,ObjectInterpolator,183,2193
73,Count,84,3069
74,sum,71,518
75,Arithmetic,117,24593
76,MaxFlowMinCut,24,4571
77,Visualization,43,1539
78,and,170,1597
79,RectSprite,217,905
80,PanZoomControl,81,7248
81,TimeScale,145,10155
82,HoverControl,185,845
83,Displays,168,735
84,methods,161,2026
85,methods,31,559
86,ShapePalette,106,1272
87,ExpressionIterator,128,
88,distinct,24,296
89,Distortion,39,3945
90,DataSprite,108,2390
91,Encoder,16,2635
92,iff,90,3854
93,isa,43,3996
94,TooltipControl,88,3832
95,max,35,1198
96,optimization,157,
97,SelectionControl,3,
98,TooltipEvent,160,3353
99,Easing,136,12406
100,TooltipEvent,122,297
101,filter,70,14609
102,gte,52,
103,Axis,179,
104,BundledEdgeRouter,104,8366
105,stddev,42,6351
106,ShortestPaths,221,839
107,analytics,32,760
108,Maximum,207,4892
109,IcicleTreeLayout,76,264
110,PropertyEncoder,136,17515
111,RandomLayout,98,3968
112,IScaleMap,175,1870
113,LogScale,9,10453
114,Transition,227,3903
115,RadialTreeLayout,135,
116,Strings,189,3561
117,If,163,1306
118,Particle,100,3530
119,GravityForce,9,2894
120,Operator,45,1021
121,Scheduler,123,
122,OrdinalScale,13,18347
123,PropertyEncoder,152,1764
124,CartesianAxes,199,891
125,orderby,155,1588
126,ClickControl,142,5895
