method,number,orbital_period,mass,distance,year
Radial Velocity,1,610.0,,,2009
Radial Velocity,1,327.8,0.6,54.94,2010
Radial Velocity,2,2950.0,,52.83,2008
Transit,1,,,,2007
Radial Velocity,1,1001.7,,32.56,2005
Transit,1,4.2,,,2006
Radial Velocity,1,5144.0,3.53,42.99,2012
Transit,7,8.719375,,780.0,2013
Radial Velocity,1,606.4,,37.98,2009
Transit,5,3.6961219,,290.0,2011
Transit,1,3.57878087,,,2013
Microlensing,1,,,3600.0,2013
Radial Velocity,1,1183.0,,89.85,2002
Radial Velocity,1,3668.0,,,2006
Microlensing,1,,,4970.0,2013
Radial Velocity,1,6.276,1.9,58.82,2001
Radial Velocity,2,3.097,,47.92,1998
Radial Velocity,1,653.22,,33.46,2002
Radial Velocity,1,6.276,1.9,58.82,2001
Radial Velocity,1,1634.0,,38.26,2009
Radial Velocity,2,55.0,,,2004
Transit,1,2.7817387,,170.0,2012
Radial Velocity,1,442.1,,21.29,1998
Radial Velocity,3,4.215,0.016,8.52,2009
Radial Velocity,1,498.9,0.68,,2009
Imaging,1,7336.5,,,2009
Radial Velocity,1,16.2,1.25,223.21,2010
Transit,1,3.408821,,,2010
Radial Velocity,2,352.3,,52.72,2012
Imaging,1,,,140.0,2010
Radial Velocity,1,479.1,3.88,97.28,2008
Radial Velocity,1,10.7085,,29.76,1999
Microlensing,1,,,7560.0,2013
Transit,2,23.654,,,2013
Transit,5,27.4536,,,2014
Transit,3,5.859944,,,2012
Radial Velocity,1,323.6,,,2008
Radial Velocity,1,874.774,,,2008
Radial Velocity,1,,0.61,127.55,2007
Radial Velocity,1,5.0505,1.068,44.46,2013
Orbital Brightness Modulation,2,0.342887,,1180.0,2011
Transit,2,15.9654,,,2014
Transit,2,13.485,,,2012
Radial Velocity,1,436.9,1.8,150.38,2011
Radial Velocity,1,311.6,,115.21,2013
Radial Velocity,2,29.15,,,2011
Radial Velocity,6,4.3123,,12.83,2008
Radial Velocity,1,305.5,,92.51,2013
Radial Velocity,1,3638.0,,,2012
Radial Velocity,6,16.3567,,39.39,2010
Radial Velocity,2,9017.8,,44.8,2011
Radial Velocity,2,2732.0,2.37,,2012
Radial Velocity,1,696.3,10.7,99.4,2009
Radial Velocity,1,835.477,,,2009
Transit,2,44.347,,,2013
Radial Velocity,6,256.2,0.014,6.8,2013
Radial Velocity,1,18.20163,3.7,37.35,1999
Astrometry,1,246.36,,,2013
Radial Velocity,2,1046.0,,,2011
Transit,1,4.055259,,230.0,2011
Microlensing,1,,,,2008
Radial Velocity,2,789.0,,,2014
Transit,2,12.883,,,2012
Radial Velocity,1,10.7085,1.04,29.76,1999
Transit,1,3.92289,,480.0,2008
Radial Velocity,1,2.21857578,,,2005
Radial Velocity,1,4.9437,0.115,40.73,2002
Transit Timing Variations,2,22.3395,,339.0,2013
Transit,1,59.87756,,,2013
Transit,1,3.052401,,,2010
Imaging,1,6000.0,,19.28,2008
Transit,1,6.87349,,2700.0,2010
Radial Velocity,1,1634.0,14.2,38.26,2009
Transit,1,3.90512,,800.0,2010
Radial Velocity,1,5.118,,,2014
Transit,1,4.353011,,155.0,2009
Radial Velocity,1,181.4,3.2,,2013
Radial Velocity,1,528.4,,12.87,2003
Transit,5,18.16406,,,2013
Transit,2,12.3335,,1200.0,2011
Radial Velocity,1,5144.0,,42.99,2012
Transit,2,5.487,,,2013
Transit,1,3.446459,,303.0,2012
Radial Velocity,1,1038.1,1.9,54.23,2007
Radial Velocity,6,7.2004,,,2011
Radial Velocity,2,125.94,,20.1,2013
Transit,1,2.150008,,283.0,2011
Radial Velocity,1,55.806,0.186,20.82,2009
Transit,5,16.1457,,,2013
Radial Velocity,1,777.0,,53.28,2009
Transit,5,5.90124,,303.0,2011
Radial Velocity,1,835.477,,97.66,2009
Transit,1,4.942782,,,2011
Transit,1,3.0763776,,230.0,2008
Radial Velocity,1,1035.7,0.79,32.83,2011
Transit,1,2.204737,,320.0,2008
Transit,1,105.599,,600.0,2012
Radial Velocity,1,1244.0,,68.35,2009
Radial Velocity,1,989.2,,17.35,2006
Radial Velocity,1,1143.0,,28.88,2003
Radial Velocity,1,,,33.46,2002
Transit,1,1.54168,,,2014
Transit,5,27.4536,,,2014
Transit,1,59.87756,,,2013
Radial Velocity,1,6.495,0.96,121.07,2010
Radial Velocity,1,677.8,,,2007
Radial Velocity,1,6.495,,121.07,2010
Radial Velocity,1,471.6,,300.3,2005
Transit,1,3.257215,,395.0,2011
Radial Velocity,1,1057.0,,59.35,2008
Radial Velocity,2,3.097,0.52,47.92,1998
Transit,6,13.0241,,613.0,2010
Radial Velocity,1,388.0,,20.98,2005
Radial Velocity,1,993.3,10.3,73.1,2008
Transit,1,3.922727,,70.0,2010
Radial Velocity,3,8.631,,,2013
Transit,3,143.34394,,,2012
Transit,2,8.041,,,2013
Transit,1,4.1137912,,124.22,2012
Transit,1,4.3050011,,,2012
Microlensing,1,2780.0,,,2011
Radial Velocity,1,528.4,1.21,12.87,2003
Radial Velocity,2,360.2,2.37,56.5,2012
Radial Velocity,1,1294.0,2.1,26.52,2002
Transit,1,2.797436,,411.0,2011
Radial Velocity,1,3.416,,74.46,2004
Transit,1,,,,2009
Transit,1,1.33823187,,,2007
