Date,Price
1914-12-01,53.68
1914-12-31,64.3
1915-01-30,56.92
1915-03-01,56.97
1915-03-31,39.23
1915-04-30,58.85
1915-05-30,51.64
1915-06-29,49.54
1915-07-29,69.88
1915-08-28,73.74
1915-09-27,67.04
1915-10-27,70.34
1915-11-26,72.96
1915-12-26,69.02
1916-01-25,79.3
1916-02-24,69.82
1916-03-25,64.3
1916-04-24,86.71
1916-05-24,78.84
1916-06-23,71.1
1916-07-23,85.49
1916-08-22,71.6
1916-09-21,68.82
1916-10-21,93.81
1916-11-20,84.66
1916-12-20,90.27
1917-01-19,88.31
1917-02-18,96.5
1917-03-20,92.29
1917-04-19,90.85
1917-05-19,87.89
1917-06-18,70.69
1917-07-18,94.37
1917-08-17,79.9
1917-09-16,102.1
1917-10-16,103.57
1917-11-15,77.0
1917-12-15,84.64
1918-01-14,99.71
1918-02-13,107.97
1918-03-15,96.85
1918-04-14,107.97
1918-05-14,92.56
1918-06-13,105.38
1918-07-13,109.59
1918-08-12,118.2
1918-09-11,90.24
1918-10-11,108.11
1918-11-10,112.8
1918-12-10,102.72
1919-01-09,126.58
1919-02-08,105.5
1919-03-10,107.03
1919-04-09,117.52
1919-05-09,104.42
1919-06-08,130.2
1919-07-08,124.48
1919-08-07,103.44
1919-09-06,118.8
1919-10-06,139.66
1919-11-05,123.03
1919-12-05,121.98
1920-01-04,112.17
1920-02-03,151.87
1920-03-04,137.42
1920-04-03,115.5
1920-05-03,125.86
1920-06-02,134.95
1920-07-02,128.69
1920-08-01,135.49
1920-08-31,135.1
1920-09-30,149.82
1920-10-30,137.31
1920-11-29,122.15
1920-12-29,143.15
1921-01-28,149.76
1921-02-27,145.13
1921-03-29,146.35
1921-04-28,130.77
1921-05-28,145.18
1921-06-27,126.91
1921-07-27,140.65
1921-08-26,162.76
1921-09-25,156.02
1921-10-25,153.14
1921-11-24,125.94
1921-12-24,175.0
1922-01-23,147.82
1922-02-22,152.35
1922-03-24,146.92
1922-04-23,164.88
1922-05-23,158.48
1922-06-22,181.37
1922-07-22,159.34
1922-08-21,131.35
1922-09-20,170.59
1922-10-20,122.07
1922-11-19,131.7
1922-12-19,167.85
1923-01-18,157.17
1923-02-17,173.52
1923-03-19,171.81
1923-04-18,167.37
1923-05-18,174.57
1923-06-17,201.53
1923-07-17,173.39
1923-08-16,183.8
1923-09-15,181.48
1923-10-15,178.48
1923-11-14,155.18
1923-12-14,178.74
1924-01-13,145.08
1924-02-12,210.52
1924-03-13,181.84
1924-04-12,188.67
1924-05-12,176.49
1924-06-11,196.49
1924-07-11,190.64
1924-08-10,176.35
1924-09-09,169.07
1924-10-09,168.02
1924-11-08,184.49
1924-12-08,194.37
1925-01-07,183.9
1925-02-06,193.55
1925-03-08,181.97
1925-04-07,180.91
1925-05-07,220.84
1925-06-06,217.02
1925-07-06,196.75
1925-08-05,206.59
1925-09-04,207.75
1925-10-04,206.95
1925-11-03,199.02
1925-12-03,208.06
1926-01-02,196.48
1926-02-01,239.65
1926-03-03,196.32
1926-04-02,209.03
1926-05-02,192.07
1926-06-01,236.18
1926-07-01,215.04
1926-07-31,218.01
1926-08-30,218.09
1926-09-29,205.91
1926-10-29,228.13
1926-11-28,212.34
1926-12-28,225.49
1927-01-27,228.28
1927-02-26,212.69
1927-03-28,222.56
1927-04-27,227.64
1927-05-27,229.53
1927-06-26,224.8
1927-07-26,230.59
1927-08-25,243.15
1927-09-24,233.52
1927-10-24,213.36
1927-11-23,231.0
1927-12-23,232.91
1928-01-22,236.73
1928-02-21,238.94
1928-03-22,217.31
1928-04-21,250.73
1928-05-21,245.15
1928-06-20,237.79
1928-07-20,236.46
1928-08-19,251.26
1928-09-18,239.91
1928-10-18,232.22
1928-11-17,217.33
1928-12-17,267.16
1929-01-16,239.44
1929-02-15,255.98
1929-03-17,262.45
1929-04-16,257.19
1929-05-16,244.07
1929-06-15,247.12
1929-07-15,239.1
1929-08-14,258.07
1929-09-13,245.01
1929-10-13,257.15
1929-11-12,273.18
1929-12-12,263.34
1930-01-11,259.39
1930-02-10,247.34
1930-03-12,296.6
1930-04-11,296.56
1930-05-11,263.21
1930-06-10,278.36
1930-07-10,252.99
1930-08-09,261.08
1930-09-08,272.5
1930-10-08,263.49
1930-11-07,282.58
1930-12-07,287.71
1931-01-06,264.22
1931-02-05,273.62
1931-03-07,271.48
1931-04-06,238.01
1931-05-06,284.34
1931-06-05,301.08
1931-07-05,287.82
1931-08-04,316.59
1931-09-03,277.14
1931-10-03,289.19
1931-11-02,276.23
1931-12-02,284.93
1932-01-01,284.01
1932-01-31,274.31
1932-03-01,302.6
1932-03-31,275.01
1932-04-30,284.91
1932-05-30,288.72
1932-06-29,298.98
1932-07-29,284.76
1932-08-28,305.53
1932-09-27,299.83
1932-10-27,282.35
1932-11-26,294.0
1932-12-26,299.47
1933-01-25,332.91
1933-02-24,309.13
1933-03-26,284.34
1933-04-25,272.34
1933-05-25,298.99
1933-06-24,316.41
1933-07-24,297.58
1933-08-23,324.98
1933-09-22,330.65
1933-10-22,322.99
1933-11-21,307.36
1933-12-21,309.54
1934-01-20,315.73
1934-02-19,325.31
1934-03-21,311.63
1934-04-20,321.65
1934-05-20,315.7
1934-06-19,331.2
1934-07-19,295.58
1934-08-18,325.68
1934-09-17,356.03
1934-10-17,334.63
1934-11-16,345.85
1934-12-16,308.85
1935-01-15,312.4
1935-02-14,344.74
1935-03-16,332.17
1935-04-15,326.51
1935-05-15,343.4
1935-06-14,340.71
1935-07-14,320.07
1935-08-13,311.93
1935-09-12,324.45
1935-10-12,339.3
1935-11-11,329.05
1935-12-11,359.67
1936-01-10,342.22
1936-02-09,338.97
1936-03-10,337.69
1936-04-09,334.68
1936-05-09,344.84
1936-06-08,351.15
1936-07-08,351.69
1936-08-07,359.88
1936-09-06,347.3
1936-10-06,349.87
1936-11-05,346.7
1936-12-05,367.97
1937-01-04,365.33
1937-02-03,350.56
1937-03-05,367.27
1937-04-04,365.81
1937-05-04,379.8
1937-06-03,383.51
1937-07-03,358.58
1937-08-02,357.05
1937-09-01,393.78
1937-10-01,367.0
1937-10-31,361.75
1937-11-30,361.3
1937-12-30,401.49
1938-01-29,370.27
1938-02-28,377.4
1938-03-30,384.13
1938-04-29,374.01
1938-05-29,372.93
1938-06-28,386.98
1938-07-28,363.9
1938-08-27,372.24
1938-09-26,388.05
1938-10-26,404.93
1938-11-25,389.06
1938-12-25,401.96
1939-01-24,389.58
1939-02-23,401.82
1939-03-25,423.31
1939-04-24,390.12
1939-05-24,398.65
1939-06-23,404.49
1939-07-23,384.84
1939-08-22,413.78
1939-09-21,417.46
1939-10-21,406.56
1939-11-20,402.69
1939-12-20,408.92
1940-01-19,381.46
1940-02-18,391.03
1940-03-19,405.62
1940-04-18,378.42
1940-05-18,424.47
1940-06-17,374.61
1940-07-17,414.17
1940-08-16,401.25
1940-09-15,406.39
1940-10-15,403.09
1940-11-14,398.54
1940-12-14,405.52
1941-01-13,400.7
1941-02-12,414.41
1941-03-14,412.76
1941-04-13,417.45
1941-05-13,412.69
1941-06-12,418.28
1941-07-12,407.12
1941-08-11,412.41
1941-09-10,410.91
1941-10-10,444.36
1941-11-09,421.42
1941-12-09,435.35
1942-01-08,420.75
1942-02-07,471.23
1942-03-09,402.53
1942-04-08,422.11
1942-05-08,407.67
1942-06-07,417.36
1942-07-07,426.94
1942-08-06,439.58
1942-09-05,436.06
1942-10-05,448.6
1942-11-04,421.17
1942-12-04,451.81
1943-01-03,454.42
1943-02-02,438.02
1943-03-04,443.67
1943-04-03,440.12
1943-05-03,444.91
1943-06-02,431.36
1943-07-02,436.57
1943-08-01,463.63
1943-08-31,469.8
1943-09-30,454.2
1943-10-30,439.48
1943-11-29,447.99
1943-12-29,447.77
1944-01-28,456.76
1944-02-27,465.31
1944-03-28,413.58
1944-04-27,458.52
1944-05-27,469.35
1944-06-26,451.13
1944-07-26,457.27
1944-08-25,463.92
1944-09-24,449.43
1944-10-24,434.14
1944-11-23,450.05
1944-12-23,468.72
1945-01-22,466.32
1945-02-21,470.84
1945-03-23,478.47
1945-04-22,462.85
1945-05-22,496.98
1945-06-21,498.97
1945-07-21,481.62
1945-08-20,467.16
1945-09-19,486.34
1945-10-19,451.16
1945-11-18,479.33
1945-12-18,456.75
1946-01-17,469.72
1946-02-16,496.04
1946-03-18,474.16
1946-04-17,482.13
1946-05-17,467.33
1946-06-16,477.15
1946-07-16,483.75
1946-08-15,499.26
1946-09-14,500.84
1946-10-14,500.23
1946-11-13,501.88
1946-12-13,512.84
1947-01-12,509.2
1947-02-11,473.9
1947-03-13,496.54
