year,temp
1880,-0.18
1881,-0.09
1882,-0.16
1883,-0.16
1884,-0.32
1885,-0.15
1886,-0.21
1887,-0.24
1888,-0.05
1889,-0.02
1890,-0.08
1891,-0.06
1892,-0.03
1893,-0.07
1894,0.02
1895,-0.07
1896,-0.12
1897,0.08
1898,0.0
1899,-0.07
1900,0.06
1901,-0.07
1902,-0.1
1903,0.13
1904,0.04
1905,0.09
1906,0.07
1907,0.14
1908,0.1
1909,0.09
1910,0.06
1911,-0.1
1912,0.11
1913,-0.02
1914,0.18
1915,0.19
1916,-0.05
1917,0.01
1918,0.15
1919,0.22
1920,0.12
1921,0.22
1922,0.07
1923,0.19
1924,0.22
1925,0.3
1926,0.04
1927,0.2
1928,0.24
1929,0.15
1930,0.36
1931,0.17
1932,0.18
1933,0.27
1934,0.15
1935,0.39
1936,0.33
1937,0.14
1938,0.28
1939,0.46
1940,0.31
1941,0.3
1942,0.21
1943,0.56
1944,0.43
1945,0.23
1946,0.32
1947,0.4
1948,0.34
1949,0.4
1950,0.4
1951,0.53
1952,0.41
1953,0.27
1954,0.46
1955,0.52
1956,0.47
1957,0.48
1958,0.34
1959,0.47
1960,0.3
1961,0.42
1962,0.62
1963,0.55
1964,0.53
1965,0.28
1966,0.72
1967,0.47
1968,0.51
1969,0.46
1970,0.62
1971,0.56
1972,0.76
1973,0.56
1974,0.31
1975,0.66
1976,0.22
1977,0.3
1978,0.63
1979,0.53
1980,0.67
1981,0.66
1982,0.61
1983,0.68
1984,0.92
1985,0.66
1986,0.75
1987,0.73
1988,0.7
1989,0.49
1990,0.7
1991,0.39
1992,0.98
1993,0.72
1994,0.78
1995,0.67
1996,0.85
1997,0.79
1998,0.66
1999,0.59
2000,0.58
2001,0.73
2002,0.81
2003,0.72
2004,0.8
2005,0.69
2006,0.68
2007,1.04
2008,1.0
2009,0.82
2010,0.91
2011,0.91
2012,0.9
2013,0.83
2014,0.91
2015,0.8
2016,1.19
2017,0.8
2018,0.91
2019,0.75
2020,1.15
2021,0.96
2022,0.98
2023,0.98
