Date,CO2,adjusted CO2
1958-03-01,315.28,314.73
1958-03-31,313.88,314.19
1958-04-30,316.56,315.07
1958-05-30,316.59,314.73
1958-06-29,316.82,314.74
1958-07-29,314.24,315.81
1958-08-28,317.28,315.34
1958-09-27,316.85,315.57
1958-10-27,316.91,314.83
1958-11-26,315.11,315.4
1958-12-26,316.95,316.04
1959-01-25,315.99,315.68
1959-02-24,316.05,316.17
1959-03-26,316.62,315.9
1959-04-25,319.98,316.38
1959-05-25,318.49,316.46
1959-06-24,318.57,315.95
1959-07-24,316.68,316.77
1959-08-23,316.79,316.73
1959-09-22,318.44,316.68
1959-10-22,315.87,316.62
1959-11-21,318.33,317.06
1959-12-21,316.63,317.35
1960-01-20,320.45,317.03
1960-02-19,318.25,317.71
1960-03-20,319.26,317.98
1960-04-19,318.34,318.42
1960-05-19,319.82,317.83
1960-06-18,319.0,318.01
1960-07-18,320.37,318.08
1960-08-17,320.69,318.73
1960-09-16,320.3,318.69
1960-10-16,319.01,318.35
1960-11-15,317.87,319.1
1960-12-15,320.61,319.22
1961-01-14,320.44,318.98
1961-02-13,320.4,319.28
1961-03-15,319.92,319.41
1961-04-14,322.46,319.85
1961-05-14,320.03,320.17
1961-06-13,321.25,319.14
1961-07-13,321.87,319.75
1961-08-12,320.45,319.88
1961-09-11,320.91,319.77
1961-10-11,320.56,320.88
1961-11-10,321.84,320.18
1961-12-10,321.0,320.41
1962-01-09,320.84,320.26
1962-02-08,322.11,320.64
1962-03-10,320.42,321.4
1962-04-09,323.1,321.23
1962-05-09,321.3,320.99
1962-06-08,323.46,321.39
1962-07-08,319.71,321.23
1962-08-07,322.41,321.34
1962-09-06,322.0,321.7
1962-10-06,322.84,321.98
1962-11-05,324.59,321.67
1962-12-05,321.31,321.7
1963-01-04,324.7,322.49
1963-02-03,323.91,322.57
1963-03-05,323.18,322.4
1963-04-04,324.2,322.5
1963-05-04,323.89,322.71
1963-06-03,324.94,322.51
1963-07-03,324.35,322.19
1963-08-02,322.44,322.76
1963-09-01,323.65,323.63
1963-10-01,325.56,323.18
1963-10-31,324.45,323.19
