AK	2	0.198
AZ	4	0.133
AR	5	0.175
CA	6	0.151
CO	8	0.1
CT	9	0.125
DE	10	0.171
FL	12	0.172
GA	13	0.133
HI	15	0.108
ID	16	0.142
IL	17	0.167
IN	18	0.201
IA	19	0.175
KS	20	0.159
KY	21	0.169
LA	22	0.177
ME	23	0.141
MD	24	0.163
MA	25	0.117
MI	26	0.182
MN	27	0.153
MS	28	0.195
MO	29	0.189
MT	30	0.134
NE	31	0.163
NV	32	0.133
NH	33	0.151
NJ	34	0.145
NM	35	0.13
NY	36	0.139
NC	37	0.169
ND	38	0.164
OH	39	0.175
OK	40	0.135
OR	41	0.152
PA	42	0.169
RI	44	0.132
SC	45	0.167
SD	46	0.139
TN	47	0.184
TX	48	0.159
UT	49	0.14
VT	50	0.146
VA	51	0.157
WA	53	0.139
WV	54	0.183
WI	55	0.16
WY	56	0.143
