Los Angeles 	34.053717	-118.2427266
Chicago 	41.8755546	-87.6244212
Houston 	29.7589382	-95.3676974
Philadelphia 	39.952335	-75.163789
Phoenix 	33.4467681	-112.0756724
San Antonio 	29.4246002	-98.4951405
San Diego 	32.7174209	-117.1627714
Dallas 	32.7761963	-96.7968994
San Jose 	37.3438502	-121.8831349
Austin 	30.2711286	-97.7436995
Jacksonville 	30.3321838	-81.655651
Indianapolis  	39.7683331	-86.1583502
San Francisco 	37.7792768	-122.4192704
Columbus 	39.9622601	-83.0007065
Fort Worth 	32.753177	-97.3327459
Charlotte 	35.2270869	-80.8431268
Detroit 	42.3486635	-83.0567375
El Paso 	31.8111305	-106.5013493
Memphis 	35.1490215	-90.0516285
Boston 	42.3604823	-71.0595678
Seattle 	47.6038321	-122.3300624
Baltimore 	39.2908608	-76.6108073
Washington 	38.8949549	-77.0366456
Denver 	39.7391536	-104.9847034
Nashville-Davidson   	36.187025	-86.78086153
Louisville/Jefferson County   	38.209237	-85.7038502
Milwaukee 	43.0349931	-87.922497
Portland 	45.5202471	-122.6741949
Oklahoma City 	35.4729886	-97.5170536
Las Vegas 	36.1662859	-115.149225
Albuquerque 	35.0841034	-106.6509851
Tucson 	32.2217422	-110.9264759
Fresno 	36.7394421	-119.7848307
Sacramento 	38.5815719	-121.4943996
Long Beach 	33.7774658	-118.1884871
Kansas City 	39.0844687	-94.5630298
Mesa 	33.436188	-111.5860661
Virginia Beach 	36.7953025	-76.05092502
Atlanta 	33.7490987	-84.3901849
Omaha 	41.2587317	-95.9378732
Colorado Springs 	38.8339578	-104.8253485
Raleigh 	35.7804015	-78.6390779
Miami 	25.7742658	-80.1936589
Oakland 	37.8044557	-122.2713563
Tulsa 	36.1556805	-95.9929113
Cleveland 	41.5051613	-81.6934446
Minneapolis 	44.9772995	-93.2654692
Wichita 	37.6922361	-97.3375448
Arlington 	32.7355816	-97.1071186
New Orleans 	29.9499323	-90.0701156
Bakersfield 	35.3738712	-119.0194639
Tampa 	27.9477595	-82.458444
Anaheim 	33.8347516	-117.911732
Santa Ana 	33.7499595	-117.8732826
St. Louis 	38.6272733	-90.1978889
Riverside 	33.9533546	-117.3961623
Corpus Christi 	27.8002542	-97.3955744
Pittsburgh 	40.4416941	-79.9900861
Lexington-Fayette urban county	38.0464066	-84.4970393
Cincinnati 	39.1014537	-84.5124602
Stockton 	37.9577016	-121.2907796
St. Paul 	44.9504037	-93.1015026
Toledo 	41.6786754	-83.5127283
Newark 	40.735657	-74.1723667
Greensboro 	36.0726355	-79.7919754
Plano 	33.0136764	-96.6925096
Lincoln 	40.8000554	-96.6674005
Buffalo 	42.8864468	-78.8783689
Henderson 	40.8156124	-90.9104547
Fort Wayne 	41.0799898	-85.1386015
Jersey City 	40.7281575	-74.0776417
Chula Vista 	32.6400541	-117.0841955
St. Petersburg 	27.7703796	-82.6695085
Orlando 	28.5421175	-81.3790462
Laredo 	27.5060991	-99.5088979
Chandler 	33.3067132	-111.8408489
Madison 	43.074761	-89.3837613
Lubbock 	33.5778631	-101.8551665
Winston-Salem 	36.0998167	-80.2441445
Hialeah 	25.8670435	-80.29146312
Garland 	32.912624	-96.6388833
Baton Rouge 	30.4507462	-91.154551
Glendale 	34.1423455	-118.2483671
Chesapeake 	36.8190369	-76.2749399
Irvine 	33.6856969	-117.8259819
Irving 	32.8629195	-96.97917017
Scottsdale 	33.5091215	-111.8992365
North Las Vegas 	36.2008371	-115.1120958
Fremont 	37.5482697	-121.9885719
Gilbert 	33.294207	-111.7379465
San Bernardino 	34.1083449	-117.2897652
Rochester 	43.1854754	-77.61068605
Boise City 	43.5988375	-116.243255
Spokane 	47.6588603	-117.4247134
Montgomery 	32.3669656	-86.3006485
Richmond 	37.5385087	-77.43428
Des Moines 	41.5910641	-93.6037149
Modesto 	37.6390972	-120.9968782
Shreveport 	32.4828485	-93.82848316
Fayetteville 	36.111508	-94.20986672
Oxnard 	34.1975048	-119.1770516
Tacoma 	47.2495798	-122.4398746
Fontana 	34.0922335	-117.435048
Akron 	41.0830643	-81.5184854
Yonkers 	40.9312099	-73.8987469
Moreno Valley 	33.937517	-117.2305944
Little Rock 	34.7464809	-92.2895948
Mobile 	30.6943566	-88.0430541
Amarillo 	35.2072185	-101.8338246
Huntington Beach 	33.6781238	-118.0000112
Grand Rapids 	42.9632405	-85.6678639
Salt Lake City 	40.7670126	-111.8904308
Tallahassee 	30.4380832	-84.2809332
Huntsville 	34.577718	-86.83583561
Knoxville 	35.9603948	-83.9210261
Newport News 	37.016827	-76.4505196
Grand Prairie 	32.7459645	-96.9977846
Brownsville 	25.9140256	-97.4890856
Providence 	41.8239891	-71.4128343
Santa Clarita 	34.3916641	-118.542586
Overland Park 	38.9822282	-94.6707917
Jackson 	32.2990384	-90.1847691
Garden Grove 	33.7746292	-117.9463717
Chattanooga 	35.0456297	-85.3096801
Oceanside 	33.1958696	-117.3794834
Fort Lauderdale 	26.1223084	-80.1433786
Rancho Cucamonga 	34.1063989	-117.5931084
Port St. Lucie 	27.2939333	-80.3503283
Tempe 	33.4144139	-111.9094474
Springfield 	39.7989763	-89.6443688
Lancaster 	40.03813	-76.3056686
Cape Coral 	26.6069232	-81.9802626
Pembroke Pines 	26.02322025	-80.34123892
Eugene 	44.0505054	-123.0950506
Sioux Falls 	43.5499749	-96.700327
Peoria 	40.6938609	-89.5891008
Salem 	44.9391565	-123.033121
Elk Grove 	38.4087993	-121.3716178
Macon-Bibb County	32.8406946	-83.6324022
Corona 	40.7469593	-73.8601456
Palmdale 	34.5793131	-118.1171108
Salinas 	36.6777078	-121.6560114
Rockford 	42.2713945	-89.093966
Pasadena 	34.1476452	-118.1444779
