Species,Island,Beak Length (mm),Beak Depth (mm),Flipper Length (mm),Body Mass (g),Sex
Adelie,Biscoe,33.1,16.1,205,3215,MALE
Adelie,Torgersen,40.6,18.6,220,3846,MALE
Adelie,Dream,38.9,16.0,193,3836,FEMALE
Adelie,Biscoe,37.6,18.5,224,3415,MALE
Adelie,Biscoe,40.2,18.9,183,3735,MALE
Adelie,Biscoe,36.3,19.1,191,4575,FEMALE
Adelie,Dream,35.7,18.9,182,4530,MALE
Adelie,Dream,42.0,20.0,222,3562,FEMALE
Adelie,Biscoe,35.0,18.4,203,3322,FEMALE
Adelie,Dream,37.3,18.6,195,4260,MALE
Adelie,Torgersen,37.9,17.0,218,2909,
Adelie,Dream,35.9,18.6,217,4546,FEMALE
Adelie,Dream,37.6,18.4,204,3595,MALE
Adelie,Biscoe,40.8,17.0,206,4010,MALE
Adelie,Torgersen,40.6,17.6,228,3618,MALE
Adelie,Dream,38.7,21.2,211,3649,FEMALE
Adelie,Dream,41.5,19.1,192,3334,MALE
Adelie,Biscoe,38.1,18.0,231,4164,MALE
Adelie,Biscoe,40.5,17.0,205,3514,FEMALE
Adelie,Torgersen,41.1,17.0,186,3716,MALE
Adelie,Biscoe,33.5,17.0,180,2700,MALE
Adelie,Biscoe,34.4,18.5,204,3159,MALE
Adelie,Biscoe,36.4,18.7,186,3505,MALE
Adelie,Torgersen,40.8,21.2,200,3442,MALE
Adelie,Biscoe,37.8,16.6,187,3988,FEMALE
Adelie,Torgersen,39.2,18.0,203,3596,FEMALE
Adelie,Dream,35.2,18.6,209,3983,FEMALE
Adelie,Torgersen,37.0,19.5,196,4252,FEMALE
Adelie,Dream,38.2,18.6,211,3751,FEMALE
Adelie,Torgersen,36.0,17.1,207,5222,MALE
Adelie,Torgersen,36.7,19.1,198,4385,FEMALE
Adelie,Torgersen,38.9,17.2,213,3799,FEMALE
Adelie,Biscoe,38.1,17.9,186,3753,MALE
Adelie,Dream,41.1,17.1,219,2948,MALE
Adelie,Biscoe,36.9,18.9,194,3774,FEMALE
Adelie,Torgersen,42.9,20.7,221,3767,MALE
Adelie,Torgersen,39.3,20.7,198,3616,FEMALE
Adelie,Dream,38.6,21.1,214,4304,MALE
Adelie,Torgersen,38.6,17.7,210,3053,FEMALE
Adelie,Dream,36.8,18.9,200,3571,MALE
Adelie,Biscoe,35.5,20.5,186,3893,MALE
Adelie,Dream,40.6,19.2,196,3449,FEMALE
Adelie,Torgersen,40.3,17.8,203,3576,MALE
Adelie,Dream,38.6,21.1,172,2973,MALE
Adelie,Dream,39.7,16.7,204,3806,MALE
Adelie,Dream,41.1,18.0,226,4426,MALE
Adelie,Torgersen,40.2,17.6,224,3839,MALE
Adelie,Biscoe,41.1,19.5,194,4367,MALE
Adelie,Torgersen,36.5,16.8,188,3140,FEMALE
Adelie,Dream,39.7,19.2,226,3901,FEMALE
Adelie,Biscoe,38.2,19.0,213,4342,MALE
Adelie,Biscoe,43.1,18.5,197,3179,FEMALE
Adelie,Torgersen,40.7,17.1,200,4024,MALE
Adelie,Dream,42.8,21.1,208,4137,FEMALE
Adelie,Torgersen,42.1,17.8,228,4594,MALE
Adelie,Torgersen,40.6,18.8,216,3393,FEMALE
Adelie,Torgersen,39.5,17.5,226,4911,FEMALE
Adelie,Dream,42.2,18.6,191,3468,MALE
Adelie,Biscoe,37.2,19.7,181,3490,MALE
Adelie,Torgersen,36.6,19.0,196,3510,MALE
Adelie,Dream,41.0,17.9,223,2840,FEMALE
Adelie,Torgersen,37.8,17.0,198,3711,FEMALE
Adelie,Dream,45.8,19.4,197,2957,FEMALE
