pickup,dropoff,passengers,distance,fare,tip,tolls,total,color,payment,pickup_zone,dropoff_zone,pickup_borough,dropoff_borough
2019-03-05 21:54:07,2019-03-05 22:08:29,5,4.65,6.47,0.63,0.05,9.5,yellow,credit card,Lincoln Square West,Brownsville,Manhattan,Brooklyn
2019-02-28 06:56:03,2019-02-28 07:09:15,1,3.8,8.8,2.0,0.19,13.9,yellow,credit card,Midtown East,Greenwich Village North,Manhattan,Manhattan
2019-03-08 11:34:37,2019-03-08 11:49:16,1,2.91,17.1,0.65,0.03,40.42,yellow,cash,Midtown South,Oakland Gardens,Manhattan,Queens
2019-03-23 00:49:38,2019-03-23 01:02:07,1,12.38,3.3,0.07,0.07,14.28,yellow,credit card,Penn Station/Madison Sq West,Midwood,Manhattan,Brooklyn
2019-03-10 04:57:19,2019-03-10 05:11:30,1,3.53,18.03,11.6,0.81,23.14,yellow,cash,Jackson Heights,Queensboro Hill,Queens,Queens
2019-03-26 13:00:59,2019-03-26 13:14:16,5,14.0,12.29,0.09,0.26,21.6,yellow,credit card,Williamsbridge/Olinville,Melrose South,Bronx,Bronx
2019-03-31 08:01:43,2019-03-31 08:15:57,1,1.58,3.9,0.66,0.44,7.19,yellow,cash,Union Sq,Bath Beach,Manhattan,Brooklyn
2019-02-28 23:40:53,2019-02-28 23:56:50,5,0.98,4.5,0.3,0.06,22.01,yellow,credit card,Central Park,Claremont/Bathgate,Manhattan,Bronx
2019-03-15 11:22:16,2019-03-15 11:36:37,5,6.98,8.9,0.87,1.3,48.26,yellow,cash,Woodside,Stapleton,Queens,Staten Island
2019-03-14 21:18:28,2019-03-14 21:32:47,2,0.44,7.86,7.8,0.04,15.15,yellow,credit card,Penn Station/Madison Sq West,Spuyten Duyvil/Kingsbridge,Manhattan,Bronx
2019-03-02 23:05:29,2019-03-02 23:21:18,0,5.46,3.22,0.02,0.0,7.4,yellow,cash,Williamsburg (South Side),Crotona Park East,Brooklyn,Bronx
2019-03-31 08:08:13,2019-03-31 08:21:12,1,0.11,3.6,1.06,3.08,49.25,yellow,credit card,JFK Airport,Brownsville,Queens,Brooklyn
2019-03-25 15:21:47,2019-03-25 15:34:12,1,1.21,11.8,1.08,0.0,22.63,yellow,cash,Lenox Hill East,Cypress Hills,Manhattan,Brooklyn
2019-03-23 22:21:58,2019-03-23 22:34:38,1,0.35,13.35,0.89,0.39,16.5,yellow,credit card,East Chelsea,Bronxdale,Manhattan,Bronx
2019-03-05 07:04:42,2019-03-05 07:17:38,2,2.98,7.0,0.38,0.07,11.97,yellow,cash,Lincoln Square East,Murray Hill-Queens,Manhattan,Queens
2019-03-30 08:52:02,2019-03-30 09:06:27,1,0.14,6.1,0.04,0.61,14.81,yellow,credit card,East Flatbush/Remsen Village,Sheepshead Bay,Brooklyn,Brooklyn
2019-03-01 18:34:48,2019-03-01 18:48:04,1,8.15,15.4,1.54,0.17,17.25,yellow,cash,Union Sq,Rosedale,Manhattan,Queens
