state,id,population,engineers,hurricanes
Connecticut,1,2646955,0.005896906,10
Rhode Island,2,17821084,0.004581485,9
Massachusetts,3,10491791,0.010230808,10
Pennsylvania,4,2808284,0.004237253,1
Nevada,5,6845530,0.002037375,0
Iowa,6,4335268,0.003716472,0
Washington,7,8975500,0.010710757,0
Arizona,8,39250017,0.004774154,0
North Carolina,9,2836573,0.004226953,46
Tennessee,10,1996816,0.002375513,0
South Dakota,11,1319456,0.003085086,0
Oklahoma,12,3082766,0.002286188,0
Hawaii,13,911646,0.001624016,0
Wyoming,14,8330703,0.001007684,0
Oregon,15,1352182,0.005457479,0
Alaska,16,856016,0.001590524,0
Idaho,17,1628523,0.002970638,0
Nebraska,18,1628827,0.005621053,0
Kentucky,19,6358104,0.002089262,0
South Carolina,20,14195170,0.002084207,31
Virginia,21,6923202,0.008595061,12
Puerto Rico,22,2433465,0.000773897,0
Louisiana,23,3212581,0.001176931,49
Minnesota,24,39250017,0.006193894,0
Alabama,25,2695012,0.003421545,22
District of Columbia,26,17226289,0.011759179,0
Kansas,27,5301094,0.003811111,0
Montana,28,750517,0.002139048,0
Colorado,29,23040366,0.008087652,0
New Jersey,30,5183828,0.007724327,2
Indiana,31,3313797,0.002724236,0
West Virginia,32,14042247,0.00128338,0
North Dakota,33,7097711,0.003403909,0
Arkansas,34,2834066,0.002439557,0
New York,35,2112060,0.004941432,12
Maine,36,1695301,0.002290686,6
Delaware,37,6412574,0.004989155,2
Illinois,38,5472766,0.004478368,0
Georgia,39,6050393,0.004939686,20
Mississippi,40,3503438,0.000933508,15
New Mexico,41,845873,0.001883696,0
Utah,42,2022065,0.006440053,0
Maryland,43,585501,0.006291088,2
Wisconsin,44,4501027,0.004821147,0
Ohio,45,6751139,0.004095787,0
Texas,46,3616989,0.004320129,59
New Hampshire,47,6917128,0.00633056,2
Florida,48,1619569,0.003299949,110
Michigan,49,1926176,0.003876797,0
Vermont,50,1594621,0.004643016,0
Missouri,51,12538349,0.004413261,0
California,52,5838278,0.007125857,0
