year,temp
1880,-0.23
1881,-0.37
1882,-0.05
1883,-0.21
1884,0.04
1885,-0.05
1886,0.0
1887,-0.02
1888,-0.2
1889,-0.06
1890,-0.22
1891,-0.15
1892,-0.19
1893,-0.16
1894,-0.04
1895,-0.11
1896,-0.17
1897,-0.04
1898,0.13
1899,0.04
1900,-0.24
1901,0.18
1902,0.01
1903,0.04
1904,-0.0
1905,-0.14
1906,0.07
1907,-0.25
1908,-0.04
1909,0.02
1910,0.18
1911,0.14
1912,0.15
1913,0.06
1914,-0.1
1915,0.01
1916,0.21
1917,0.08
1918,0.15
1919,0.07
1920,0.35
1921,0.06
1922,0.22
1923,-0.11
1924,0.02
1925,0.12
1926,0.27
1927,0.21
1928,0.23
1929,0.37
1930,0.23
1931,0.32
1932,0.2
1933,0.17
1934,0.39
1935,0.11
1936,0.22
1937,0.32
1938,0.37
1939,0.06
1940,0.17
1941,0.41
1942,0.31
1943,0.37
1944,0.47
1945,0.23
1946,0.46
1947,0.21
1948,0.33
1949,0.42
1950,0.3
1951,0.3
1952,0.43
1953,0.51
1954,0.41
1955,0.31
1956,0.31
1957,0.21
1958,0.42
1959,0.49
1960,0.36
1961,0.48
1962,0.39
1963,0.22
1964,0.59
1965,0.5
1966,0.4
1967,0.49
1968,0.51
1969,0.44
1970,0.53
1971,0.59
1972,0.62
1973,0.66
1974,0.66
1975,0.57
1976,0.81
1977,0.48
1978,0.58
1979,0.49
1980,0.63
1981,0.67
1982,0.58
1983,0.84
1984,0.8
1985,0.5
1986,0.67
1987,0.73
1988,0.68
1989,0.79
1990,0.67
1991,0.55
1992,0.59
1993,0.65
1994,0.6
1995,0.69
1996,0.8
1997,0.61
1998,0.77
1999,0.85
2000,0.72
2001,0.79
2002,0.62
2003,0.9
2004,0.96
2005,0.96
2006,0.8
2007,0.78
2008,0.64
2009,0.61
2010,1.05
2011,0.81
2012,0.76
2013,0.88
2014,1.01
2015,0.7
2016,0.93
2017,0.94
2018,0.97
2019,1.04
2020,0.84
2021,0.88
2022,0.9
2023,1.08
