sentence1,sentence2,label,idx
"Toll , Australia 's second-largest transport company , last week offered NZ75 a share for Tranz Rail .",Only in the past few weeks have officials settled on the 20 percent figure .,0,904
"Spansion products are to be available from both AMD and Fujitsu , AMD said .",Rowland was making an appearance at a holiday party for families of Connecticut National Guard soldiers assigned to duty in Iraq and Afghanistan .,1,462
Sources who knew of the bidding said last week that cable TV company Comcast Corp. was also looking at VUE .,"No matter who becomes the sponsor for stock-car racings top series , NASCAR will need an all-star event , Wheeler said Tuesday .",0,3362
"Wal-Mart Stores Inc . , Kohl 's Corp. , Family Dollar Stores Inc. and Big Lots Inc. were among the merchants posting May sales that fell below Wall Street 's modest expectations .","The time was about 4 a.m. on March 18 , just hours before the first pinpoint missiles rained down on the capital .",1,3526
Some of the computers also are used to send spam e-mail messages to drum up traffic to the sites .,He said he has initiated a forfeiture action in court and frozen more than $ 13 million Beacon Hill had when it closed .,1,998
"King , brand-name writer , master of the horror story and e-book pioneer , is receiving this year 's medal for Distinguished Contributions to American Letters .","The quarterlies usually stay in stores for between six to eight weeks , "" Carney added .",1,776
"The announcement , which economists said was not a surprise , may be bittersweet for the millions of Americans without jobs .","Witnesses believe he wanted to crash Flight 1737 , which had 47 passengers and six crew .",1,412
"Indonesia 's army has often been accused of human rights abuses during GAM 's battle for independence , charges it has generally denied while accusing the separatists of committing rights violations .",Democrats hold a 17-15 edge in the state 's U.S. House delegation .,1,2839
"Dr Mark McClean , Jonathan 's family doctor , said if the drug had been administered earlier Jonathan would have retained more of his brain functions .","Then his body was dumped a few blocks away , found in a driveway on Argyle Road .",1,3699
Wittig resigned last year after being indicted on federal bank fraud charges involving a real estate loan unrelated to Westar business .,""" If necessary , I will support a constitutional amendment which would honour marriage between a man and a woman , codify that . """,1,2900
It 's the first such drill since the September 11 terrorist attacks on New York and Washington .,Democrats hold a 17-15 edge in the state 's U.S. House delegation .,1,1915
"The airline also said it has the option to buy 380 more airplanes , orders that would be split evenly between the two manufacturers .","Some E.P.A. staff members defended the document , saying that although pared down it would still help policy makers and the agency address the climate issue .",0,597
"The Dow Jones industrial average ended the day down 10.89 at 9,837.94 , after advancing 111.04 Wednesday .",That would clear the way for debate in the full Senate beginning on Monday .,1,3516
"Costa 's semifinal opponent is Spaniard Juan Carlos Ferrero , whom he beat in last year 's final .",A Stage 1 episode is declared when ozone levels reach 0.20 parts per million .,0,1516
"The 3 rd Armored Cavalry Regiment is 5,200 strong and the largest combat unit at Fort Carson .","Falconer will hold on , for now , to the Lord Chancellor 's Great Seal , used to sign off instructions from the sovereign .",1,932
The show 's closure affected third-quarter earnings per share by a penny .,"Governor Rowland said his decision was "" not based on any one event . """,0,3475
