Name,Miles_per_Gallon,Cylinders,Displacement,Horsepower,Weight_in_lbs,Acceleration,Year,Origin
mazda rx-7 gs,24.2,5,257.0,59,1955,14.5,1970-01-01,Japan
oldsmobile omega brougham,16.8,4,235.0,108,4262,14.9,1970-01-01,USA
volvo 144ea,17.6,4,142.0,61,2187,16.0,1970-01-01,Europe
plymouth custom suburb,16.2,6,378.0,183,2300,19.3,1970-01-01,USA
peugeot 604sl,19.0,4,147.0,136,2117,16.7,1970-01-01,Europe
chevrolet impala,26.6,6,119.0,116,3684,18.5,1970-01-01,USA
ford mustang ii 2+2,11.6,5,446.0,198,2550,22.2,1970-01-01,USA
dodge aries se,23.5,8,413.0,184,2185,12.2,1970-01-01,USA
dodge monaco brougham,20.9,7,319.0,212,3297,21.2,1970-01-01,USA
chevrolet monte carlo landau,20.4,8,228.0,222,3309,15.3,1970-01-01,USA
datsun b-210,19.3,3,328.0,47,1939,20.1,1970-01-01,Japan
toyota corolla 1600 (sw),17.6,4,170.0,224,2151,14.1,1970-01-01,Japan
oldsmobile omega brougham,13.8,5,156.0,88,4369,10.7,1970-01-01,USA
subaru dl,9.1,4,246.0,65,1938,17.4,1970-01-01,Japan
ford escort 2h,14.6,6,328.0,173,3988,14.5,1970-01-01,USA
ford pinto,22.6,4,111.0,153,4227,16.6,1970-01-01,USA
pontiac phoenix lj,18.5,5,156.0,178,3705,20.3,1970-01-01,USA
pontiac firebird,14.7,5,300.0,109,3164,13.9,1970-01-01,USA
mercury grand marquis,20.1,4,320.0,157,2744,11.7,1970-01-01,USA
honda civic 1300,18.3,4,441.0,222,2188,17.5,1970-01-01,Japan
plymouth horizon 4,26.6,5,244.0,176,2741,18.0,1970-01-01,USA
buick regal sport coupe (turbo),10.5,6,159.0,57,3226,11.5,1970-01-01,USA
audi 4000,24.7,4,351.0,103,1992,13.0,1970-01-01,Europe
plymouth horizon tc3,21.8,5,296.0,90,3909,11.6,1970-01-01,USA
amc matador,18.1,6,130.0,46,3258,17.1,1970-01-01,USA
toyota starlet,11.4,3,180.0,49,2341,12.4,1970-01-01,Japan
datsun 510 hatchback,15.5,4,385.0,54,1765,13.3,1970-01-01,Japan
ford futura,11.6,8,258.0,211,3847,16.1,1970-01-01,USA
amc gremlin,11.8,5,145.0,149,3098,17.3,1970-01-01,USA
amc matador,21.3,5,210.0,165,2077,15.3,1970-01-01,USA
ford fiesta,12.1,5,236.0,54,2602,18.2,1970-01-01,USA
mazda glc 4,10.3,5,155.0,61,2573,16.1,1970-01-01,Japan
amc concord dl,27.3,7,398.0,104,3965,13.6,1971-01-01,USA
subaru,24.9,4,325.0,123,2115,13.0,1971-01-01,Japan
opel 1900,28.2,4,156.0,97,2099,12.4,1971-01-01,Europe
nissan stanza xe,14.3,4,310.0,100,1893,16.1,1971-01-01,Japan
dodge dart custom,12.3,7,188.0,80,3299,15.5,1971-01-01,USA
datsun 210,30.3,4,214.0,56,1730,13.1,1971-01-01,Japan
buick century,12.9,5,145.0,164,2906,19.1,1971-01-01,USA
volkswagen model 111,29.6,4,258.0,172,1938,17.6,1971-01-01,Europe
ford pinto,18.9,7,326.0,163,3312,11.1,1971-01-01,USA
audi 4000,29.0,4,335.0,176,2886,13.1,1971-01-01,Europe
pontiac grand prix,34.4,5,217.0,110,3107,17.4,1971-01-01,USA
datsun b210 gx,31.7,4,135.0,155,2377,18.9,1971-01-01,Japan
volvo 244dl,16.5,4,228.0,61,1901,13.5,1971-01-01,Europe
audi 100ls,17.9,4,266.0,170,2236,16.5,1971-01-01,Europe
dodge colt,24.5,8,154.0,118,2766,12.1,1971-01-01,USA
hi 1200d,20.2,6,353.0,61,3718,14.2,1971-01-01,USA
volkswagen dasher,13.7,4,192.0,76,3073,14.0,1971-01-01,Europe
toyota mark ii,,5,270.0,110,2493,14.2,1971-01-01,Japan
chevrolet chevelle malibu classic,31.1,5,388.0,84,2737,15.1,1971-01-01,USA
amc hornet,25.4,6,269.0,129,4815,16.3,1971-01-01,USA
buick century,13.4,6,116.0,171,3855,17.0,1971-01-01,USA
oldsmobile cutlass supreme,33.6,6,319.0,82,2185,15.7,1971-01-01,USA
