Name,Miles_per_Gallon,Cylinders,Displacement,Horsepower,Weight_in_lbs,Acceleration,Year,Origin
chevrolet monte carlo landau,23.2,5,218.0,166,4461,19.0,1970-01-01,USA
ford mustang ii 2+2,16.2,6,412.0,113,3469,15.0,1970-01-01,USA
vokswagen rabbit,19.6,4,244.0,47,2186,14.7,1970-01-01,Europe
volvo diesel,,4,355.0,76,2156,16.0,1970-01-01,Europe
chevrolet vega,21.0,7,202.0,74,1613,15.6,1970-01-01,USA
buick century limited,17.5,4,121.0,168,2249,15.5,1970-01-01,USA
renault 12tl,21.8,5,374.0,159,2025,16.5,1970-01-01,Europe
amc ambassador dpl,11.3,7,428.0,194,3453,14.8,1970-01-01,USA
pontiac phoenix lj,23.8,6,409.0,215,3998,18.7,1970-01-01,USA
dodge monaco (sw),12.2,8,147.0,222,3376,21.1,1970-01-01,USA
pontiac lemans v6,22.4,5,414.0,105,3773,17.6,1970-01-01,USA
amc matador,24.1,5,168.0,163,3620,14.9,1970-01-01,USA
dodge omni,26.7,7,395.0,178,3352,17.9,1970-01-01,USA
plymouth horizon tc3,17.0,4,278.0,158,3277,15.5,1970-01-01,USA
chrysler lebaron medallion,16.2,8,198.0,83,4238,14.2,1970-01-01,USA
volkswagen scirocco,14.7,4,430.0,113,1862,10.8,1970-01-01,Europe
dodge aries wagon (sw),13.7,5,260.0,202,4168,13.3,1970-01-01,USA
amc ambassador sst,26.9,7,315.0,131,2801,18.6,1970-01-01,USA
ford fairmont futura,24.7,5,298.0,83,2994,11.6,1970-01-01,USA
vokswagen rabbit,18.2,4,243.0,210,1985,15.2,1970-01-01,Europe
toyota cressida,26.9,4,202.0,159,2227,16.9,1970-01-01,Japan
amc pacer d/l,12.5,6,106.0,212,4054,14.9,1970-01-01,USA
dodge diplomat,,4,301.0,214,4861,12.9,1970-01-01,USA
dodge monaco brougham,24.2,7,394.0,100,3169,18.1,1970-01-01,USA
dodge aries se,10.8,7,400.0,171,3291,17.3,1970-01-01,USA
plymouth satellite custom (sw),12.0,8,301.0,133,3112,8.5,1970-01-01,USA
datsun b-210,16.5,4,416.0,212,2193,14.3,1970-01-01,Japan
buick century luxus (sw),23.6,8,361.0,46,4522,16.7,1970-01-01,USA
ford fiesta,21.5,4,361.0,77,4321,18.7,1970-01-01,USA
plymouth duster,14.6,6,302.0,143,3482,17.1,1970-01-01,USA
saab 99gle,20.1,4,102.0,54,2199,18.1,1970-01-01,Europe
ford gran torino,30.2,4,147.0,108,2039,19.4,1971-01-01,USA
buick century 350,17.9,6,349.0,58,3269,18.0,1971-01-01,USA
toyota starlet,33.5,4,221.0,59,2443,17.6,1971-01-01,Japan
plymouth satellite custom (sw),24.0,7,151.0,141,3498,17.0,1971-01-01,USA
dodge colt (sw),20.6,7,342.0,163,3217,12.4,1971-01-01,USA
volkswagen rabbit,34.0,4,252.0,58,3130,18.3,1971-01-01,Europe
volkswagen 411 (sw),25.9,4,201.0,82,2433,16.7,1971-01-01,Europe
dodge aries wagon (sw),17.9,7,381.0,134,2658,14.6,1971-01-01,USA
amc matador,26.6,5,393.0,166,1613,11.7,1971-01-01,USA
ford ranger,34.5,5,168.0,85,4273,15.1,1971-01-01,USA
dodge st. regis,22.2,5,165.0,121,3083,16.7,1971-01-01,USA
mazda 626,16.5,4,346.0,153,2241,22.6,1971-01-01,Japan
datsun 210,16.0,5,89.0,129,1872,14.1,1971-01-01,Japan
mercury cougar brougham,12.0,6,184.0,97,3726,14.4,1971-01-01,USA
plymouth satellite,23.3,5,204.0,123,3728,14.1,1971-01-01,USA
amc matador,26.6,5,235.0,152,4047,12.8,1971-01-01,USA
oldsmobile vista cruiser,33.8,5,182.0,149,2565,13.3,1971-01-01,USA
plymouth grand fury,18.0,8,263.0,90,3063,16.6,1971-01-01,USA
dodge omni,13.5,4,98.0,109,2781,18.0,1971-01-01,USA
dodge colt,28.1,7,300.0,79,3977,12.7,1971-01-01,USA
honda Accelerationord,23.4,3,263.0,163,2505,20.4,1971-01-01,Japan
honda Accelerationord,27.2,4,336.0,69,2065,16.5,1971-01-01,Japan
mazda glc deluxe,28.8,4,388.0,172,2167,17.2,1971-01-01,Japan
ford ltd landau,22.8,7,202.0,,3795,15.2,1971-01-01,USA
buick skylark limited,32.3,7,250.0,177,3738,17.1,1971-01-01,USA
plymouth fury iii,,7,86.0,176,3138,15.3,1971-01-01,USA
dodge diplomat,26.8,6,310.0,147,1949,18.4,1971-01-01,USA
plymouth cricket,15.1,7,331.0,84,4138,14.3,1971-01-01,USA
plymouth reliant,25.5,4,130.0,108,3997,11.1,1972-01-01,USA
toyota corona liftback,17.6,4,396.0,101,1989,14.7,1972-01-01,Japan
ford f250,13.4,6,110.0,81,3133,13.6,1972-01-01,USA
dodge omni,17.2,7,227.0,161,3099,17.6,1972-01-01,USA
toyota corona,21.3,4,159.0,101,2428,11.9,1972-01-01,Japan
dodge colt m/m,25.5,5,75.0,196,3273,17.5,1972-01-01,USA
fiat 128,15.5,4,337.0,97,2450,18.3,1972-01-01,Europe
chevrolet cavalier 2-door,25.8,7,152.0,140,4619,15.1,1972-01-01,USA
plymouth duster,19.5,5,72.0,181,3042,12.5,1972-01-01,USA
ford granada,18.9,6,386.0,203,3638,13.9,1972-01-01,USA
dodge aspen 6,14.4,6,156.0,177,2682,16.0,1972-01-01,USA
ford ltd,16.0,6,289.0,204,2965,12.6,1972-01-01,USA
mazda glc custom,14.6,5,301.0,136,2128,13.6,1972-01-01,Japan
pontiac sunbird coupe,26.9,6,345.0,101,2138,21.4,1972-01-01,USA
amc concord dl,25.9,5,174.0,101,3299,19.0,1972-01-01,USA
amc concord dl 6,23.9,7,406.0,118,2854,19.5,1972-01-01,USA
volkswagen super beetle,17.2,4,115.0,188,2566,10.4,1972-01-01,Europe
buick skylark limited,18.9,4,173.0,69,3412,13.7,1972-01-01,USA
buick electra 225 custom,22.2,6,309.0,96,3470,20.4,1972-01-01,USA
volkswagen type 3,21.0,4,296.0,73,2268,10.7,1972-01-01,Europe
ford granada ghia,26.4,5,363.0,171,3742,19.3,1972-01-01,USA
mercury monarch ghia,23.4,7,332.0,126,4581,20.0,1972-01-01,USA
chevrolet woody,15.8,4,157.0,98,3204,17.9,1972-01-01,USA
chevrolet caprice classic,23.4,4,286.0,198,2355,15.1,1972-01-01,USA
toyota corona,15.2,5,366.0,,1889,15.3,1972-01-01,Japan
chevrolet monte carlo s,25.8,5,169.0,123,3831,18.9,1972-01-01,USA
chevrolet cavalier,16.5,8,353.0,140,2756,16.9,1972-01-01,USA
volvo 145e (sw),15.6,4,425.0,71,1916,13.9,1973-01-01,Europe
fiat 128,22.4,4,133.0,230,1947,14.5,1973-01-01,Europe
plymouth grand fury,26.0,8,96.0,204,3922,10.7,1973-01-01,USA
honda Accelerationord,17.6,5,191.0,128,2175,13.8,1973-01-01,Japan
toyota corolla 1200,18.5,5,240.0,95,1852,13.2,1973-01-01,Japan
chevrolet chevette,23.8,4,386.0,68,3733,13.8,1973-01-01,USA
ford fiesta,19.8,5,336.0,112,3627,15.0,1973-01-01,USA
oldsmobile starfire sx,13.3,5,146.0,79,3114,21.5,1973-01-01,USA
oldsmobile starfire sx,23.2,6,276.0,63,4377,17.5,1973-01-01,USA
dodge aspen se,10.2,5,296.0,75,3982,15.0,1973-01-01,USA
vokswagen rabbit,19.4,4,444.0,125,2076,16.4,1973-01-01,Europe
oldsmobile cutlass salon brougham,17.2,7,71.0,229,4002,15.0,1973-01-01,USA
plymouth valiant custom,15.0,4,198.0,,3206,17.1,1973-01-01,USA
datsun 200sx,16.2,4,227.0,197,2740,18.1,1973-01-01,Japan
saab 99e,13.3,4,396.0,160,1856,14.5,1973-01-01,Europe
datsun 310 gx,10.4,5,452.0,218,2574,8.0,1973-01-01,Japan
amc matador,14.8,8,141.0,89,3556,17.4,1973-01-01,USA
buick regal sport coupe (turbo),16.7,7,144.0,199,4513,15.4,1973-01-01,USA
ford granada ghia,13.9,4,70.0,99,2834,18.4,1973-01-01,USA
toyota starlet,14.3,4,384.0,125,2250,17.6,1973-01-01,Japan
plymouth valiant custom,23.7,7,211.0,209,1919,17.2,1973-01-01,USA
peugeot 504,14.4,4,161.0,158,1907,15.4,1973-01-01,Europe
peugeot 504,,4,436.0,54,2117,19.9,1973-01-01,Europe
mazda glc,17.1,4,270.0,170,2376,17.4,1973-01-01,Japan
amc hornet,13.6,6,209.0,154,2941,18.0,1973-01-01,USA
dodge omni,20.8,8,250.0,149,2923,14.8,1973-01-01,USA
toyota corolla,14.3,3,295.0,82,2431,11.4,1973-01-01,Japan
amc gremlin,20.8,5,327.0,199,4052,12.8,1973-01-01,USA
toyota tercel,17.3,4,400.0,164,2297,13.1,1973-01-01,Japan
dodge coronet brougham,18.7,4,263.0,209,3801,16.3,1973-01-01,USA
chevrolet caprice classic,16.5,7,135.0,114,3544,15.8,1973-01-01,USA
renault 12tl,10.7,4,298.0,178,2672,16.8,1973-01-01,Europe
chrysler lebaron salon,17.5,6,294.0,114,2989,17.0,1973-01-01,USA
subaru dl,20.5,4,343.0,137,2283,24.8,1973-01-01,Japan
ford fairmont futura,9.0,7,71.0,153,3276,14.8,1973-01-01,USA
ford thunderbird,20.3,6,431.0,216,4353,11.5,1973-01-01,USA
peugeot 504,18.4,4,171.0,129,2055,21.4,1973-01-01,Europe
