species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Biscoe,40.5,17.6,208,3206,FEMALE
Adelie,Torgersen,41.1,18.8,195,2981,FEMALE
Adelie,Torgersen,42.8,17.5,193,3536,FEMALE
Adelie,Dream,37.7,17.2,179,3271,MALE
Adelie,Torgersen,41.1,15.9,188,4353,MALE
Adelie,Torgersen,36.4,17.2,208,3886,MALE
Adelie,Dream,40.6,20.0,209,3277,MALE
Adelie,Dream,42.7,18.9,185,3578,FEMALE
Adelie,Torgersen,34.5,18.4,205,3712,FEMALE
Adelie,Torgersen,36.6,19.7,209,3556,FEMALE
Adelie,Torgersen,37.8,18.5,212,3361,FEMALE
Adelie,Dream,36.4,18.3,202,3555,MALE
Adelie,Biscoe,39.3,18.9,176,4010,MALE
Adelie,Dream,40.3,19.5,214,3564,FEMALE
Adelie,Dream,38.5,18.6,182,2909,MALE
Adelie,Torgersen,39.5,19.8,183,4045,MALE
Adelie,Dream,40.8,18.5,208,3812,MALE
Adelie,Biscoe,40.7,17.6,202,3443,FEMALE
Adelie,Torgersen,39.0,18.1,187,3228,FEMALE
Adelie,Biscoe,39.7,18.5,192,3633,MALE
Adelie,Dream,36.2,20.1,188,3469,FEMALE
Adelie,Dream,39.5,17.7,208,3540,FEMALE
Adelie,Dream,41.1,19.0,172,3827,FEMALE
Adelie,Torgersen,35.7,19.3,172,3894,FEMALE
Adelie,Biscoe,37.9,18.7,197,3939,MALE
Adelie,Torgersen,37.7,17.0,196,3714,MALE
Adelie,Torgersen,39.0,18.9,194,3270,FEMALE
Adelie,Biscoe,33.1,16.8,229,3570,MALE
Adelie,Dream,36.5,17.0,172,4220,MALE
Adelie,Dream,36.0,16.0,231,2978,MALE
Adelie,Biscoe,41.4,18.6,201,2776,FEMALE
Adelie,Biscoe,38.8,17.8,212,3290,MALE
Adelie,Biscoe,39.6,19.1,183,2835,MALE
Adelie,Biscoe,42.1,19.2,204,4209,FEMALE
Adelie,Dream,34.6,17.5,215,3060,MALE
Adelie,Torgersen,37.8,18.8,218,3639,MALE
Adelie,Dream,39.6,18.4,207,3247,MALE
Adelie,Dream,41.6,18.5,215,5363,
Adelie,Dream,37.8,18.3,202,3814,FEMALE
Adelie,Dream,41.8,20.3,187,3687,FEMALE
Adelie,Biscoe,45.8,18.5,193,3967,MALE
Adelie,Torgersen,37.6,17.8,207,2956,MALE
Adelie,Torgersen,40.9,19.1,193,3366,MALE
Adelie,Torgersen,35.6,21.2,210,4002,MALE
Adelie,Dream,40.2,17.0,207,4078,FEMALE
Adelie,Biscoe,38.1,18.1,194,3537,FEMALE
Adelie,Biscoe,37.6,19.5,203,3803,FEMALE
Adelie,Biscoe,34.0,17.2,206,4360,FEMALE
Adelie,Dream,38.2,18.1,182,2775,FEMALE
Adelie,Biscoe,42.2,16.6,206,4991,MALE
Adelie,Biscoe,40.2,19.0,185,2700,FEMALE
Adelie,Torgersen,39.5,17.3,211,3121,MALE
Adelie,Dream,35.1,18.5,189,4396,MALE
Adelie,Dream,36.0,17.9,213,3477,MALE
Adelie,Dream,44.1,17.0,207,3059,FEMALE
Adelie,Dream,44.1,17.1,185,3190,FEMALE
Adelie,Torgersen,39.2,18.7,212,3798,MALE
Adelie,Biscoe,41.1,19.4,189,4610,MALE
Adelie,Torgersen,35.3,16.9,229,3949,MALE
Adelie,Biscoe,34.6,18.0,190,3543,MALE
Adelie,Biscoe,38.8,21.1,200,4554,FEMALE
Adelie,Biscoe,35.5,18.5,206,3596,MALE
Adelie,Torgersen,39.1,17.5,203,4548,FEMALE
Adelie,Biscoe,37.3,16.1,195,3067,MALE
Adelie,Biscoe,39.8,17.6,202,4535,MALE
Adelie,Dream,46.0,18.4,195,3460,FEMALE
Adelie,Dream,38.1,17.6,222,2924,MALE
Adelie,Dream,40.1,17.0,196,3290,MALE
Adelie,Dream,40.6,17.7,200,4898,FEMALE
Adelie,Torgersen,37.3,17.9,194,3545,MALE
Adelie,Biscoe,39.2,18.6,228,3254,MALE
Adelie,Torgersen,40.9,18.1,199,4278,MALE
Adelie,Biscoe,38.6,18.9,182,4389,FEMALE
Adelie,Biscoe,35.9,18.6,172,3353,FEMALE
Adelie,Torgersen,39.0,15.5,190,3546,MALE
Adelie,Biscoe,38.8,17.8,206,3480,MALE
Adelie,Torgersen,40.8,19.2,194,3358,MALE
Adelie,Torgersen,36.7,18.6,193,3743,MALE
Adelie,Torgersen,42.9,17.4,211,3979,FEMALE
Adelie,Torgersen,35.2,16.5,215,3487,FEMALE
Adelie,Torgersen,41.1,19.6,191,3777,FEMALE
Adelie,Biscoe,38.7,18.9,188,3673,MALE
Adelie,Torgersen,36.0,20.7,186,3446,MALE
Adelie,Dream,36.6,19.3,205,3835,FEMALE
Adelie,Torgersen,45.6,18.0,196,4445,MALE
Adelie,Dream,43.2,19.1,195,3952,FEMALE
Adelie,Torgersen,36.0,17.9,216,4068,FEMALE
Adelie,Dream,41.3,20.3,201,3605,FEMALE
Adelie,Torgersen,41.3,20.0,194,3685,
Adelie,Biscoe,38.6,20.7,187,3313,MALE
Adelie,Dream,41.1,20.0,228,3383,FEMALE
Adelie,Dream,35.5,18.8,191,3222,FEMALE
Adelie,Biscoe,40.3,17.1,195,3501,FEMALE
Adelie,Dream,42.0,19.5,182,3525,MALE
Adelie,Torgersen,38.1,18.1,193,3817,FEMALE
Adelie,Biscoe,42.3,19.1,192,3111,MALE
Adelie,Dream,39.2,21.2,224,3923,FEMALE
Adelie,Torgersen,42.5,19.0,216,3503,FEMALE
Adelie,Biscoe,38.1,17.8,178,3973,FEMALE
Adelie,Dream,32.1,18.4,208,3801,MALE
Adelie,Biscoe,36.3,18.1,203,3654,FEMALE
Adelie,Dream,41.0,17.2,181,3648,FEMALE
Adelie,Dream,37.7,18.3,201,3694,MALE
Adelie,Dream,38.9,17.5,203,3778,FEMALE
Adelie,Biscoe,37.5,19.4,189,3334,FEMALE
