species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Dream,39.0,18.0,205,3215,MALE
Adelie,Biscoe,36.0,18.9,212,4018,
Adelie,Biscoe,36.9,17.0,213,4085,FEMALE
Adelie,Biscoe,44.1,17.1,172,3149,MALE
Adelie,Biscoe,37.7,18.5,203,3322,FEMALE
Adelie,Biscoe,42.8,18.4,217,4546,MALE
Adelie,Biscoe,45.6,18.0,196,3679,MALE
Adelie,Dream,38.8,19.1,224,3534,FEMALE
Adelie,Dream,34.6,18.7,228,3618,FEMALE
Adelie,Biscoe,43.2,18.1,192,3334,FEMALE
Adelie,Biscoe,35.7,18.5,191,4373,MALE
Adelie,Torgersen,41.1,20.0,205,3514,MALE
Adelie,Dream,36.4,18.3,186,3716,MALE
Adelie,Dream,37.3,18.1,196,3451,MALE
Adelie,Biscoe,38.5,17.4,184,4081,FEMALE
Adelie,Dream,36.5,18.1,186,3505,MALE
Adelie,Torgersen,42.3,18.9,187,3988,MALE
Adelie,Dream,41.1,19.3,209,3983,FEMALE
Adelie,Dream,36.7,16.6,196,4252,MALE
Adelie,Torgersen,33.5,17.2,203,3153,MALE
Adelie,Torgersen,40.7,18.6,211,3751,MALE
Adelie,Biscoe,37.3,17.9,207,5222,FEMALE
Adelie,Biscoe,36.6,17.8,212,4533,FEMALE
Adelie,Biscoe,41.1,18.0,225,3781,MALE
Adelie,Torgersen,40.1,16.5,172,3482,FEMALE
Adelie,Torgersen,37.2,21.1,183,4111,FEMALE
Adelie,Dream,34.4,17.1,200,3833,MALE
Adelie,Dream,40.2,18.4,186,4427,FEMALE
Adelie,Biscoe,37.0,18.6,205,2929,FEMALE
Adelie,Dream,39.6,17.1,215,3674,MALE
Adelie,Biscoe,41.1,18.8,210,3452,MALE
Adelie,Biscoe,41.1,17.2,199,3348,FEMALE
Adelie,Dream,42.2,17.5,198,3735,MALE
Adelie,Torgersen,37.9,18.5,210,3053,
Adelie,Dream,40.5,18.6,186,3893,MALE
Adelie,Dream,40.3,19.0,205,3863,MALE
Adelie,Torgersen,40.8,18.8,206,3680,FEMALE
Adelie,Torgersen,36.8,18.9,204,3806,MALE
Adelie,Torgersen,46.0,20.3,178,4352,MALE
Adelie,Dream,36.0,18.3,224,3839,FEMALE
Adelie,Biscoe,39.5,21.2,213,3794,MALE
Adelie,Torgersen,35.2,21.5,199,3187,MALE
Adelie,Torgersen,34.6,17.2,231,2974,FEMALE
Adelie,Dream,36.4,19.5,209,3844,FEMALE
Adelie,Torgersen,39.0,17.6,205,3705,FEMALE
Adelie,Dream,39.7,17.9,210,4040,FEMALE
Adelie,Biscoe,36.3,18.5,200,4024,
Adelie,Dream,35.0,19.4,202,3905,FEMALE
Adelie,Dream,35.7,17.6,228,4594,FEMALE
Adelie,Dream,38.6,17.9,216,3393,FEMALE
Adelie,Dream,35.5,20.1,230,3614,MALE
Adelie,Biscoe,40.8,20.5,196,3510,MALE
Adelie,Dream,39.7,17.0,196,2884,FEMALE
Adelie,Biscoe,37.6,18.6,210,4144,MALE
Adelie,Biscoe,37.3,19.2,196,4041,MALE
Adelie,Dream,36.7,19.6,214,3083,MALE
Adelie,Torgersen,36.6,19.1,195,4421,MALE
Adelie,Biscoe,38.7,20.3,218,3504,FEMALE
Adelie,Dream,39.7,18.4,172,4068,FEMALE
Adelie,Biscoe,40.9,17.1,191,3526,MALE
Adelie,Dream,38.3,19.1,180,3140,FEMALE
Adelie,Dream,37.8,18.1,206,3994,FEMALE
Adelie,Torgersen,39.0,16.9,186,3894,FEMALE
Adelie,Dream,39.7,17.8,215,4209,FEMALE
Adelie,Torgersen,39.2,19.0,190,4689,FEMALE
Adelie,Dream,38.8,18.7,210,4041,FEMALE
Adelie,Torgersen,38.2,18.8,192,3683,MALE
Adelie,Torgersen,37.7,19.2,216,3333,FEMALE
Adelie,Torgersen,38.1,18.8,201,4876,MALE
Adelie,Torgersen,37.6,18.4,206,3530,MALE
Adelie,Torgersen,34.5,18.3,208,3672,FEMALE
Adelie,Biscoe,37.7,17.6,209,4425,FEMALE
Adelie,Biscoe,39.5,18.6,194,3193,MALE
Adelie,Dream,39.8,16.8,201,3852,MALE
Adelie,Dream,43.1,18.2,204,3589,MALE
Adelie,Dream,36.0,21.2,202,3827,FEMALE
Adelie,Dream,36.2,19.0,212,3660,FEMALE
Adelie,Biscoe,40.6,17.0,200,3358,MALE
Adelie,Biscoe,37.2,18.0,211,3328,MALE
Adelie,Dream,42.7,17.7,198,3866,FEMALE
Adelie,Torgersen,40.2,18.6,220,3846,MALE
Adelie,Torgersen,39.6,17.1,203,2778,MALE
Adelie,Dream,37.5,19.1,203,3540,MALE
Adelie,Dream,38.8,18.5,192,3811,FEMALE
Adelie,Torgersen,40.6,18.6,186,3586,FEMALE
Adelie,Biscoe,39.5,19.7,204,3251,MALE
Adelie,Torgersen,41.1,18.5,220,4315,MALE
Adelie,Biscoe,33.1,17.0,209,3557,FEMALE
Adelie,Dream,41.5,16.7,196,3307,FEMALE
Adelie,Dream,41.3,18.0,175,3132,MALE
Adelie,Torgersen,39.2,17.0,206,3299,FEMALE
Adelie,Biscoe,37.8,19.8,185,3579,
Adelie,Biscoe,38.2,16.6,214,3783,MALE
Adelie,Torgersen,36.2,17.2,210,4201,FEMALE
Adelie,Dream,39.3,20.6,186,3792,FEMALE
Adelie,Torgersen,45.8,18.5,200,3892,MALE
Adelie,Torgersen,38.1,16.5,218,3917,MALE
Adelie,Dream,42.9,16.1,176,4443,FEMALE
Adelie,Torgersen,39.6,17.0,207,3044,FEMALE
Adelie,Torgersen,43.2,19.5,200,4362,MALE
Adelie,Dream,35.6,20.7,209,4263,MALE
Adelie,Dream,39.2,17.2,194,3304,FEMALE
Adelie,Dream,39.6,17.7,194,3405,FEMALE
Adelie,Biscoe,35.3,15.9,196,3075,FEMALE
Adelie,Dream,32.1,16.1,213,3530,MALE
Adelie,Biscoe,35.1,18.7,196,3209,FEMALE
Adelie,Torgersen,38.1,21.1,204,3793,FEMALE
Adelie,Biscoe,38.6,17.5,204,4275,MALE
Adelie,Biscoe,41.4,15.5,204,3453,MALE
Adelie,Torgersen,38.9,16.8,201,4040,MALE
Adelie,Dream,40.3,20.0,199,3900,FEMALE
Adelie,Dream,36.2,19.3,208,3228,MALE
Adelie,Torgersen,41.5,18.1,172,3425,FEMALE
Adelie,Torgersen,35.7,17.8,188,3610,FEMALE
Adelie,Dream,35.9,17.2,178,3934,FEMALE
Adelie,Torgersen,37.0,19.5,214,3357,MALE
Adelie,Dream,41.4,19.2,204,4324,MALE
Adelie,Torgersen,38.1,17.5,207,3154,MALE
Adelie,Dream,41.8,17.8,172,3474,MALE
Adelie,Dream,37.8,18.9,211,4092,MALE
Adelie,Torgersen,36.0,17.9,228,4205,FEMALE
Adelie,Biscoe,39.1,18.5,188,3754,FEMALE
Adelie,Torgersen,41.1,17.5,196,2946,FEMALE
Adelie,Biscoe,42.5,16.0,199,3794,MALE
Adelie,Dream,38.6,19.4,172,3451,MALE
Adelie,Torgersen,41.6,18.1,209,3352,FEMALE
Adelie,Biscoe,40.6,17.0,195,3770,FEMALE
Adelie,Torgersen,36.5,17.8,224,3329,FEMALE
Adelie,Biscoe,34.0,17.6,206,3197,MALE
Adelie,Dream,41.3,16.9,213,4307,MALE
Adelie,Torgersen,41.0,19.0,221,4235,FEMALE
Adelie,Torgersen,40.2,18.5,218,4827,MALE
Adelie,Torgersen,35.9,17.9,189,3444,MALE
Adelie,Biscoe,42.1,19.0,201,3777,MALE
Adelie,Biscoe,42.0,18.9,187,4074,FEMALE
Adelie,Torgersen,40.6,21.1,175,3825,FEMALE
Adelie,Dream,40.5,17.3,190,3964,MALE
Adelie,Dream,37.6,20.0,201,3463,FEMALE
Adelie,Dream,44.1,18.9,185,3985,FEMALE
Adelie,Torgersen,38.9,20.7,172,3444,MALE
Adelie,Dream,40.9,20.0,213,3161,FEMALE
Adelie,Biscoe,39.6,19.4,181,3049,MALE
Adelie,Torgersen,35.5,16.2,189,3974,FEMALE
Adelie,Dream,41.4,19.2,203,3504,MALE
Adelie,Dream,39.2,18.5,213,3179,FEMALE
Adelie,Biscoe,42.2,18.9,216,4365,MALE
Chinstrap,Dream,51.5,17.3,180,3434,MALE
Chinstrap,Dream,50.1,19.9,198,3381,MALE
Chinstrap,Dream,51.3,17.1,212,3675,MALE
Chinstrap,Dream,50.3,19.0,190,3708,FEMALE
Chinstrap,Dream,43.2,19.5,197,3224,MALE
Chinstrap,Dream,46.4,16.5,186,3897,MALE
Chinstrap,Dream,46.8,17.9,174,3777,FEMALE
Chinstrap,Dream,48.1,17.5,203,3551,FEMALE
Chinstrap,Dream,51.9,16.6,194,3931,FEMALE
Chinstrap,Dream,50.2,19.4,191,3893,MALE
Chinstrap,Dream,50.9,17.8,221,3216,MALE
Chinstrap,Dream,45.2,18.1,207,3223,FEMALE
Chinstrap,Dream,45.6,17.0,196,3018,MALE
Chinstrap,Dream,43.5,17.9,192,3859,MALE
Chinstrap,Dream,58.0,18.2,211,3731,FEMALE
Chinstrap,Dream,53.5,18.8,207,3711,MALE
Chinstrap,Dream,50.5,20.3,190,3774,MALE
Chinstrap,Dream,45.4,20.8,231,3070,FEMALE
Chinstrap,Dream,49.5,20.7,206,4326,FEMALE
Chinstrap,Dream,51.7,19.5,182,4093,MALE
Chinstrap,Dream,52.0,17.8,213,4260,FEMALE
Chinstrap,Dream,45.2,20.0,205,4159,FEMALE
Chinstrap,Dream,50.8,19.8,214,3754,FEMALE
Chinstrap,Dream,47.6,19.8,213,3071,MALE
Chinstrap,Dream,50.6,19.7,203,4284,MALE
Chinstrap,Dream,46.6,17.8,186,3262,FEMALE
Chinstrap,Dream,51.4,17.9,211,4059,FEMALE
Chinstrap,Dream,46.1,19.0,195,3405,FEMALE
Chinstrap,Dream,46.7,17.5,213,3692,FEMALE
Chinstrap,Dream,45.7,19.6,183,3420,FEMALE
Chinstrap,Dream,47.5,16.6,222,3153,MALE
Chinstrap,Dream,46.0,16.6,194,3333,FEMALE
Chinstrap,Dream,52.0,16.4,208,4277,MALE
Chinstrap,Dream,55.8,19.4,188,2862,FEMALE
Chinstrap,Dream,54.2,18.7,204,4124,MALE
Chinstrap,Dream,42.4,18.7,172,3193,FEMALE
Chinstrap,Dream,49.8,18.6,195,3146,MALE
Chinstrap,Dream,46.2,18.2,201,3208,FEMALE
Chinstrap,Dream,48.5,18.9,198,3921,MALE
Chinstrap,Dream,45.9,17.3,212,3837,FEMALE
Chinstrap,Dream,49.3,19.5,220,3946,FEMALE
Chinstrap,Dream,52.8,16.7,198,3582,FEMALE
Chinstrap,Dream,52.7,17.3,192,3738,MALE
Chinstrap,Dream,51.3,19.1,200,3845,MALE
Chinstrap,Dream,52.0,17.3,176,3670,FEMALE
Chinstrap,Dream,49.7,19.0,189,3847,FEMALE
Chinstrap,Dream,47.0,19.9,194,4248,MALE
Chinstrap,Dream,42.5,16.8,197,3566,FEMALE
