Species,Island,Beak Length (mm),Beak Depth (mm),Flipper Length (mm),Body Mass (g),Sex
Adelie,Biscoe,33.1,19.0,188,4295,FEMALE
Adelie,Dream,37.8,20.0,190,4165,MALE
Adelie,Torgersen,43.2,18.1,183,4469,FEMALE
Adelie,Biscoe,42.9,18.7,198,3965,FEMALE
Adelie,Torgersen,39.5,17.0,215,3474,FEMALE
Adelie,Torgersen,36.7,19.1,231,4358,MALE
Adelie,Torgersen,41.0,20.3,212,3272,FEMALE
Adelie,Biscoe,41.1,18.1,190,4118,MALE
Adelie,Dream,38.1,17.2,215,4082,MALE
Adelie,Torgersen,41.1,17.2,172,4076,MALE
Adelie,Biscoe,39.3,18.9,205,3877,MALE
Adelie,Biscoe,38.8,16.1,223,3491,MALE
Adelie,Torgersen,39.6,19.5,192,3779,FEMALE
Adelie,Torgersen,41.4,16.0,204,3587,FEMALE
Adelie,Torgersen,37.7,21.1,188,3367,FEMALE
Adelie,Biscoe,36.8,18.1,196,3379,FEMALE
Adelie,Torgersen,41.8,19.4,194,3301,MALE
Adelie,Torgersen,35.7,18.6,183,3817,MALE
Adelie,Biscoe,39.0,17.1,213,3583,MALE
Adelie,Torgersen,38.2,17.2,181,4614,FEMALE
Adelie,Biscoe,40.2,17.0,190,3177,MALE
Adelie,Dream,38.2,17.9,193,5083,
Adelie,Dream,41.5,16.6,203,3367,FEMALE
Adelie,Biscoe,39.6,18.9,208,3790,FEMALE
Adelie,Dream,37.2,17.9,231,3803,MALE
Adelie,Biscoe,34.6,17.8,190,4089,MALE
Adelie,Biscoe,37.8,18.6,210,4024,MALE
Adelie,Torgersen,40.9,17.0,207,3842,MALE
Adelie,Biscoe,39.0,16.9,191,3674,MALE
Adelie,Torgersen,44.1,17.6,193,4316,MALE
Adelie,Biscoe,38.1,17.0,209,3626,FEMALE
Adelie,Biscoe,38.6,16.1,200,3719,FEMALE
Adelie,Torgersen,40.8,18.2,208,3634,FEMALE
Adelie,Torgersen,39.5,19.0,220,3915,FEMALE
Adelie,Dream,37.2,20.0,178,3857,FEMALE
Adelie,Dream,37.6,19.1,214,3563,FEMALE
Adelie,Torgersen,36.2,18.8,191,3702,MALE
Adelie,Dream,39.2,17.1,209,4410,FEMALE
Adelie,Dream,38.5,17.2,204,3817,MALE
Adelie,Biscoe,42.7,17.9,181,3612,FEMALE
Adelie,Dream,35.5,16.2,172,3436,MALE
Adelie,Dream,38.6,18.4,183,3286,FEMALE
Adelie,Torgersen,37.7,18.8,198,3391,MALE
Adelie,Dream,39.6,17.0,186,3157,MALE
Adelie,Dream,37.5,20.1,197,4912,MALE
Adelie,Dream,41.6,18.3,190,4096,FEMALE
Adelie,Dream,36.0,19.2,186,5033,MALE
Adelie,Dream,39.1,18.9,201,3729,MALE
Adelie,Dream,36.5,17.2,200,4052,FEMALE
Adelie,Torgersen,39.2,18.5,208,3822,FEMALE
Adelie,Dream,39.0,18.0,195,3207,MALE
Adelie,Dream,39.7,18.7,191,3683,MALE
Adelie,Torgersen,40.6,18.7,220,3667,FEMALE
Adelie,Biscoe,42.0,18.0,223,4169,MALE
Adelie,Dream,38.7,17.5,190,4425,FEMALE
Adelie,Biscoe,40.6,18.5,231,4173,MALE
Adelie,Biscoe,37.7,18.1,199,4082,FEMALE
Adelie,Torgersen,39.6,19.5,197,4008,MALE
Adelie,Dream,37.0,18.3,204,2808,FEMALE
Adelie,Dream,37.3,17.6,210,3854,FEMALE
Adelie,Torgersen,37.3,18.4,198,3706,FEMALE
Adelie,Torgersen,38.3,18.8,195,3585,MALE
Adelie,Torgersen,40.2,21.1,210,3935,MALE
Adelie,Biscoe,38.8,18.6,191,4085,MALE
Adelie,Dream,45.6,21.1,219,4592,FEMALE
Adelie,Dream,40.3,18.5,204,3264,FEMALE
Adelie,Torgersen,36.4,19.2,216,3471,FEMALE
Adelie,Torgersen,40.8,19.1,231,3518,MALE
Adelie,Biscoe,37.3,17.5,209,4474,FEMALE
Adelie,Dream,35.1,19.8,206,3473,MALE
Adelie,Dream,36.0,19.7,180,3364,MALE
Adelie,Torgersen,36.4,17.2,204,3897,FEMALE
Adelie,Dream,36.5,17.1,174,3952,FEMALE
Adelie,Dream,42.8,21.5,172,3313,MALE
Adelie,Torgersen,38.8,18.1,208,3719,FEMALE
Adelie,Dream,33.5,18.5,193,3318,FEMALE
Adelie,Biscoe,36.9,19.2,192,3923,MALE
Adelie,Dream,43.1,18.5,186,2885,FEMALE
Adelie,Dream,41.1,18.0,197,3620,MALE
