pickup,dropoff,passengers,distance,fare,tip,tolls,total,color,payment,pickup_zone,dropoff_zone,pickup_borough,dropoff_borough
2019-03-27 14:59:53,2019-03-27 15:16:31,1,1.39,12.26,2.67,0.0,14.6,yellow,credit card,Midtown Center,Woodside,Manhattan,Queens
2019-03-23 02:49:55,2019-03-23 03:04:15,1,1.18,8.6,1.76,0.1,25.71,yellow,credit card,Fort Greene,Canarsie,Brooklyn,Brooklyn
2019-03-12 07:42:49,2019-03-12 07:57:51,1,1.37,25.16,10.55,1.04,36.6,yellow,cash,Jackson Heights,Astoria,Queens,Queens
2019-03-27 01:00:53,2019-03-27 01:13:33,1,8.27,42.02,0.14,1.24,51.0,yellow,credit card,Old Astoria,Gramercy,Queens,Manhattan
2019-03-27 16:13:03,2019-03-27 16:27:36,1,19.32,17.67,0.68,0.16,32.0,yellow,cash,LaGuardia Airport,Springfield Gardens South,Queens,Queens
2019-03-06 22:02:21,2019-03-06 22:17:15,1,1.75,5.9,1.75,0.22,43.41,yellow,credit card,Battery Park City,Old Astoria,Manhattan,Queens
2019-03-25 11:36:25,2019-03-25 11:52:42,3,5.73,8.2,0.09,0.45,13.34,yellow,cash,Bushwick South,Williamsburg (North Side),Brooklyn,Brooklyn
2019-03-30 22:19:19,2019-03-30 22:34:48,3,3.87,8.3,2.25,0.07,28.44,yellow,credit card,Meatpacking/West Village West,Bedford Park,Manhattan,Bronx
2019-03-05 00:25:16,2019-03-05 00:39:19,1,0.05,3.1,1.3,0.22,10.82,yellow,cash,Upper West Side North,Springfield Gardens South,Manhattan,Queens
2019-03-20 07:26:16,2019-03-20 07:41:49,1,0.78,4.32,0.01,0.02,6.0,yellow,credit card,Greenwich Village North,Bath Beach,Manhattan,Brooklyn
2019-03-08 00:35:39,2019-03-08 00:47:59,1,2.44,8.83,4.72,0.15,10.5,yellow,cash,Midtown North,Howard Beach,Manhattan,Queens
2019-02-28 20:38:11,2019-02-28 20:51:23,2,0.63,17.5,8.04,0.12,19.6,yellow,credit card,Midtown East,Kew Gardens,Manhattan,Queens
2019-03-01 02:24:13,2019-03-01 02:35:47,6,1.73,7.36,2.56,0.09,10.5,yellow,cash,West Village,Sheepshead Bay,Manhattan,Brooklyn
2019-03-28 13:13:19,2019-03-28 13:27:04,1,1.28,5.74,0.33,1.44,37.2,yellow,credit card,Jackson Heights,Madison,Queens,Brooklyn
2019-03-06 06:20:49,2019-03-06 06:36:42,2,0.07,6.4,1.35,0.15,15.59,yellow,cash,Yorkville West,Queensboro Hill,Manhattan,Queens
2019-03-14 07:58:16,2019-03-14 08:12:18,1,0.16,8.7,0.43,0.17,14.76,yellow,credit card,Morningside Heights,Clinton Hill,Manhattan,Brooklyn
2019-03-05 15:13:17,2019-03-05 15:26:50,1,4.62,5.29,0.7,0.48,29.0,yellow,cash,LaGuardia Airport,Starrett City,Queens,Brooklyn
2019-03-07 17:30:32,2019-03-07 17:45:47,3,0.13,8.5,5.38,0.05,24.54,yellow,credit card,Battery Park City,Gowanus,Manhattan,Brooklyn
