species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Torgersen,46.0,17.6,214,3465,MALE
Adelie,Dream,42.1,19.0,202,3442,FEMALE
Adelie,Biscoe,40.6,17.8,204,2911,FEMALE
Adelie,Biscoe,37.5,18.1,195,3587,MALE
Adelie,Dream,43.1,18.7,203,4628,MALE
Adelie,Torgersen,41.1,21.5,213,3807,MALE
Adelie,Biscoe,37.2,18.4,218,3207,FEMALE
Adelie,Dream,33.1,18.3,214,4055,MALE
Adelie,Dream,37.2,17.0,215,3813,FEMALE
Adelie,Torgersen,39.2,19.0,224,3806,FEMALE
Adelie,Dream,36.0,18.6,186,3984,FEMALE
Adelie,Dream,37.0,18.9,203,3884,FEMALE
Adelie,Biscoe,38.7,16.6,210,3516,FEMALE
Adelie,Dream,36.2,17.6,209,3209,MALE
Adelie,Biscoe,35.9,17.0,217,3236,MALE
Adelie,Biscoe,35.9,17.1,214,3674,FEMALE
Adelie,Dream,38.6,21.1,217,3773,MALE
Adelie,Dream,35.7,18.5,190,3789,FEMALE
Adelie,Biscoe,36.5,17.1,201,3787,MALE
Adelie,Torgersen,37.6,17.0,175,3654,FEMALE
Adelie,Dream,35.2,18.9,193,3537,FEMALE
Adelie,Biscoe,35.6,17.3,214,3793,FEMALE
Adelie,Torgersen,34.6,18.6,188,3945,
Adelie,Biscoe,38.8,19.4,208,3690,FEMALE
Adelie,Torgersen,43.2,17.0,214,3472,FEMALE
Adelie,Biscoe,36.9,17.9,182,4322,MALE
Adelie,Biscoe,41.1,19.2,224,3176,MALE
Adelie,Biscoe,40.8,17.1,207,3850,FEMALE
Adelie,Torgersen,42.7,18.9,201,3249,FEMALE
Adelie,Dream,35.7,16.9,199,5017,MALE
Adelie,Torgersen,38.9,20.1,224,3100,MALE
Adelie,Biscoe,34.6,17.2,195,3778,FEMALE
Adelie,Dream,36.4,16.2,206,3882,MALE
Adelie,Biscoe,40.6,18.5,190,4222,MALE
Adelie,Torgersen,36.0,20.0,208,4018,MALE
Adelie,Biscoe,35.5,17.0,205,3540,MALE
Adelie,Biscoe,40.2,18.1,195,4155,MALE
Adelie,Biscoe,33.5,16.9,197,3916,FEMALE
Adelie,Biscoe,38.9,17.5,182,4790,FEMALE
Adelie,Dream,39.5,18.5,213,3477,MALE
Adelie,Biscoe,37.0,17.9,204,4300,FEMALE
Adelie,Torgersen,39.6,18.3,205,4014,MALE
Adelie,Dream,37.8,18.8,179,3432,MALE
Adelie,Biscoe,41.4,18.0,224,3611,FEMALE
Adelie,Torgersen,38.5,20.0,198,4030,MALE
Adelie,Biscoe,39.8,21.1,191,3707,MALE
Adelie,Biscoe,40.6,17.9,172,2754,FEMALE
Adelie,Dream,42.5,18.0,178,4024,FEMALE
Adelie,Dream,42.9,18.7,204,3031,FEMALE
Adelie,Torgersen,39.0,18.5,193,3017,FEMALE
Adelie,Torgersen,36.7,20.7,205,3859,FEMALE
Adelie,Torgersen,37.3,18.6,193,3831,MALE
Adelie,Dream,36.5,19.1,191,3582,FEMALE
Adelie,Torgersen,38.1,16.1,208,4076,FEMALE
Adelie,Biscoe,38.1,19.2,206,4164,MALE
Adelie,Biscoe,43.2,17.6,222,4249,MALE
Adelie,Biscoe,37.3,19.0,178,4479,MALE
Adelie,Torgersen,39.7,21.2,190,2993,FEMALE
Adelie,Biscoe,40.2,16.5,176,4918,FEMALE
Adelie,Dream,41.1,16.7,201,3366,FEMALE
Adelie,Biscoe,37.7,18.1,201,3348,FEMALE
Adelie,Torgersen,39.7,16.8,182,3367,MALE
Adelie,Torgersen,41.4,17.0,204,4043,MALE
Adelie,Dream,37.8,18.7,202,4410,FEMALE
Adelie,Torgersen,41.3,17.1,222,3319,MALE
Adelie,Dream,38.2,19.4,176,2905,FEMALE
Adelie,Biscoe,42.2,19.2,183,4275,MALE
Adelie,Biscoe,36.6,18.1,223,3570,MALE
Adelie,Torgersen,40.9,19.6,186,3325,FEMALE
Adelie,Dream,39.7,18.5,200,3335,MALE
Adelie,Torgersen,40.7,18.6,207,3383,MALE
Adelie,Torgersen,41.5,16.0,213,3824,MALE
Adelie,Torgersen,39.6,20.0,199,2700,FEMALE
Adelie,Biscoe,41.6,18.6,207,3262,FEMALE
Adelie,Torgersen,44.1,17.5,198,4236,FEMALE
Adelie,Dream,40.1,21.2,207,3631,MALE
Adelie,Dream,39.6,20.7,226,3019,MALE
Adelie,Biscoe,38.6,17.0,173,3288,MALE
Adelie,Biscoe,40.3,18.8,212,4030,MALE
Adelie,Torgersen,37.7,18.3,179,3887,FEMALE
Adelie,Dream,36.3,19.1,200,3507,FEMALE
Adelie,Dream,42.2,18.9,223,3513,MALE
Adelie,Dream,32.1,18.6,184,3051,FEMALE
Adelie,Torgersen,42.8,19.3,193,3320,FEMALE
Adelie,Biscoe,34.4,18.4,206,3179,MALE
Adelie,Torgersen,36.2,18.5,180,3826,FEMALE
Adelie,Biscoe,37.7,20.3,200,3859,FEMALE
Adelie,Torgersen,37.6,19.7,191,3457,MALE
Adelie,Dream,40.2,17.1,231,3704,FEMALE
Adelie,Dream,40.5,20.3,190,4219,MALE
Adelie,Dream,41.1,18.8,196,3082,FEMALE
Adelie,Dream,36.8,17.8,222,4620,MALE
Adelie,Dream,39.1,18.4,197,3536,FEMALE
Adelie,Dream,37.6,17.4,210,3444,FEMALE
Adelie,Torgersen,36.7,16.5,216,3669,MALE
Adelie,Dream,40.9,19.1,196,3863,FEMALE
Adelie,Dream,39.2,18.9,214,3239,FEMALE
Adelie,Torgersen,45.8,18.1,191,2700,FEMALE
Adelie,Biscoe,41.5,17.2,214,3249,MALE
Adelie,Torgersen,45.6,21.1,216,3851,FEMALE
Adelie,Dream,41.3,18.5,197,4056,
Adelie,Torgersen,44.1,18.0,212,4018,MALE
Adelie,Torgersen,40.6,18.9,231,3842,MALE
Adelie,Dream,39.0,17.2,204,3690,FEMALE
Adelie,Biscoe,35.7,15.5,206,3889,FEMALE
Adelie,Torgersen,35.1,17.2,193,3652,FEMALE
Adelie,Dream,39.0,18.0,199,2973,FEMALE
Adelie,Biscoe,35.3,17.8,197,3843,FEMALE
Adelie,Torgersen,35.0,17.2,191,3397,MALE
Adelie,Biscoe,37.3,18.6,217,4803,MALE
Adelie,Dream,38.8,19.3,201,4353,MALE
