year,temp
1880,-0.12
1881,-0.02
1882,-0.19
1883,-0.02
1884,0.04
1885,-0.06
1886,-0.14
1887,-0.2
1888,0.06
1889,-0.03
1890,-0.32
1891,-0.11
1892,0.06
1893,-0.04
1894,0.03
1895,-0.06
1896,-0.12
1897,0.04
1898,0.09
1899,-0.05
1900,-0.12
1901,-0.21
1902,-0.05
1903,-0.03
1904,-0.14
1905,0.08
1906,0.16
1907,0.22
1908,0.01
1909,0.17
1910,0.16
1911,0.23
1912,0.16
1913,0.34
1914,0.24
1915,0.02
1916,0.04
1917,0.34
1918,0.06
1919,0.22
1920,0.09
1921,0.14
1922,0.21
1923,0.22
1924,0.1
1925,0.2
1926,0.42
1927,0.17
1928,0.32
1929,0.12
1930,0.32
1931,0.19
1932,0.03
1933,0.19
1934,0.12
1935,0.13
1936,0.17
1937,0.22
1938,0.48
1939,0.35
1940,0.26
1941,0.37
1942,0.47
1943,0.43
1944,0.34
1945,0.15
1946,0.21
1947,0.37
1948,0.45
1949,0.32
1950,0.38
1951,0.22
1952,0.63
1953,0.41
1954,0.6
1955,0.48
1956,0.39
1957,0.56
1958,0.53
1959,0.62
1960,0.13
1961,0.53
1962,0.53
1963,0.53
1964,0.59
1965,0.21
1966,0.6
1967,0.59
1968,0.52
1969,0.39
1970,0.44
1971,0.52
1972,0.68
1973,0.55
1974,0.56
1975,0.56
1976,0.47
1977,0.67
1978,0.49
1979,0.48
1980,0.8
1981,0.58
1982,0.73
1983,0.46
1984,0.79
1985,0.81
1986,0.56
1987,0.55
1988,0.82
1989,0.59
1990,0.72
1991,0.79
1992,0.67
1993,0.88
1994,0.56
1995,0.76
1996,0.81
1997,0.86
1998,0.75
1999,0.96
2000,0.87
2001,0.9
2002,0.68
2003,0.79
2004,0.84
2005,0.83
2006,0.76
2007,0.84
2008,0.88
2009,0.77
2010,1.02
2011,0.9
2012,0.91
2013,0.7
2014,0.87
2015,1.0
2016,0.86
2017,0.83
2018,0.93
2019,1.03
2020,0.91
2021,0.88
2022,0.96
2023,0.76
