sentence,label,idx
Fed knows which politician her to vote for.,0,238
Cohen proved the independence of the continuum hypothesis.,1,460
"I know which book Mag read, and which book Bob said that you hadn't.",1,588
We need another run to win.,1,284
Any man didn't eat dinner.,1,49
Kim depends for Sandy.,1,849
John was believed to be telling the truth by Mary.,1,340
Susan told a story to her.,1,803
I won't have some money.,0,79
The report that crime was declining surprised many people.,1,540
It seems that Lucy was mugged.,1,661
Frank Churchill crossed the street.,0,514
Chris was handed a note.,0,402
John thinks that Mary loves himself.,0,195
The book that I like which everyone else in the class hates was written by John.,0,887
Penny skated around the rink.,0,992
Bill sent a package to Tom.,1,511
We relied above Leslie.,1,136
John considers Bill to be silly.,0,724
I live at the place where Route 150 crosses the Hudson River and my dad lives at it too.,1,335
John thinks that Mary loves himself.,1,278
The Dodgers beat the Red Sox and were beaten by the Giants.,1,98
John bought a book on the table.,1,440
The paper was written up by John.,0,760
John regards Bill as a good friend.,0,309
The earth was believed to be round.,0,375
A pilot could be flying this plane.,1,13
Did Calvin his homework?,1,824
Neither Von Karajan's recording of Beethoven's 6th on Columbia nor Klemperer's on Angel has the right tempo.,1,79
There loved Sandy.,1,406
Emma made Harriet some food.,1,659
We celebrated in the streets.,0,837
I inquired when could we leave.,0,51
"Max seemed to be trying to begin to love Harriet, and Fred to be trying to begin to love Sue.",0,198
Some people consider the dogs in my neighborhood dangerous.,1,786
I want her to dance.,0,872
Nora sent the book.,1,541
I noticed the.,1,860
I would prefer for John to leave.,0,534
Fiona might be here by 5 o'clock.,1,326
John left orders to follow Pete.,1,67
The monkey is ate the banana,1,946
I bought it to give to Pete.,0,902
Anson demonized up the Khyber,1,110
The cat were bitten by the dog.,1,748
It would prove our theory to be untenable for carrots to be vegetables.,0,425
The magazines were sent by Mary to herself.,1,980
"Meg is attracted to Harry, but they don't know who she is attracted to.",1,864
"Bill bought a red house, and Max bought one too.",1,299
I drank some of water.,0,909
Himself is understood by Rutherford.,1,867
Have you seen my model airplane collection?,1,773
Did Athena help us?,1,726
The cat got bitten.,0,1033
