Species,Island,Beak Length (mm),Beak Depth (mm),Flipper Length (mm),Body Mass (g),Sex
Adelie,Biscoe,34.6,17.1,225,3185,FEMALE
Adelie,Dream,37.2,16.5,189,3761,MALE
Adelie,Torgersen,42.5,16.9,199,2826,FEMALE
Adelie,Dream,37.3,20.7,202,3442,MALE
Adelie,Biscoe,35.7,20.0,197,3564,FEMALE
Adelie,Torgersen,34.6,18.3,204,2911,MALE
Adelie,Torgersen,37.6,17.8,191,4424,FEMALE
Adelie,Torgersen,36.6,18.6,195,3587,FEMALE
Adelie,Biscoe,41.4,16.5,192,4271,MALE
Adelie,Biscoe,40.8,17.8,214,4055,MALE
Adelie,Torgersen,39.6,17.1,215,3817,FEMALE
Adelie,Torgersen,39.6,17.1,224,3806,FEMALE
Adelie,Torgersen,44.1,17.0,196,3402,FEMALE
Adelie,Biscoe,36.0,18.7,209,3209,FEMALE
Adelie,Biscoe,38.3,19.3,197,3576,MALE
Adelie,Torgersen,36.3,20.3,186,4513,FEMALE
Adelie,Biscoe,41.5,19.0,231,4153,MALE
Adelie,Dream,40.6,18.5,187,3013,FEMALE
Adelie,Biscoe,42.9,21.2,175,3654,FEMALE
Adelie,Dream,43.2,17.8,197,4121,FEMALE
Adelie,Dream,34.5,17.2,220,4500,FEMALE
Adelie,Torgersen,44.1,18.5,214,3793,MALE
Adelie,Biscoe,36.4,18.0,190,4290,FEMALE
Adelie,Dream,39.8,16.0,208,3690,MALE
Adelie,Torgersen,43.1,18.3,181,3233,MALE
Adelie,Biscoe,35.6,18.5,174,3617,MALE
Adelie,Biscoe,39.0,18.6,193,3467,MALE
Adelie,Biscoe,39.0,17.9,213,3399,MALE
Adelie,Dream,42.0,20.6,224,3176,MALE
Adelie,Dream,40.1,18.4,207,3850,FEMALE
Adelie,Dream,42.1,16.7,198,3731,MALE
Adelie,Dream,35.5,18.0,224,3100,FEMALE
Adelie,Dream,37.7,17.6,195,3778,MALE
Adelie,Torgersen,33.5,15.9,183,3699,FEMALE
Adelie,Dream,37.8,19.4,214,3924,MALE
Adelie,Dream,39.5,17.5,205,3540,FEMALE
Adelie,Dream,39.2,21.1,197,3916,FEMALE
Adelie,Dream,39.5,17.0,214,4559,MALE
Adelie,Torgersen,41.1,18.1,200,4216,FEMALE
Adelie,Dream,41.1,18.5,199,3755,MALE
Adelie,Biscoe,38.6,18.7,213,3477,FEMALE
Adelie,Dream,39.1,18.1,204,4300,MALE
Adelie,Biscoe,38.9,17.3,205,4014,FEMALE
Adelie,Biscoe,41.6,17.7,179,3432,FEMALE
Adelie,Biscoe,40.5,17.0,224,3611,MALE
Adelie,Biscoe,39.2,20.0,191,3707,MALE
Adelie,Torgersen,40.7,18.1,210,4198,FEMALE
Adelie,Torgersen,42.7,15.5,178,4024,FEMALE
Adelie,Torgersen,37.2,18.6,205,3859,MALE
Adelie,Torgersen,39.6,16.8,184,4409,MALE
Adelie,Biscoe,32.1,19.0,191,3582,MALE
Adelie,Dream,37.5,16.1,214,3458,MALE
Adelie,Dream,36.6,20.1,208,4076,MALE
Adelie,Torgersen,39.6,17.0,206,4164,FEMALE
Adelie,Torgersen,40.9,21.2,172,4176,FEMALE
Adelie,Biscoe,45.6,18.6,178,4479,FEMALE
Adelie,Torgersen,36.0,19.1,190,2993,FEMALE
Adelie,Torgersen,37.0,17.2,176,4918,FEMALE
Adelie,Dream,45.8,18.1,201,3366,MALE
Adelie,Biscoe,38.1,18.9,220,3256,MALE
Adelie,Torgersen,41.3,17.0,221,3318,
Adelie,Torgersen,37.6,18.8,218,3544,FEMALE
Adelie,Torgersen,41.1,17.5,222,3319,MALE
Adelie,Dream,35.9,19.1,176,2905,MALE
Adelie,Dream,36.5,18.6,202,2700,FEMALE
Adelie,Torgersen,36.7,16.6,204,3632,MALE
Adelie,Torgersen,37.6,17.1,184,3545,MALE
Adelie,Torgersen,35.7,19.4,204,3100,FEMALE
Adelie,Dream,40.8,19.5,200,3335,FEMALE
Adelie,Dream,38.7,17.5,207,3383,FEMALE
Adelie,Torgersen,35.1,17.9,207,4619,MALE
Adelie,Biscoe,39.5,20.3,215,3417,FEMALE
Adelie,Dream,42.8,19.2,207,3262,FEMALE
Adelie,Torgersen,36.2,16.9,189,3299,MALE
Adelie,Biscoe,40.9,18.9,173,3288,FEMALE
Adelie,Dream,37.7,17.7,193,3320,FEMALE
Adelie,Dream,39.7,21.5,211,3726,MALE
Adelie,Torgersen,38.8,17.1,180,3826,FEMALE
Adelie,Biscoe,39.2,18.5,229,2974,MALE
Adelie,Torgersen,35.9,18.0,192,4218,FEMALE
Adelie,Biscoe,40.2,16.2,231,3704,FEMALE
Adelie,Biscoe,36.0,20.0,177,4016,FEMALE
Adelie,Dream,40.3,21.1,200,4184,MALE
Adelie,Biscoe,38.1,16.8,174,3636,MALE
Adelie,Torgersen,36.5,18.4,194,3206,FEMALE
Adelie,Biscoe,37.3,19.0,195,3317,
Adelie,Dream,36.0,19.4,201,3981,MALE
Adelie,Torgersen,46.0,21.1,197,3536,FEMALE
Adelie,Torgersen,42.2,18.4,192,3999,MALE
Adelie,Dream,37.2,19.0,213,3262,MALE
Adelie,Biscoe,41.0,18.7,210,3444,MALE
Adelie,Dream,36.9,18.5,208,3391,FEMALE
Adelie,Biscoe,39.7,18.9,209,3630,FEMALE
Adelie,Dream,36.8,19.5,196,3863,FEMALE
