date,open,high,low,close,adjclose,volume
2000-01-03,1467.429437,1474.269286,1421.42189,1448.886376,1471.364828,298419857
2000-01-04,1464.782836,1480.853593,1419.527306,1457.037298,1465.636576,374761111
2000-01-05,1469.465969,1494.448294,1428.77161,1461.067772,1479.55942,150462097
2000-01-06,1460.172469,1468.31868,1423.040382,1430.116489,1453.395232,1324856991
2000-01-07,1442.660083,1469.45882,1421.84237,1422.843841,1442.964565,837181241
2000-01-08,1464.468658,1468.465943,1411.243907,1442.385229,1451.436428,236335670
2000-01-09,1457.32488,1495.941346,1436.539855,1453.311556,1486.255564,0
2000-01-10,1453.212326,1467.134345,1422.271485,1463.116852,1464.113134,466643446
2000-01-11,1479.254163,1480.017254,1427.559568,1444.236533,1455.283486,97690846
2000-01-12,1484.121636,1494.628129,1441.083083,1451.857939,1459.990566,821607309
2000-01-13,1473.681131,1484.860849,1429.947747,1473.138885,1482.041096,1460807167
2000-01-14,1467.045634,1489.508458,1449.484474,1476.999681,1481.162561,772604199
2000-01-15,1479.397687,1484.9159,1424.710149,1456.230728,1459.322737,313796166
2000-01-16,1472.748517,1484.138016,1435.486808,1451.130463,1471.58496,716111271
2000-01-17,1484.663899,1485.709096,1424.583002,1457.329284,1482.497611,934754884
2000-01-18,1471.422019,1495.667311,1430.578604,1440.363419,1442.655944,759692616
2000-01-19,1462.594601,1512.95317,1428.457222,1473.126037,1485.315494,1590521825
2000-01-20,1479.746289,1492.259707,1442.432092,1461.68119,1470.92307,108697189
2000-01-21,1463.087249,1480.205637,1425.849839,1448.121109,1471.814021,21535506
2000-01-22,1446.032348,1468.326507,1420.862191,1453.570205,1463.767095,1045734555
2000-01-23,1476.29328,1486.934816,1455.526653,1474.516107,1479.25418,1202920329
2000-01-24,1466.575111,1492.954067,1445.304429,1449.24446,1485.179822,0
2000-01-25,1461.532371,1487.258846,1443.923458,1454.809068,1475.101475,1184422785
2000-01-26,1494.744599,1502.780517,1440.902725,1451.606523,1502.186098,572099792
2000-01-27,1480.919826,1488.303652,1423.269017,1450.342615,1466.996332,1463150141
2000-01-28,1487.434592,1494.368409,1452.13787,1481.742718,1491.187486,743234062
2000-01-29,1483.522767,1506.065816,1431.068743,1441.662419,1458.617277,1504817970
2000-01-30,1477.14678,1493.58741,1432.938468,1433.731039,1470.590402,0
2000-01-31,1476.826012,1486.566427,1418.848692,1428.290812,1437.216279,211681058
2000-02-01,1483.364533,1496.650522,1438.429146,1442.040325,1466.739708,1215372942
2000-02-02,1478.070121,1499.296844,1438.759529,1468.790841,1470.839961,756346888
2000-02-03,1460.525402,1502.298056,1453.153192,1469.345382,1490.378024,1097965016
2000-02-04,1462.563109,1484.568632,1431.733239,1446.402855,1481.958941,819388189
2000-02-05,1463.415149,1498.27685,1442.642558,1453.968701,1473.162588,1442376942
2000-02-06,1492.785625,1502.016892,1470.161569,1473.232505,1473.886602,1538237971
2000-02-07,1482.781289,1493.595342,1433.426059,1436.451227,1457.079318,541900458
2000-02-08,1464.842526,1493.902364,1451.203364,1455.764396,1463.744427,869392382
2000-02-09,1465.080448,1500.710204,1460.448131,1469.547544,1494.615364,1036546158
2000-02-10,1465.770234,1484.625308,1444.187923,1462.074795,1476.827143,1297960250
2000-02-11,1476.936764,1494.79687,1452.214599,1455.500195,1468.141471,847958303
2000-02-12,1478.248869,1494.16645,1451.153923,1455.170687,1456.568972,902584813
2000-02-13,1492.356969,1511.133782,1460.43005,1470.346218,1477.938607,1359190071
2000-02-14,1462.948308,1495.870492,1451.091837,1469.908256,1472.175577,1397764352
2000-02-15,1486.363309,1497.807565,1453.919333,1456.515829,1485.460331,1923138924
2000-02-16,1475.769871,1490.947808,1440.67989,1444.644626,1447.906186,1003025895
2000-02-17,1501.59767,1509.658888,1451.100451,1467.11485,1504.396843,2863870355
2000-02-18,1461.84477,1494.656479,1430.405949,1441.753915,1459.675812,560289657
2000-02-19,1499.117551,1491.692342,1483.366018,1485.251211,1488.323856,1833732795
