Date,Extent
1980-01-01,10.717
1980-01-02,13.551
1980-01-03,8.651
1980-01-04,3.458
1980-01-05,15.238
1980-01-06,15.563
1980-01-07,7.771
1980-01-08,6.516
1980-01-09,8.833
1980-01-10,9.382
1980-01-11,4.659
1980-01-12,3.387
1980-01-13,9.711
1980-01-14,3.526
1980-01-15,13.82
1980-01-16,16.377
1980-01-17,10.417
1980-01-18,8.872
1980-01-19,13.996
1980-01-20,8.505
1980-01-21,14.539
1980-01-22,7.443
1980-01-23,14.709
1980-01-24,8.457
1980-01-25,8.976
1980-01-26,5.231
1980-01-27,11.604
1980-01-28,6.192
1980-01-29,10.473
1980-01-30,5.588
1980-01-31,4.453
1980-02-01,10.795
1980-02-02,11.563
1980-02-03,14.969
1980-02-04,14.121
1980-02-05,15.716
1980-02-06,3.681
1980-02-07,13.169
1980-02-08,6.768
1980-02-09,11.073
1980-02-10,5.591
1980-02-11,13.404
1980-02-12,8.217
1980-02-13,8.354
1980-02-14,6.878
1980-02-15,6.721
1980-02-16,4.636
1980-02-17,13.52
1980-02-18,13.892
1980-02-19,5.667
1980-02-20,5.011
1980-02-21,12.929
1980-02-22,11.668
1980-02-23,13.427
1980-02-24,13.498
1980-02-25,11.861
1980-02-26,13.624
1980-02-27,9.565
1980-02-28,4.118
1980-02-29,15.864
1980-03-01,12.489
1980-03-02,12.032
1980-03-03,12.817
1980-03-04,14.132
1980-03-05,13.622
1980-03-06,9.683
1980-03-07,7.572
1980-03-08,5.997
1980-03-09,7.175
1980-03-10,9.183
1980-03-11,3.957
1980-03-12,8.784
1980-03-13,6.853
1980-03-14,9.679
1980-03-15,6.806
1980-03-16,10.374
1980-03-17,13.257
1980-03-18,12.113
1980-03-19,7.634
1980-03-20,14.437
1980-03-21,15.592
1980-03-22,7.076
1980-03-23,4.117
1980-03-24,3.67
1980-03-25,5.35
1980-03-26,13.161
1980-03-27,9.925
1980-03-28,10.246
1980-03-29,16.276
1980-03-30,9.544
1980-03-31,7.71
1980-04-01,7.796
1980-04-02,6.749
1980-04-03,4.518
1980-04-04,12.818
1980-04-05,6.644
1980-04-06,12.55
1980-04-07,16.225
1980-04-08,9.337
1980-04-09,6.633
1980-04-10,13.597
1980-04-11,10.189
1980-04-12,3.977
1980-04-13,13.497
1980-04-14,8.154
1980-04-15,15.266
1980-04-16,8.201
1980-04-17,11.328
1980-04-18,4.938
1980-04-19,14.232
1980-04-20,4.475
1980-04-21,11.011
1980-04-22,10.95
1980-04-23,6.712
1980-04-24,9.079
1980-04-25,14.94
1980-04-26,8.098
1980-04-27,13.406
1980-04-28,6.09
1980-04-29,10.195
1980-04-30,12.885
1980-05-01,11.824
1980-05-02,11.325
1980-05-03,11.299
1980-05-04,12.99
1980-05-05,15.193
1980-05-06,12.28
1980-05-07,13.643
1980-05-08,6.618
1980-05-09,5.952
1980-05-10,11.795
1980-05-11,12.331
1980-05-12,8.414
1980-05-13,9.363
1980-05-14,5.178
1980-05-15,10.631
1980-05-16,11.495
1980-05-17,10.33
1980-05-18,10.704
1980-05-19,7.532
1980-05-20,6.777
1980-05-21,8.144
1980-05-22,12.43
1980-05-23,8.775
1980-05-24,12.25
1980-05-25,7.94
1980-05-26,10.83
1980-05-27,4.58
1980-05-28,8.884
1980-05-29,5.057
1980-05-30,7.924
1980-05-31,7.124
1980-06-01,15.208
1980-06-02,4.786
1980-06-03,11.641
1980-06-04,3.433
1980-06-05,11.555
1980-06-06,10.415
1980-06-07,12.464
1980-06-08,9.719
1980-06-09,12.516
1980-06-10,7.738
1980-06-11,9.136
1980-06-12,9.295
1980-06-13,14.304
1980-06-14,13.293
1980-06-15,14.44
1980-06-16,9.141
1980-06-17,12.389
1980-06-18,6.982
1980-06-19,9.616
1980-06-20,9.581
1980-06-21,4.765
1980-06-22,9.955
1980-06-23,15.73
1980-06-24,13.852
1980-06-25,15.664
1980-06-26,6.455
1980-06-27,10.21
1980-06-28,5.126
1980-06-29,12.449
1980-06-30,8.748
1980-07-01,6.554
1980-07-02,7.045
1980-07-03,3.725
1980-07-04,11.33
1980-07-05,5.456
1980-07-06,5.341
1980-07-07,9.614
1980-07-08,8.991
1980-07-09,10.598
1980-07-10,11.946
1980-07-11,8.692
1980-07-12,9.804
1980-07-13,14.712
1980-07-14,6.335
1980-07-15,6.802
1980-07-16,3.759
1980-07-17,8.351
1980-07-18,13.957
1980-07-19,5.224
1980-07-20,15.403
1980-07-21,4.886
1980-07-22,13.12
1980-07-23,13.887
1980-07-24,15.917
1980-07-25,10.752
1980-07-26,5.438
1980-07-27,11.611
1980-07-28,7.713
1980-07-29,9.57
1980-07-30,16.392
1980-07-31,9.569
1980-08-01,4.334
1980-08-02,8.48
1980-08-03,11.644
1980-08-04,9.051
1980-08-05,9.041
1980-08-06,5.334
1980-08-07,7.429
1980-08-08,13.564
1980-08-09,10.264
1980-08-10,16.051
1980-08-11,11.197
1980-08-12,15.758
1980-08-13,4.987
1980-08-14,15.86
1980-08-15,6.379
1980-08-16,3.456
1980-08-17,9.781
1980-08-18,15.089
1980-08-19,13.206
1980-08-20,4.408
1980-08-21,5.589
1980-08-22,10.435
1980-08-23,13.246
1980-08-24,3.359
1980-08-25,14.384
1980-08-26,7.721
1980-08-27,4.286
1980-08-28,16.036
1980-08-29,13.578
1980-08-30,4.866
1980-08-31,14.497
1980-09-01,9.77
1980-09-02,12.582
1980-09-03,11.773
1980-09-04,10.706
1980-09-05,7.761
1980-09-06,12.508
1980-09-07,5.231
1980-09-08,9.159
1980-09-09,14.783
1980-09-10,11.497
1980-09-11,7.144
1980-09-12,13.586
1980-09-13,8.352
1980-09-14,7.108
1980-09-15,9.686
1980-09-16,16.019
1980-09-17,15.158
1980-09-18,9.019
1980-09-19,8.147
1980-09-20,9.417
1980-09-21,14.95
1980-09-22,11.59
1980-09-23,15.289
1980-09-24,6.602
1980-09-25,12.252
1980-09-26,15.262
1980-09-27,13.768
1980-09-28,13.687
1980-09-29,11.577
1980-09-30,16.047
1980-10-01,6.894
